product,url,category,price,amount,content,unit,vegan,vegetarian,nutriscore,carbs_100g,protein_100g,fat_100g
De Zaanse Hoeve Roomboter ongezouten,https://www.ah.nl/producten/product/wi429615/de-zaanse-hoeve-roomboter-ongezouten,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.49,250.0,Inhoud en gewicht250 GramPortiegrootte: 5 gramAantal porties: 50,g,False,True,E,1.0,0.6,82.0
AH Halvarine lekker op brood,https://www.ah.nl/producten/product/wi127489/ah-halvarine-lekker-op-brood,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.09,500.0,Inhoud en gewicht500 GramPortiegrootte: 5 gramAantal porties: 100,g,True,True,C,0.6,0.0,39.0
AH Zuivelspread naturel,https://www.ah.nl/producten/product/wi506228/ah-zuivelspread-naturel,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,0.79,200.0,Inhoud en gewicht200 GramPortiegrootte: 15 gramAantal porties: 13,g,False,True,D,3.3,7.8,16.0
AH Luchtige cracker volkoren met rijstbloem,https://www.ah.nl/producten/product/wi196377/ah-luchtige-cracker-volkoren-met-rijstbloem,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,0.99,250.0,"Inhoud en gewicht250 GramPortiegrootte: 7,5 gramAantal porties: 33",g,True,True,A,63.0,10.0,3.6
AH Smeerkaas naturel,https://www.ah.nl/producten/product/wi249/ah-smeerkaas-naturel,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,0.79,100.0,Inhoud en gewicht100 GramPortiegrootte: 15 gramAantal porties: 6.5,g,False,False,D,2.4,14.0,21.0
AH Volkoren havermout,https://www.ah.nl/producten/product/wi48405/ah-volkoren-havermout,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,0.69,500.0,Inhoud en gewicht500 GramPortiegrootte: 40 gramAantal porties: 13,g,False,False,,59.0,14.0,7.0
AH Beschuit volkoren,https://www.ah.nl/producten/product/wi1625/ah-beschuit-volkoren,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,0.49,140.0,Inhoud en gewicht140 GramPortiegrootte: 11 gramAantal porties: 13,g,False,True,A,68.0,15.0,5.4
AH Grillworst,https://www.ah.nl/producten/product/wi203333/ah-grillworst,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.25,125.0,Inhoud en gewicht130 GramPortiegrootte: 10 gramAantal porties: 13,g,False,False,E,1.6,14.0,25.0
Garlan Verse roomkaas met kruiden,https://www.ah.nl/producten/product/wi239019/garlan-verse-roomkaas-met-kruiden,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.15,150.0,Inhoud en gewicht150 Gram,g,False,False,,3.1,4.8,26.0
AH Gekookte gelderse worst,https://www.ah.nl/producten/product/wi171463/ah-gekookte-gelderse-worst,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.9,146.0,Inhoud en gewicht146 GramPortiegrootte: 15 gramAantal porties: 10,g,False,False,E,2.8,12.0,27.0
AH Cottage cheese,https://www.ah.nl/producten/product/wi400467/ah-cottage-cheese,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,0.79,200.0,Inhoud en gewicht200 GramPortiegrootte: 15 gramAantal porties: 13,g,False,True,B,2.8,12.0,3.5
AH Rijstwafels naturel,https://www.ah.nl/producten/product/wi412903/ah-rijstwafels-naturel,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,0.45,130.0,Inhoud en gewicht130 GramPortiegrootte: 7 gramAantal porties: 18,g,True,True,A,79.0,7.5,3.0
AH Smeerkaas 20+ naturel,https://www.ah.nl/producten/product/wi462689/ah-smeerkaas-20-naturel,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,0.79,103.0,Inhoud en gewicht100 Gram.Portiegrootte: 15 gramAantal porties: 6.5,g,False,False,C,1.0,17.0,7.0
ERU Goudkuipje naturel,https://www.ah.nl/producten/product/wi3856/eru-goudkuipje-naturel,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.29,100.0,Inhoud en gewicht100 Gram,g,False,False,,1.7,14.0,20.0
AH Rinse appelstroop,https://www.ah.nl/producten/product/wi1593/ah-rinse-appelstroop,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,0.79,450.0,Inhoud en gewicht450 GramPortiegrootte: 15 gramAantal porties: 30,g,True,True,C,67.0,2.0,0.2
AH Filet americain naturel,https://www.ah.nl/producten/product/wi442123/ah-filet-americain-naturel,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.59,150.0,Inhoud en gewicht150 GramPortiegrootte: 15 gramAantal porties: 10,g,False,False,D,2.3,14.0,22.0
ERU Kids,https://www.ah.nl/producten/product/wi113356/eru-kids,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.35,100.0,Inhoud en gewicht100 Gram,g,False,False,,22.0,15.0,11.0
Wasa Volkoren,https://www.ah.nl/producten/product/wi387906/wasa-volkoren,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.89,260.0,Inhoud en gewicht260 GramPortiegrootte: Per stuk (ca. 13 g),g,False,False,,58.0,10.0,2.0
Blue Band Halvarine,https://www.ah.nl/producten/product/wi3826/blue-band-halvarine,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.35,500.0,Inhoud en gewicht500 GramAantal porties: 50,g,False,False,,1.1,0.5,39.0
ERU Goudkuipje naturel,https://www.ah.nl/producten/product/wi478229/eru-goudkuipje-naturel,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.39,200.0,Inhoud en gewicht200 Gram,g,False,False,,1.7,14.0,20.0
Zonnatura Maïswafels,https://www.ah.nl/producten/product/wi168655/zonnatura-maiswafels,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,0.85,100.0,Inhoud en gewicht100 Gram,g,False,False,,87.0,6.5,0.7
AH Beschuit naturel,https://www.ah.nl/producten/product/wi1624/ah-beschuit-naturel,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,0.45,132.35294117647058,Inhoud en gewicht130 GramPortiegrootte: 10 gramAantal porties: 13,g,False,True,A,76.0,15.0,5.2
AH Goed begin 100% plantaardig,https://www.ah.nl/producten/product/wi138500/ah-goed-begin-100-plantaardig,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.19,500.0,Inhoud en gewicht500 GramPortiegrootte: 5 gramAantal porties: 100,g,True,True,C,1.1,0.0,39.0
LU Mini crackers olijfolie & oregano,https://www.ah.nl/producten/product/wi2432/lu-mini-crackers-olijfolie-en-oregano,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.79,250.0,Inhoud en gewicht250 GramPortiegrootte: 100 g,g,False,False,,66.0,11.0,13.0
AH Honing,https://www.ah.nl/producten/product/wi479788/ah-honing,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.99,350.0,Inhoud en gewicht350 GramPortiegrootte: 15 gramAantal porties: 23,g,False,True,D,81.0,0.4,0.0
Kips Vega pat vol en smeuig,https://www.ah.nl/producten/product/wi445419/kips-vega-pat-vol-en-smeuig,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.29,125.0,Inhoud en gewicht125 Gram,g,False,False,,6.9,6.2,23.1
Bolletje Echte beschuit,https://www.ah.nl/producten/product/wi477554/bolletje-echte-beschuit,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.09,,"Inhoud en gewicht13 StuksPortiegrootte: per 100 g. per beschuit (ca. 9,6 g)",,False,False,A,74.0,15.0,5.2
AH Grillworst kip,https://www.ah.nl/producten/product/wi192853/ah-grillworst-kip,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.29,125.0,Inhoud en gewicht130 GramPortiegrootte: 4 gramAantal porties: 33,g,False,False,D,5.2,14.0,18.0
AH Biologisch Maiswafels met zeezout rond,https://www.ah.nl/producten/product/wi382538/ah-biologisch-maiswafels-met-zeezout-rond,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,0.79,120.0,Inhoud en gewicht120 GramPortiegrootte: 7 gramAantal porties: 17,g,False,True,B,87.0,6.5,0.7
AH Ontbijtkoek gesneden,https://www.ah.nl/producten/product/wi217848/ah-ontbijtkoek-gesneden,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.15,475.0,Inhoud en gewicht475 GramPortiegrootte: 25 gramAantal porties: 19,g,False,True,C,66.0,2.8,0.9
AH Gebraden gehakt,https://www.ah.nl/producten/product/wi212503/ah-gebraden-gehakt,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.43,140.0,Inhoud en gewicht125 GramPortiegrootte: 15 gramAantal porties: 8,g,False,False,E,3.9,14.0,22.0
AH Salami,https://www.ah.nl/producten/product/wi543385/ah-salami,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.69,150.0,"Inhoud en gewicht150 GramPortiegrootte: 12,5 gramAantal porties: 12",g,False,False,E,0.5,20.0,37.0
AH Basis vloeibaar,https://www.ah.nl/producten/product/wi429566/ah-basis-vloeibaar,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.99,750.0,Inhoud en gewicht750 MilliliterPortiegrootte: 15 milliliterAantal porties: 50,ml,True,True,C,0.0,0.0,70.0
AH Ardenner boterhamworst,https://www.ah.nl/producten/product/wi127493/ah-ardenner-boterhamworst,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.96,120.0,Inhoud en gewicht118 GramPortiegrootte: 15 gramAantal porties: 8,g,False,False,E,5.5,12.0,23.0
Brinta Volkoren graanontbijt,https://www.ah.nl/producten/product/wi166916/brinta-volkoren-graanontbijt,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.09,500.0,Inhoud en gewicht500 GramAantal porties: 14,g,False,False,,64.0,14.0,1.9
LU Mini crackers naturel,https://www.ah.nl/producten/product/wi62912/lu-mini-crackers-naturel,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.59,250.0,Inhoud en gewicht250 GramPortiegrootte: 1 flowpack = 5 crackers; 1 pak = 8 x 5 crackers,g,False,False,,69.0,11.0,12.0
Snelle Jelle Kruidkoek naturel 5-pack,https://www.ah.nl/producten/product/wi457697/snelle-jelle-kruidkoek-naturel-5-pack,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.15,325.75757575757575,Inhoud en gewicht5 Stuks. 325 GramAantal porties: 5,g,False,False,,69.7,2.4,1.0
AH Boterhamworst,https://www.ah.nl/producten/product/wi188703/ah-boterhamworst,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.89,125.0,Inhoud en gewicht125 GramPortiegrootte: 10 gramAantal porties: 13,g,False,False,E,7.9,10.0,21.0
AH Dunne maiswafels paprika,https://www.ah.nl/producten/product/wi456379/ah-dunne-maiswafels-paprika,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.39,104.0,Inhoud en gewicht104 GramPortiegrootte: 26 gramAantal porties: 4,g,False,False,B,75.0,7.4,8.5
AH Dikke rijstwafels met zeezout,https://www.ah.nl/producten/product/wi166805/ah-dikke-rijstwafels-met-zeezout,ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.09,121.11111111111111,Inhoud en gewicht120 GramPortiegrootte: 10 gramAantal porties: 12,g,True,True,A,79.0,7.5,3.2
