Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt,Url
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,0.99,AH Komkommer,per stuk,Nutri-Score A,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.29,AH Bananen tros,"TrosPrijs per KG € 1,43",Nutri-Score A,True,True,,,1.1 g,385 kJ (91 kcal),,,,20 g,,,,,374 mg,0.3 g,,,,,,,0.29 mg,,,,,1.9 g,,,0.2 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,2.29,AH Witte druiven pitloos,"500 gPrijs per KG € 4,58",Nutri-Score A,True,True,,,0.5 g,324 kJ (76 kcal),,,,17 g,,,,,,0.4 g,,,,,,,,,,,,1.4 g,,,0.2 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.19,AH Courgette,"per stukPrijs per KG € 3,31",Nutri-Score A,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,2.79,AH Mandarijnen,"1 kgPrijs per KG € 2,79",Nutri-Score A,False,False,,,0.7 g,189 kJ (45 kcal),,,,9.8 g,,,,,,0.1 g,,,,,,,,40 mg,,,,0.9 g,,,0.1 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.99,AH Paprika mix,"3 stuksPrijs per KG € 3,98",Nutri-Score A,True,True,,,0.8 g,99 kJ (24 kcal),,,,3.8 g,,,,,,0.1 g,,,,,,,0.2 mg,124 mg,2.5 mg,,,2.1 g,,,0.1 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,2.29,AH Rode druiven pitloos,"500 gPrijs per KG € 4,58",Nutri-Score A,True,True,,,0.6 g,321 kJ (76 kcal),,,,17 g,,,,,,0.2 g,,,,,,,,,,,,1.8 g,,0.1 g,0.1 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,3.49,AH Nederlandse aardbeien,"400 gNormale prijs per KG € 8,73",Nutri-Score A,True,True,,,0.7 g,107 kJ (25 kcal),65 µg,,,5.1 g,,,,,,0 g,,,,,,,,60 mg,,,,1.1 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.39,AH Broccoli,"500 gPrijs per KG € 2,78",Nutri-Score A,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,0.99,AH Paprika rood,"per stukPrijs per KG € 4,50",Nutri-Score A,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
