Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt,Url
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,3.99,AH Tomatensoep verspakket,"1,1 kg",Nutri-Score B,False,False,,,0.7 g,121 kJ (29 kcal),,,,3.1 g,,,,,,1.3 g,,,,,,,,,,,,1 g,,,0.9 g,,0.3 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,3.49,AH Salade erbij Caesar mix,"285 gPrijs per KG € 12,25",Nutri-Score B,False,False,,,6.4 g,506 kJ (122 kcal),,,,5.2 g,,,,,,8.2 g,,,,,,,,,,,,0.7 g,,,5.2 g,,2.7 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,1.00,AH Green goodness,"125 mlNormale prijs per LT € 8,00",Nutri-Score B,False,True,,,1.1 g,117 kJ (28 kcal),,,,3.1 g,,,,,,1 g,,,,,,,,8 mg,,,,1.1 g,,,0.6 g,,0.4 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,1.19,AH Toscaanse aardappelpartjes,"450 gPrijs per KG € 2,64",Nutri-Score B,True,True,,,2 g,409 kJ (97 kcal),,,,18 g,,,,,,1.4 g,,,,,,,,,,,,2.1 g,,,1.1 g,,0.2 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,1.00,AH Crazy carrot,"125 mlNormale prijs per LT € 8,00",Nutri-Score B,False,True,,,0.8 g,142 kJ (34 kcal),,,,7.1 g,,,,,,0 g,,,,,,,,7 mg,,,,1 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,1.00,AH Yellow ginger,"125 mlNormale prijs per LT € 8,00",Nutri-Score B,False,True,,,0.7 g,139 kJ (33 kcal),,,,7.4 g,,,,,,0 g,,,,,,,,38 mg,,,,0.2 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,5.29,AH Hongaarse goulash verspakket,per stuk,Nutri-Score B,True,True,,,6 g,466 kJ (111 kcal),,,,13 g,,,,,,3.6 g,,,,,,,,,,,,1.2 g,,,2.3 g,,1.2 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,1.59,AH Aardappelpuree,"450 gPrijs per KG € 3,53",Nutri-Score B,False,True,,,2 g,465 kJ (110 kcal),,,,16 g,,,,,,4 g,,,,,,,,,,,,1.5 g,,,1 g,,2.5 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,3.89,AH Salade erbij blauwe kaas,"277 gPrijs per KG € 14,04",Nutri-Score B,False,True,,,3.5 g,582 kJ (140 kcal),,,,6.2 g,,,,,,11 g,,,,,,,,,,,,1.3 g,,,7.5 g,,3.3 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,5.29,AH Mexicaanse burritos verspakket,per stuk,Nutri-Score B,False,False,,,7.1 g,672 kJ (161 kcal),,,,15 g,,,,,,7.5 g,,,,,,,,,,,,2.4 g,,,4.1 g,,2.6 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,3.89,AH Verse pureersoep pompoen-wortel,"528 gPrijs per KG € 7,37",Nutri-Score B,True,True,,,0.6 g,120 kJ (29 kcal),,,,2.3 g,,,,,,1.7 g,,,,,,,,,,,,1 g,,,1.3 g,,0.3 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,2.99,AH Medjoul dadels,"250 gPrijs per KG € 11,96",Nutri-Score B,True,True,,,2 g,1187 kJ (280 kcal),,,,64 g,,,,,696 mg,0.3 g,,,,,,,,,,,,6.7 g,,,0.2 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,1.49,AH Friszoete rode kool met appeltjes,"750 gPrijs per KG € 1,99",Nutri-Score B,True,True,,,1.6 g,243 kJ (58 kcal),,,,9.9 g,,,,,,0.9 g,,,,,,,,,,,,1.8 g,,,0.8 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,3.49,AH Salade erbij boeren mix,"295 gPrijs per KG € 11,83",Nutri-Score B,False,False,,,4.8 g,558 kJ (134 kcal),,,,5.7 g,,,,,,10 g,,,,,,,,,,,,1.2 g,,,7.2 g,,3 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,1.00,AH Pretty purple,"125 mlNormale prijs per LT € 8,00",Nutri-Score B,True,True,,,1.1 g,196 kJ (47 kcal),,,,6.8 g,,,,,,1.3 g,,,,,,,,32.3 mg,,,,1.7 g,,,1.1 g,,0.2 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,6.29,AH Gesneden verspakket poke bowl,"655 gPrijs per KG € 9,60",Nutri-Score B,False,True,,,4.5 g,584 kJ (140 kcal),,,,15 g,,,,,,6.5 g,,,,,,,,,,,,1.5 g,,,5.3 g,,0.9 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,2.29,AH Vers sap sinaasappel aardbei,"500 mlPrijs per LT € 4,58",Nutri-Score B,False,True,,,0.7 g,174 kJ (41 kcal),,,,9.3 g,,,,,,0 g,,,,,,,,47 mg,,,,0.5 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,1.00,AH Spicy pumpkin,"125 mlNormale prijs per LT € 8,00",Nutri-Score B,False,True,,,0.7 g,118 kJ (28 kcal),,,,5.9 g,,,,,,0 g,,,,,,,,12.5 mg,,,,0.7 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,1.39,AH Bakaardappeltjes paprika en knoflook,"450 gPrijs per KG € 3,09",Nutri-Score B,True,True,,,1.9 g,342 kJ (81 kcal),,,,17 g,,,,,,0.05 g,,,,,,,,,,,,2.3 g,,,0.03 g,,0.01 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,5.29,AH Zoete aardappel stamppot verspakket,per stuk,Nutri-Score B,False,True,,,3.2 g,485 kJ (116 kcal),,,,12 g,,,,,,5.7 g,,,,,,,,,,,,2 g,,,3.7 g,,1.7 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,3.99,AH Groentesoep verspakket,per stuk,Nutri-Score B,False,False,,,0.8 g,92 kJ (22 kcal),,,,3.6 g,,,,,,0.3 g,,,,,,,,,,,,0.8 g,,,0.1 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,5.29,AH Pasta funghi verspakket,per stuk,Nutri-Score B,True,True,,,4.5 g,551 kJ (132 kcal),,,,14 g,,,,,,6.1 g,,,,,,,,,,,,1.4 g,,,3.2 g,,2.5 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,2.29,AH Zachte pruimen,"250 gPrijs per KG € 9,16",Nutri-Score B,True,True,,,2 g,1075 kJ (255 kcal),,,,57 g,,,,,,0.4 g,,,,,,,,,,,,7 g,,,0.2 g,,0.1 g,,,
