Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt,Url
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,3.29,AH Vers sap sinaasappel,"1 lPrijs per LT € 3,29",Nutri-Score C,False,True,,,0.7 g,162 kJ (38 kcal),,,,8.5 g,,,,,,0 g,,,,,,,,51 mg,,,,0.7 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,2.19,AH Vers sap sinaasappel,"500 mlPrijs per LT € 4,38",Nutri-Score C,False,True,,,0.7 g,162 kJ (38 kcal),,,,8.5 g,,,,,,0 g,,,,,,,,51 mg,,,,0.7 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,1.95,AH Rozijnen zongedroogd,"750 gPrijs per KG € 2,60",Nutri-Score C,True,True,,,3 g,1458 kJ (344 kcal),,,,80 g,,,,,,0.5 g,,,,,,,,,,,,3.5 g,,,0.2 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,2.09,AH Aardappelgratin,"500 gPrijs per KG € 4,18",Nutri-Score C,False,True,,,2 g,465 kJ (111 kcal),,,,14 g,,,,,,5 g,,,,,,,,,,,,1 g,,,2.8 g,,2.2 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,2.49,AH Verse smoothie appel banaan aardbei,"500 mlPrijs per LT € 4,98",Nutri-Score C,True,True,,,0.5 g,221 kJ (52 kcal),,,,12 g,,,,,,0 g,,,,,,,,18 mg,,,,1.1 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,1.74,AH Cranberries,"250 gPrijs per KG € 6,96",Nutri-Score C,True,True,,,0 g,1409 kJ (333 kcal),,,,78 g,,,,,,1.1 g,,,,,,,,,,,,5.3 g,,,0.5 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,2.49,AH Verse smoothie mango maracuja sinaasap,"500 mlPrijs per LT € 4,98",Nutri-Score C,False,True,,,0.6 g,178 kJ (42 kcal),,,,9.5 g,,,,,,0 g,,,,,,,,24 mg,,,,0.8 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,1.09,AH Rozijnen,"250 gPrijs per KG € 4,36",Nutri-Score C,True,True,,,3 g,1460 kJ (345 kcal),,,,80 g,,,,,,0.5 g,,,,,,,,,,,,3.5 g,,,0 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,1.85,AH Rozijnen,"500 gPrijs per KG € 3,70",Nutri-Score C,True,True,,,3 g,1460 kJ (345 kcal),,,,80 g,,,,,,0.5 g,,,,,,,,,,,,3.5 g,,,0 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,2.29,AH Vers sap sinaasappel banaan,"500 mlPrijs per LT € 4,58",Nutri-Score C,False,True,,,0.8 g,207 kJ (49 kcal),,,,11 g,,,,,,0 g,,,,,,,0.2 mg,50 mg,,,,0.8 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,2.29,AH Vers sap appel peer framboos,"500 mlPrijs per LT € 4,58",Nutri-Score C,True,True,,,0.3 g,181 kJ (43 kcal),,,,10 g,,,,,,0 g,,,,,,,,,,,,0.7 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,2.49,AH Smoothie mango avocado,"500 mlPrijs per LT € 4,98",Nutri-Score C,True,True,,,0.8 g,263 kJ (63 kcal),,,,11 g,,,,,,1.2 g,,,,,,,,9.6 mg,,,,2.3 g,,,0.9 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,2.29,AH Sap mango sinaasappel appel,"500 mlPrijs per LT € 4,58",Nutri-Score C,False,True,,,0.4 g,178 kJ (42 kcal),,,,9.6 g,,,,,,0 g,,,,,,,,28 mg,,,,1 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,0.99,AH Smoothie magnesium rood fruit bessen,"250 mlPrijs per LT € 3,96",Nutri-Score C,True,True,,,0.6 g,202 kJ (48 kcal),,,,10 g,,30 mg,,,,0.3 g,,,,,,,,,,,,1.3 g,,,0.2 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,2.99,AH Zeewiersalade,"125 gPrijs per KG € 23,92",Nutri-Score C,True,True,,,1.5 g,439 kJ (105 kcal),,,,11 g,,,,,,5.2 g,,,,,,,,,,,,4.3 g,,,4.4 g,,0.8 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,2.39,AH Zoete stoofpeertjes,"350 gPrijs per KG € 11,38",Nutri-Score C,False,False,,,0.4 g,362 kJ (85 kcal),,,,20 g,,,,,,0 g,,,,,,,,,,,,1.9 g,,,,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,3.99,AH Champignonsoep verspakket,per stuk,Nutri-Score C,True,True,,,1.4 g,238 kJ (57 kcal),,,,3.4 g,,,,,,4.1 g,,,,,,,,,,,,0.6 g,,,1.1 g,,2.7 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,3.59,AH Lunchsalade kip Caesar,"225 gPrijs per KG € 15,96",Nutri-Score C,False,False,0 g,,11 g,619 kJ (148 kcal),,,,7 g,,,,,,8.3 g,,,,,,,,,,,,0.7 g,3.7 g,1.2 g,4.9 g,,3.2 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,3.49,AH Vers sap mango sinaasappel appel,"1 lPrijs per LT € 3,49",Nutri-Score C,False,True,,,0.4 g,178 kJ (42 kcal),,,,9.6 g,,,,,,0 g,,,,,,,,28 mg,,,,1 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,2.29,AH Vers sap sinaasappel kiwi,"500 mlPrijs per LT € 4,58",Nutri-Score C,False,True,,,0.8 g,165 kJ (39 kcal),,,,8.5 g,,,,,,0 g,,,,,,,,53 mg,,,,0.9 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,2.99,AH Biologisch Rozijnen,"250 gPrijs per KG € 11,96",Nutri-Score C,True,True,,,3 g,1458 kJ (344 kcal),,,,80 g,,,,,,0.5 g,,,,,,,,,,,,3.5 g,,,0.1 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,4.99,AH Biologisch Mango,"200 gPrijs per KG € 24,95",Nutri-Score C,False,True,,,2 g,1445 kJ (340 kcal),,,,79 g,,,,,,0.9 g,,,,,,,,,,,,4.5 g,,,0.5 g,,0.4 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,2.29,AH Vers sap appel gember,"0,5 lPrijs per LT € 4,58",Nutri-Score C,False,False,,,0.2 g,167 kJ (39 kcal),,,,9.5 g,,,,,,0 g,,,,,,,,5.79 mg,,,,0.2 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,2.29,AH Vers sap munt peer mango,"500 mlPrijs per LT € 4,58",Nutri-Score C,True,True,,,0.3 g,193 kJ (45 kcal),,,,11 g,,,,,,0 g,,,,,,,,8 mg,,,,0.1 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,3.49,AH Vers sap appel peer framboos,"1 lPrijs per LT € 3,49",Nutri-Score C,True,True,,,0.3 g,181 kJ (43 kcal),,,,10 g,,,,,,0 g,,,,,,,,,,,,0.7 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,2.29,AH Vers sap blauwe bes limoen appel,"500 mlPrijs per LT € 4,58",Nutri-Score C,False,True,,,0.2 g,177 kJ (42 kcal),,,,10 g,,,,,,0 g,,,,,,,,9.3 mg,,,,0.4 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,3.99,AH Paprikasoep verspakket,per stuk,Nutri-Score C,True,True,,,0.6 g,141 kJ (34 kcal),,,,2.7 g,,,,,,2.1 g,,,,,,,,,,,,0.9 g,,,1.6 g,,0.4 g,,,
