Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Url,Content,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt
aardappel-groente-fruit?minPrice=0&maxPrice=2.99,1.09,AH Komkommer,per stuk,Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi54074/ah-komkommer,Inhoud en gewicht1 Stuks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aardappel-groente-fruit?minPrice=0&maxPrice=2.99,1.39,AH Bananen tros,"TrosPrijs per KG € 1,54",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi197393/ah-bananen-tros,Inhoud en gewicht1 StuksPortiegrootte: 1 stuk(s),,,1.1 g,385 kJ (91 kcal),,,,20 g,,,,,374 mg,0.3 g,,,,,,,0.29 mg,,,,,1.9 g,,,0.2 g,,0.1 g,,
aardappel-groente-fruit?minPrice=0&maxPrice=2.99,2.69,AH Mandarijnen,"1 kgPrijs per KG € 2,69",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi94782/ah-mandarijnen,Inhoud en gewicht1 KilogramPortiegrootte: 80 gramAantal porties: 13,,,0.7 g,189 kJ (45 kcal),,,,9.8 g,,,,,,0.1 g,,,,,,,,40 mg,,,,0.9 g,,,0.1 g,,0 g,,
aardappel-groente-fruit?minPrice=0&maxPrice=2.99,1.99,Chiquita Bananen family pack,"1 kgPrijs per KG € 1,99",,False,False,https://www.ah.nl/producten/product/wi495314/chiquita-bananen-family-pack,Inhoud en gewicht1 Kilogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aardappel-groente-fruit?minPrice=0&maxPrice=2.99,1.99,AH Paprika mix,"3 stuksPrijs per KG € 3,98",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi41194/ah-paprika-mix,Inhoud en gewicht3 StuksPortiegrootte: 83 gramAantal porties: 3,,,0.8 g,99 kJ (24 kcal),,,,3.8 g,,,,,,0.1 g,,,,,,,0.2 mg,124 mg,2.5 mg,,,2.1 g,,,0.1 g,,0 g,,
aardappel-groente-fruit?minPrice=0&maxPrice=2.99,2.39,AH Witte druiven pitloos,"500 gPrijs per KG € 4,78",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi80585/ah-witte-druiven-pitloos,Inhoud en gewicht500 GramPortiegrootte: 125 gramAantal porties: 4,,,0.5 g,324 kJ (76 kcal),,,,17 g,,,,,,0.4 g,,,,,,,,,,,,1.4 g,,,0.2 g,,0.1 g,,
aardappel-groente-fruit?minPrice=0&maxPrice=2.99,1.15,AH Courgette,"per stukPrijs per KG € 3,19",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi4164/ah-courgette,Inhoud en gewicht1 Stuks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aardappel-groente-fruit?minPrice=0&maxPrice=2.99,2.39,AH Rode druiven pitloos,"500 gPrijs per KG € 4,78",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi100232/ah-rode-druiven-pitloos,Inhoud en gewicht500 GramPortiegrootte: 125 gramAantal porties: 4,,,0.6 g,321 kJ (76 kcal),,,,17 g,,,,,,0.2 g,,,,,,,,,,,,1.8 g,,0.1 g,0.1 g,,0.1 g,,
aardappel-groente-fruit?minPrice=0&maxPrice=2.99,1.59,AH Broccoli,"500 gPrijs per KG € 3,18",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi4177/ah-broccoli,Inhoud en gewicht500 Gram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aardappel-groente-fruit?minPrice=0&maxPrice=2.99,1.09,AH Paprika rood,"per stukPrijs per KG € 4,95",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi4117/ah-paprika-rood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aardappel-groente-fruit?minPrice=0&maxPrice=2.99,0.65,AH Prei,"per stukPrijs per KG € 2,17",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi171425/ah-prei,Inhoud en gewicht1 Stuks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
