Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Url,Content,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt
aardappel-groente-fruit?minPrice=3&maxPrice=99,3.99,AH Nederlandse aardbeien,"400 gPrijs per KG € 9,98",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi491168/ah-nederlandse-aardbeien,Inhoud en gewicht400 GramPortiegrootte: 125 gramAantal porties: 3,,,0.7 g,107 kJ (25 kcal),65 µg,,,5.1 g,,,,,,0 g,,,,,,,,60 mg,,,,1.1 g,,,0 g,,0 g,,
aardappel-groente-fruit?minPrice=3&maxPrice=99,3.99,AH Blauwe bessen,"300 gNormale prijs per KG € 13,30",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi177754/ah-blauwe-bessen,Inhoud en gewicht300 GramPortiegrootte: 125 gramAantal porties: 2.5,,,0.7 g,218 kJ (52 kcal),,,,11 g,,,,,,0 g,,,,,,,,,,,19.3 µg,2.4 g,,,0 g,,0 g,,
aardappel-groente-fruit?minPrice=3&maxPrice=99,5.97,Chiquita banaan Family pakket,per pakket,,False,False,https://www.ah.nl/producten/product/wi541136/chiquita-banaan-family-pakket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aardappel-groente-fruit?minPrice=3&maxPrice=99,4.49,AH Iets kruimige aardappel,"3 kgPrijs per KG € 1,50",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi96049/ah-iets-kruimige-aardappel,Inhoud en gewicht3 KilogramPortiegrootte: 200 gramAantal porties: 15,,,2 g,371 kJ (88 kcal),,,,19 g,,,,,450 mg,0 g,,,,,,,0.3 mg,14 mg,,,,1.8 g,,,0 g,,0 g,,
aardappel-groente-fruit?minPrice=3&maxPrice=99,8.96,Chiquita banaan Oranje smoothie pakket	,per pakket,,False,False,https://www.ah.nl/producten/product/wi547124/chiquita-banaan-oranje-smoothie-pakket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aardappel-groente-fruit?minPrice=3&maxPrice=99,3.19,Pink Lady Schaal,4 stuks,,False,False,https://www.ah.nl/producten/product/wi117190/pink-lady-schaal,Inhoud en gewicht4 Stuks4 stuks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aardappel-groente-fruit?minPrice=3&maxPrice=99,5.69,Zespri Kiwi sungold,"750 gPrijs per KG € 7,59",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi367212/zespri-kiwi-sungold,Inhoud en gewicht750 Gram,,,1 g,243 kJ (58 kcal),,,,12 g,,,,,315 mg,0.3 g,,,,,,,,135 mg,,,,1.4 g,,,0.2 g,,0.1 g,,
aardappel-groente-fruit?minPrice=3&maxPrice=99,5.99,AH Blauwe bessen,"500 gNormale prijs per KG € 11,98",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi495931/ah-blauwe-bessen,Inhoud en gewicht500 GramPortiegrootte: 125 gramAantal porties: 4,,,0.7 g,218 kJ (52 kcal),,,,11 g,,,,,,0 g,,,,,,,,,,,19.3 µg,2.4 g,,,0 g,,0 g,,
aardappel-groente-fruit?minPrice=3&maxPrice=99,4.39,AH Kiwi groen,"1 kgPrijs per KG € 4,39",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi129242/ah-kiwi-groen,Inhoud en gewicht1 Kilogram,,,0.9 g,250 kJ (59 kcal),34.2 µg,,,11 g,,,,,312 mg,0.8 g,,,,,,,,79 mg,,,,2.3 g,,,0.4 g,,0.2 g,,
aardappel-groente-fruit?minPrice=3&maxPrice=99,5.69,AH Snoepgroente tomaat,"1 kgPrijs per KG € 5,69",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi465601/ah-snoepgroente-tomaat,Inhoud en gewicht1000 GramPortiegrootte: 250 gramAantal porties: 4,,,0.9 g,128 kJ (31 kcal),,,,4 g,,,,,,0.8 g,,,,,,,,24 mg,,,,1.9 g,,,0.5 g,,0.1 g,,
