Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Url,Content,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt
bakkerij-en-banket,1.39,AH Extra lang lekker tijger bruin heel,per stuk,Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi112339/ah-extra-lang-lekker-tijger-bruin-heel,Inhoud en gewicht1 StuksPortiegrootte: 35 gramAantal porties: 22,,,9.6 g,997 kJ (236 kcal),,,,44 g,,,,,,1.3 g,,,,,,,,,,,,4.7 g,,,0.6 g,,0.3 g,,
bakkerij-en-banket,1.99,AH Tijger volkoren heel ovenvers,"per stukPrijs per KG € 2,49",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi446412/ah-tijger-volkoren-heel-ovenvers,Inhoud en gewicht1 StuksPortiegrootte: 35 gramAantal porties: 22,,,12 g,933 kJ (221 kcal),,,,36 g,,,,,,1.8 g,,,,,,,,,,,,6.3 g,,,1.2 g,,0.2 g,,
bakkerij-en-banket,1.69,AH Zaans volkoren heel,per stuk,Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi48711/ah-zaans-volkoren-heel,Inhoud en gewicht1 StuksPortiegrootte: 35 gramAantal porties: 22,,,12 g,972 kJ (230 kcal),,,,38 g,,,,,,1.8 g,,,,,,,,,,,,6.9 g,,,1 g,,0.5 g,,
bakkerij-en-banket,2.59,AH Les pain madeleine heel,"per stukNormale prijs per KG € 3,24",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi446407/ah-les-pain-madeleine-heel,Inhoud en gewicht1 StuksPortiegrootte: 35 gramAantal porties: 22,,,10 g,1099 kJ (260 kcal),,,,48 g,,,,,,2.6 g,,,,,,,,,,,,2.1 g,,,2 g,,0.3 g,,
bakkerij-en-banket,0.59,AH Kaiserbroodjes,"4 stuksPrijs per KG € 2,95",Nutri-Score B,True,True,https://www.ah.nl/producten/product/wi59724/ah-kaiserbroodjes,Inhoud en gewicht200 GramPortiegrootte: 50 gramAantal porties: 4,,,9.2 g,1130 kJ (267 kcal),,,,54 g,,,,,,0.9 g,,,,,,,,,,,,2.8 g,,,0.7 g,,0.2 g,,
bakkerij-en-banket,0.85,AH Zaans volkoren half,per stuk,Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi48712/ah-zaans-volkoren-half,Inhoud en gewicht1 StuksPortiegrootte: 35 gramAantal porties: 11,,,12 g,972 kJ (230 kcal),,,,38 g,,,,,,1.8 g,,,,,,,,,,,,6.9 g,,,1 g,,0.5 g,,
bakkerij-en-banket,1.09,AH Volkoren heel,per stuk,Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi112356/ah-volkoren-heel,Inhoud en gewicht1 StuksPortiegrootte: 35 gramAantal porties: 22,,,11 g,933 kJ (221 kcal),,,,37 g,,,,,,1.7 g,,,,,,,,,,,,6.7 g,,,0.8 g,,0.4 g,,
bakkerij-en-banket,1.19,AH Witte bollen,6 stuks,Nutri-Score B,False,True,https://www.ah.nl/producten/product/wi112335/ah-witte-bollen,Inhoud en gewicht6 StuksPortiegrootte: 50 gramAantal porties: 6,,,9.8 g,1044 kJ (246 kcal),,,,48 g,,,,,,1.3 g,,,,,,,,,,,,1.7 g,,,0.8 g,,0.3 g,,
bakkerij-en-banket,1.39,AH Extra lang lekker bollen wit,8 stuks,Nutri-Score B,False,True,https://www.ah.nl/producten/product/wi497602/ah-extra-lang-lekker-bollen-wit,Inhoud en gewicht8 StuksPortiegrootte: 50 gramAantal porties: 8,,,9.9 g,1076 kJ (254 kcal),,,,48 g,,,,,,2.1 g,,,,,,,,,,,,1.7 g,,,0.9 g,,0.9 g,,
bakkerij-en-banket,0.65,AH Franse baguettes,2 stuks,Nutri-Score B,True,True,https://www.ah.nl/producten/product/wi73/ah-franse-baguettes,Inhoud en gewicht300 GramPortiegrootte: 10 gramAantal porties: 30,,,7.2 g,1023 kJ (241 kcal),,,,50 g,,,,,,1 g,,,,,,,,,,,,1.7 g,,,0.8 g,,0.2 g,,
bakkerij-en-banket,0.99,AH Luchtige cracker volkoren met rijstbloem,"250 gPrijs per KG € 3,96",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi196377/ah-luchtige-cracker-volkoren-met-rijstbloem,"Inhoud en gewicht250 GramPortiegrootte: 7,5 gramAantal porties: 33",,,10 g,1486 kJ (352 kcal),,,,63 g,,,,,,3.6 g,,,,,,,,,,,,14 g,,,2 g,,0.4 g,,
bakkerij-en-banket,2.59,AH Les pain boulogne heel,"per stukNormale prijs per KG € 3,24",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi446406/ah-les-pain-boulogne-heel,Inhoud en gewicht1 StuksPortiegrootte: 35 gramAantal porties: 22,,,14 g,1058 kJ (251 kcal),,,,34 g,,,,,,4.9 g,,,,,,,,,,,,7.6 g,,,3.2 g,,0.8 g,,
bakkerij-en-banket,0.75,AH Extra lang lekker tijger bruin half,per stuk,Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi53734/ah-extra-lang-lekker-tijger-bruin-half,Inhoud en gewicht1 StuksPortiegrootte: 35 gramAantal porties: 11,,,9.6 g,997 kJ (236 kcal),,,,44 g,,,,,,1.3 g,,,,,,,,,,,,4.7 g,,,0.6 g,,0.3 g,,
bakkerij-en-banket,2.59,AH Les pain triomphe heel,"per stukNormale prijs per KG € 3,24",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi446408/ah-les-pain-triomphe-heel,Inhoud en gewicht1 StuksPortiegrootte: 35 gramAantal porties: 22,,,12 g,1155 kJ (274 kcal),,,,43 g,,,,,,5.2 g,,,,,,,,,,,,3.4 g,,,4.3 g,,0.6 g,,
bakkerij-en-banket,1.69,AH Rozijnen krentenbollen,6 stuks,Nutri-Score C,False,True,https://www.ah.nl/producten/product/wi30248/ah-rozijnen-krentenbollen,Inhoud en gewicht6 StuksPortiegrootte: 65 gramAantal porties: 6,,,8.1 g,1160 kJ (274 kcal),,,,54 g,,,,,,2.2 g,,,,,,,,,,,,2.9 g,,,1.3 g,,0.7 g,,
bakkerij-en-banket,1.59,AH Extra lang lekker mini rozijnenbol,9 stuks,Nutri-Score C,False,True,https://www.ah.nl/producten/product/wi497624/ah-extra-lang-lekker-mini-rozijnenbol,Inhoud en gewicht9 StuksPortiegrootte: 40 gramAantal porties: 9,,,8.2 g,1194 kJ (282 kcal),,,,55 g,,,,,,2.6 g,,,,,,,,,,,,2.9 g,,,0.9 g,,1.5 g,,
bakkerij-en-banket,1.29,AH Volkoren bollen,6 stuks,Nutri-Score A,False,True,https://www.ah.nl/producten/product/wi366059/ah-volkoren-bollen,Inhoud en gewicht6 StuksPortiegrootte: 50 gramAantal porties: 6,,,11 g,967 kJ (229 kcal),,,,37 g,,,,,,2.6 g,,,,,,,,,,,,6.8 g,,,1.2 g,,0.9 g,,
bakkerij-en-banket,1.39,AH Les pain Boulogne half,per stuk,Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi485689/ah-les-pain-boulogne-half,Inhoud en gewicht1 StuksPortiegrootte: 35 gramAantal porties: 11,,,14 g,1058 kJ (251 kcal),,,,34 g,,,,,,4.9 g,,,,,,,,,,,,7.6 g,,,3.2 g,,0.8 g,,
bakkerij-en-banket,0.99,AH Bruin heel,"per stukPrijs per KG € 1,24",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi112355/ah-bruin-heel,Inhoud en gewicht1 StuksPortiegrootte: 35 gramAantal porties: 22,,,9.8 g,984 kJ (233 kcal),,,,43 g,,,,,,1.3 g,,,,,,,,,,,,4.8 g,,,0.6 g,,0.3 g,,
bakkerij-en-banket,0.75,AH Casino wit half,per stuk,Nutri-Score B,False,False,https://www.ah.nl/producten/product/wi50856/ah-casino-wit-half,Inhoud en gewicht1 StuksPortiegrootte: 35 gramAantal porties: 11,,,9 g,1060 kJ (250 kcal),,,,50 g,,,,,,1.2 g,,,,,,,,,,,,1.6 g,,,0.5 g,,0.4 g,,
bakkerij-en-banket,1.39,AH Extra lang lekker bollen volkoren,8 stuks,Nutri-Score A,False,True,https://www.ah.nl/producten/product/wi497603/ah-extra-lang-lekker-bollen-volkoren,Inhoud en gewicht8 StuksPortiegrootte: 50 gramAantal porties: 8,,,8.4 g,990 kJ (235 kcal),,,,41 g,,,,,,2.5 g,,,,,,,,,,,,7.2 g,,,1.2 g,,0.9 g,,
bakkerij-en-banket,1.89,AH Brabantse eierkoeken,4 stuks,Nutri-Score C,False,True,https://www.ah.nl/producten/product/wi128919/ah-brabantse-eierkoeken,Inhoud en gewicht4 StuksPortiegrootte: 55 gramAantal porties: 4,,,7.5 g,1334 kJ (314 kcal),,,,67 g,,,,,,1.6 g,,,,,,,,,,,,1 g,,,0.9 g,,0.5 g,,
bakkerij-en-banket,2.79,AH Vloerbrood meergranen heel,per stuk,Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi485698/ah-vloerbrood-meergranen-heel,Inhoud en gewicht1 StuksPortiegrootte: 35 gramAantal porties: 22,,,12 g,1092 kJ (258 kcal),,,,45 g,,,,,,2.1 g,,,,,,,,,,,,5.7 g,,,1.4 g,,0.3 g,,
bakkerij-en-banket,0.99,AH Kristalsuiker,"1 kgPrijs per KG € 0,99",Nutri-Score D,True,True,https://www.ah.nl/producten/product/wi511002/ah-kristalsuiker,Inhoud en gewicht1 KilogramPortiegrootte: 2 gramAantal porties: 500,,,0 g,1700 kJ (400 kcal),,,,100 g,,,,,,0 g,,,,,,,,,,,,0 g,,,0 g,,0 g,,
bakkerij-en-banket,2.99,AH Liefde & Passie Spelt gesneden,per stuk,Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi490856/ah-liefde-en-passie-spelt-gesneden,Inhoud en gewicht550 GramPortiegrootte: 35 gramAantal porties: 15,,,11 g,1321 kJ (314 kcal),,,,43 g,,,,,,10 g,,,,,,,,,,,,4.1 g,,,8.4 g,,1.2 g,,
bakkerij-en-banket,1.89,AH Voordeel schnittbroodjes wit,10 stuks,Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi459023/ah-voordeel-schnittbroodjes-wit,Inhoud en gewicht700 GramPortiegrootte: 70 gramAantal porties: 10,,,10 g,1111 kJ (262 kcal),,,,52 g,,,,,,0.9 g,,,,,,,,,,,,2.9 g,,,0.8 g,,0.1 g,,
bakkerij-en-banket,1.79,LU Mini crackers olijfolie & oregano,"250 gPrijs per KG € 7,16",,False,False,https://www.ah.nl/producten/product/wi2432/lu-mini-crackers-olijfolie-en-oregano,Inhoud en gewicht250 GramPortiegrootte: 100 g,,,11 g,437 kcal (1840 kJ),,,,66 g,,,,,,13 g,,,,,,,,,,,,4 g,,,,,2.9 g,,
bakkerij-en-banket,1.19,AH Bruine bollen,6 stuks,Nutri-Score A,False,True,https://www.ah.nl/producten/product/wi30250/ah-bruine-bollen,Inhoud en gewicht6 StuksPortiegrootte: 50 gramAantal porties: 6,,,10 g,993 kJ (235 kcal),,,,43 g,,,,,,1.5 g,,,,,,,,,,,,4.5 g,,,0.8 g,,0.4 g,,
bakkerij-en-banket,1.25,AH Hamburgerbroodjes,4 stuks,Nutri-Score B,True,True,https://www.ah.nl/producten/product/wi226057/ah-hamburgerbroodjes,Inhoud en gewicht4 StuksPortiegrootte: 55 gramAantal porties: 4,,,9.9 g,1179 kJ (279 kcal),,,,46 g,,,,,,5.6 g,,,,,,,,,,,,2.7 g,,,4.5 g,,1.1 g,,
bakkerij-en-banket,2.09,AH Waldkorn classic heel,per stuk,Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi512387/ah-waldkorn-classic-heel,Inhoud en gewicht1 StuksPortiegrootte: 35 gramAantal porties: 22,,,13 g,1130 kJ (268 kcal),,,,40 g,,,,,,4.9 g,,,,,,,,,,,,6 g,,,3.7 g,,1 g,,
bakkerij-en-banket,0.75,AH Extra lang lekker tijger wit half,per stuk,Nutri-Score B,False,True,https://www.ah.nl/producten/product/wi36136/ah-extra-lang-lekker-tijger-wit-half,Inhoud en gewicht1 StuksPortiegrootte: 35 gramAantal porties: 11,,,8.8 g,1036 kJ (244 kcal),,,,49 g,,,,,,1.1 g,,,,,,,,,,,,1.6 g,,,0.5 g,,0.3 g,,
bakkerij-en-banket,2.09,AH Waldkorn volkoren heel,per stuk,Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi512388/ah-waldkorn-volkoren-heel,Inhoud en gewicht1 StuksPortiegrootte: 35 gramAantal porties: 22,,,10 g,977 kJ (232 kcal),,,,35 g,,,,,,3.9 g,,,,,,,,,,,,8.4 g,,,2.9 g,,0.5 g,,
bakkerij-en-banket,1.09,AH Tijger volkoren half ovenvers,per stuk,Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi485691/ah-tijger-volkoren-half-ovenvers,Inhoud en gewicht1 StuksPortiegrootte: 35 gramAantal porties: 11,,,12 g,933 kJ (221 kcal),,,,36 g,,,,,,1.8 g,,,,,,,,,,,,6.3 g,,,1.2 g,,0.2 g,,
bakkerij-en-banket,1.19,AH Roomboter croissants,4 stuks,Nutri-Score D,False,True,https://www.ah.nl/producten/product/wi1628/ah-roomboter-croissants,Inhoud en gewicht180 GramPortiegrootte: 45 gramAantal porties: 4,,,7.3 g,1684 kJ (403 kcal),,,,45 g,,,,,,21 g,,,,,,,,,,,,2.2 g,,,7.1 g,,14 g,,
bakkerij-en-banket,0.99,AH Frans stokbrood,per stuk,Nutri-Score B,True,True,https://www.ah.nl/producten/product/wi1622/ah-frans-stokbrood,Inhoud en gewicht220 GramPortiegrootte: 10 gramAantal porties: 22,,,8.5 g,1080 kJ (255 kcal),,,,52 g,,,,,,0.9 g,,,,,,,,,,,,2.3 g,,,0.7 g,,0.2 g,,
bakkerij-en-banket,2.59,AH Les pain bastille heel,"per stukNormale prijs per KG € 3,24",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi446405/ah-les-pain-bastille-heel,Inhoud en gewicht1 StuksPortiegrootte: 35 gramAantal porties: 22,,,15 g,1066 kJ (253 kcal),,,,34 g,,,,,,4.8 g,,,,,,,,,,,,6.9 g,,,3.8 g,,0.6 g,,
bakkerij-en-banket,1.15,AH Waldkorn volkoren half,per stuk,Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi512392/ah-waldkorn-volkoren-half,Inhoud en gewicht1 StuksPortiegrootte: 35 gramAantal porties: 11,,,10 g,977 kJ (232 kcal),,,,35 g,,,,,,3.9 g,,,,,,,,,,,,8.4 g,,,2.9 g,,0.5 g,,
bakkerij-en-banket,2.79,AH Vloerbrood volkoren heel,per stuk,Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi485699/ah-vloerbrood-volkoren-heel,Inhoud en gewicht1 StuksPortiegrootte: 35 gramAantal porties: 22,,,12 g,998 kJ (236 kcal),,,,39 g,,,,,,2 g,,,,,,,,,,,,7.1 g,,,1.2 g,,0.3 g,,
bakkerij-en-banket,0.75,AH Pita broodjes,10 stuks,Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi221858/ah-pita-broodjes,Inhoud en gewicht500 GramPortiegrootte: 50 gramAantal porties: 10,,,8.4 g,1037 kJ (245 kcal),,,,49 g,,,,,,1 g,,,,,,,,,,,,3 g,,,0.8 g,,0.2 g,,
bakkerij-en-banket,1.38,AH Stokbrood kruidenboter,2 stuks,Nutri-Score D,False,True,https://www.ah.nl/producten/product/wi451996/ah-stokbrood-kruidenboter,Inhoud en gewicht350 Gram2 baguettes á 175 gPortiegrootte: 22 gramAantal porties: 16,,,7.5 g,1279 kJ (305 kcal),,,,38 g,,,,,,13 g,,,,,,,,,,,,3 g,2.5 g,0.5 g,3 g,,9.2 g,,
bakkerij-en-banket,0.79,AH Tarwe bloem,"1 kgPrijs per KG € 0,79",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi36783/ah-tarwe-bloem,Inhoud en gewicht1 KilogramPortiegrootte: 100 gramAantal porties: 10,,,11 g,1480 kJ (349 kcal),,,,72 g,,,,,,1.1 g,,,,,,,,,,,,3.5 g,,,0.7 g,,0.2 g,,
bakkerij-en-banket,1.59,LU Mini crackers naturel,"250 gPrijs per KG € 6,36",,False,False,https://www.ah.nl/producten/product/wi62912/lu-mini-crackers-naturel,Inhoud en gewicht250 GramPortiegrootte: 1 flowpack = 5 crackers; 1 pak = 8 x 5 crackers,,,11 g,1841 kJ (437 kcal),,,,69 g,,,,,,12 g,,,,,,,,,,,,3.5 g,,,,,5.3 g,,
bakkerij-en-banket,1.39,AH Extra lang lekker tijger wit heel,per stuk,Nutri-Score B,False,True,https://www.ah.nl/producten/product/wi200973/ah-extra-lang-lekker-tijger-wit-heel,Inhoud en gewicht1 StuksPortiegrootte: 35 gramAantal porties: 22,,,8.8 g,1036 kJ (244 kcal),,,,49 g,,,,,,1.1 g,,,,,,,,,,,,1.6 g,,,0.5 g,,0.3 g,,
bakkerij-en-banket,0.85,AH Zaans bruin half,per stuk,Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi48709/ah-zaans-bruin-half,Inhoud en gewicht1 StuksPortiegrootte: 35 gramAantal porties: 11,,,9.6 g,1001 kJ (236 kcal),,,,44 g,,,,,,1.4 g,,,,,,,,,,,,4.7 g,,,0.5 g,,0.4 g,,
bakkerij-en-banket,1.39,AH Les pain madeleine half,per stuk,Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi485707/ah-les-pain-madeleine-half,Inhoud en gewicht1 StuksPortiegrootte: 35 gramAantal porties: 11,,,10 g,1099 kJ (260 kcal),,,,48 g,,,,,,2.6 g,,,,,,,,,,,,2.1 g,,,2 g,,0.3 g,,
bakkerij-en-banket,2.99,AH Brood spelt volkoren gesneden,per stuk,Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi490859/ah-brood-spelt-volkoren-gesneden,Inhoud en gewicht550 GramPortiegrootte: 35 gramAantal porties: 15,,,11 g,1188 kJ (283 kcal),,,,37 g,,,,,,8.5 g,,,,,,,,,,,,7.2 g,,,6.6 g,,1 g,,
bakkerij-en-banket,0.99,AH Witte pistolets,4 stuks,Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi232390/ah-witte-pistolets,Inhoud en gewicht300 GramPortiegrootte: 75 gramAantal porties: 4,,,8.8 g,1104 kJ (260 kcal),,,,52 g,,,,,,1.2 g,,,,,,,,,,,,3.2 g,,,1 g,,0.2 g,,
bakkerij-en-banket,1.19,AH Witte puntjes,6 stuks,Nutri-Score B,False,True,https://www.ah.nl/producten/product/wi30249/ah-witte-puntjes,Inhoud en gewicht6 StuksPortiegrootte: 50 gramAantal porties: 6,,,9.8 g,1044 kJ (246 kcal),,,,48 g,,,,,,1.3 g,,,,,,,,,,,,1.7 g,,,0.8 g,,0.3 g,,
bakkerij-en-banket,2.29,Liga Cracotte volkoren crackers,"250 gPrijs per KG € 9,16",,False,False,https://www.ah.nl/producten/product/wi114389/liga-cracotte-volkoren-crackers,"Inhoud en gewicht250 GramPortiegrootte: 1 cracotte (7,35g)",,,11 g,369 kcal (1564 kJ),,,,72 g,,,,,,2.9 g,,,,,,,,,,,,5.1 g,,,,,1 g,,
bakkerij-en-banket,1.99,AH Tijger bruin heel ovenvers,"per stukPrijs per KG € 2,49",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi446411/ah-tijger-bruin-heel-ovenvers,Inhoud en gewicht1 StuksPortiegrootte: 35 gramAantal porties: 22,,,9.5 g,972 kJ (230 kcal),,,,42 g,,,,,,1.6 g,,,,,,,,,,,,4.6 g,,,1.1 g,,0.2 g,,
bakkerij-en-banket,1.39,AH Mini eierkoeken,8 stuks,Nutri-Score C,False,True,https://www.ah.nl/producten/product/wi201559/ah-mini-eierkoeken,Inhoud en gewicht8 StuksPortiegrootte: 28 gramAantal porties: 8,,,6.4 g,1227 kJ (289 kcal),,,,61 g,,,,,,2 g,,,,,,,,,,,,0.9 g,,,1.2 g,,0.6 g,,
