Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Url,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt
diepvries,0.81,AH Vrieslollies,10 stuks,Nutri-Score C,True,True,https://www.ah.nl/producten/product/wi793/ah-vrieslollies,,,0 g,238 kJ (56 kcal),,,,14 g,,,,,,0 g,,,,,,,,,,,,0 g,,,0 g,,0 g,,
diepvries,0.87,AH IJsblokjes,"1 kgPrijs per KG € 0,87",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi212118/ah-ijsblokjes,,,0 g,0 kJ (0 kcal),,,,0 g,,,,,,0 g,,,,,,,,,,,,0 g,,,0 g,,0 g,,
diepvries,0.77,AH Gebroken sperziebonen fijn,"450 gPrijs per KG € 1,71",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi226498/ah-gebroken-sperziebonen-fijn,,,1.9 g,132 kJ (32 kcal),,,,3.8 g,,,,,,0.1 g,,,,,,,,,,,,3.9 g,,,0 g,,0 g,,
diepvries,0.89,AH Bladerdeeg,"10 plakjesPrijs per KG € 1,98",Nutri-Score D,False,True,https://www.ah.nl/producten/product/wi1241/ah-bladerdeeg,,,5.8 g,1445 kJ (346 kcal),,,,37 g,,,,,,19 g,,,,,,,,,,,,1.8 g,,,9.4 g,,9.2 g,,
diepvries,1.42,AH Oven friet,"750 gPrijs per KG € 1,89",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi195093/ah-oven-friet,,,2 g,625 kJ (150 kcal),,,,25 g,,,,,,4 g,,,,,,,,,,,,2.5 g,,,3.5 g,,0.5 g,,
diepvries,0.99,AH Vier kleuren sticks,8 stuks,Nutri-Score C,False,True,https://www.ah.nl/producten/product/wi167127/ah-vier-kleuren-sticks,,,0.1 g,345 kJ (81 kcal),,,,20 g,,,,,,0.04 g,,,,,,,,,,,,0.2 g,,,0 g,,0.04 g,,
diepvries,2.79,Dr. Oetker Ristorante pizza salami,"320 gPrijs per KG € 8,72",Nutri-Score C,False,False,https://www.ah.nl/producten/product/wi514003/dr-oetker-ristorante-pizza-salami,,,10 g,1093 kJ (261 kcal),,,,25 g,,,,,,13 g,,,,,,,,,,,,2.3 g,,,,,4.6 g,,
diepvries,0.84,AH Tuinerwten fijn,"450 gPrijs per KG € 1,87",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi788/ah-tuinerwten-fijn,,,5.7 g,296 kJ (70 kcal),,,,9.3 g,,,,,,0 g,,,,,,,,,,,,5.1 g,,,0 g,,0 g,,
diepvries,1.89,Mora Kipsaté milde pindasaus,"160 gPrijs per KG € 11,81",,False,False,https://www.ah.nl/producten/product/wi408979/mora-kipsate-milde-pindasaus,,,14 g,717 kJ (171 kcal),,,,10 g,,,,,,8.2 g,,,,,,,,,,,,,,,,,1.4 g,,
diepvries,1.15,AH Franse friet,"750 gPrijs per KG € 1,53",Nutri-Score B,True,True,https://www.ah.nl/producten/product/wi195092/ah-franse-friet,,,2.5 g,761 kJ (181 kcal),,,,28 g,,,,,,6 g,,,,,,,,,,,,2.5 g,,,5 g,,0.7 g,,
diepvries,1.85,AH Oven frikandel,"350 gPrijs per KG € 5,29",Nutri-Score D,False,False,https://www.ah.nl/producten/product/wi420326/ah-oven-frikandel,,,13 g,945 kJ (230 kcal),,,,7.5 g,,,,,,16 g,,,,,,,,,,,,0.8 g,,,10 g,,5.5 g,,
diepvries,1.85,Iglo Spinazie à la crème,"750 gPrijs per KG € 2,47",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi226440/iglo-spinazie-a-la-creme,,,3.5 g,228 kJ (55 kcal),,,,3.4 g,,,,,,2.6 g,521 µg,,45.5 µg,,,,,,,,706 µg,1.8 g,,,,,0.7 g,,
diepvries,4.99,AH Zalmfilet,"250 gPrijs per KG € 19,96",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi135757/ah-zalmfilet,,,20 g,747 kJ (179 kcal),,,,0 g,,,,,,11 g,,,,,,,,,,,,0 g,,,9.4 g,,2 g,,
diepvries,5.30,AH Zakje met blauwe bessen,"1 kgPrijs per KG € 5,30",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi376521/ah-zakje-met-blauwe-bessen,,,0.4 g,212 kJ (50 kcal),,,,9.5 g,,,,,,0.6 g,,,,,,,,,,,,2.7 g,,,0.4 g,,0.1 g,,
diepvries,1.19,AH Saté ajam,"160 gPrijs per KG € 7,44",Nutri-Score C,False,False,https://www.ah.nl/producten/product/wi429057/ah-sate-ajam,,,11 g,961 kJ (230 kcal),,,,14 g,,,,,,14 g,,,,,,,,,,,,2.2 g,,,12 g,,2.9 g,,
diepvries,2.59,Mora Oven frikandel,"4 x 70 gPrijs per KG € 9,25",,False,False,https://www.ah.nl/producten/product/wi220407/mora-oven-frikandel,,,12 g,947 kJ (228 kcal),,,,6.3 g,,,,,,17 g,,,,,,,,,,,,,,,,,5.4 g,,
diepvries,2.29,Aviko SuperCrunch originals Franse frites,"750 gPrijs per KG € 3,05",,False,False,https://www.ah.nl/producten/product/wi169184/aviko-supercrunch-originals-franse-frites,,,2.5 g,720 kJ (170 kcal),,,,25.5 g,,,,,,6 g,,,,,,,,,,,,2.5 g,,,,,0.7 g,,
diepvries,2.49,Aviko SuperCrunch airfryer pommes frites,"750 gPrijs per KG € 3,32",,False,False,https://www.ah.nl/producten/product/wi397800/aviko-supercrunch-airfryer-pommes-frites,,,2.5 g,645 kJ (155 kcal),,,,26.5 g,,,,,,3.5 g,,,,,,,,,,,,2.5 g,,,,,0.4 g,,
diepvries,1.99,Délifrance Roomboter croissants,"6 stuksPrijs per KG € 6,03",,False,False,https://www.ah.nl/producten/product/wi146484/delifrance-roomboter-croissants,,,6.1 g,1337 kJ (319 kcal),,,,37.6 g,,,,,,15.6 g,,,,,,,,,,,,1.9 g,,,,,10.1 g,,
diepvries,1.49,AH Spinazie à la creme,"1 kgPrijs per KG € 1,49",Nutri-Score A,False,True,https://www.ah.nl/producten/product/wi178124/ah-spinazie-a-la-creme,,,2 g,180 kJ (43 kcal),,,,3 g,,,,,,2 g,275 µg,,,,,,,,,,,2.5 g,,,1.5 g,,0.7 g,,
diepvries,1.99,AH Airfryer ovenfriet,"600 gPrijs per KG € 3,32",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi384771/ah-airfryer-ovenfriet,,,3.6 g,824 kJ (196 kcal),,,,33 g,,,,,,4.8 g,,,,,,,,,,,,3 g,,,4.2 g,,0.6 g,,
diepvries,1.66,AH Choco's mini mix,8 stuks,Nutri-Score E,False,True,https://www.ah.nl/producten/product/wi437046/ah-choco-s-mini-mix,,,3.6 g,1461 kJ (350 kcal),,,,34 g,,,,,,22 g,,,,,,,,,,,,1 g,,,6.2 g,,15 g,,
diepvries,3.39,Ola Raket,"12 stuksPrijs per LT € 5,14",,False,False,https://www.ah.nl/producten/product/wi209562/ola-raket,,,< 0.5 g,75 kcal (320 kJ),,,,18 g,,,,,,< 0.5 g,,,,,,,,,,,,,,,,,< 0.5 g,,
diepvries,1.19,AH Spinazie,"1 kgPrijs per KG € 1,19",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi178125/ah-spinazie,,,2 g,118 kJ (28 kcal),84 µg,2.4 mg,,2 g,,,,,,0.6 g,,,,,,,,,,,,3.5 g,,,0.5 g,,0.1 g,,
diepvries,1.79,AH IJshoorntjes,8 x 120 ml,Nutri-Score D,False,True,https://www.ah.nl/producten/product/wi57674/ah-ijshoorntjes,,,3.3 g,1153 kJ (275 kcal),,,,36 g,,,,,,13 g,,,,,,,,,,,,0.5 g,,,1 g,,11 g,,
diepvries,1.39,AH Doosje met mangostukjes,"250 gPrijs per KG € 5,56",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi164070/ah-doosje-met-mangostukjes,,,0.5 g,289 kJ (68 kcal),,,,15 g,,,,,,0.3 g,229.5 µg,,,,,,,27.7 mg,,,,1.8 g,,,0.2 g,,0.1 g,,
diepvries,4.92,AH Zakje met zomerfruit,"1000 gPrijs per KG € 4,92",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi376520/ah-zakje-met-zomerfruit,,,1 g,291 kJ (69 kcal),,,,13 g,,,,,,0.3 g,,,,,,,,,,,,5.2 g,,,0.2 g,,0.04 g,,
diepvries,2.35,AH Broccoliroosjes,"1 kgPrijs per KG € 2,35",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi121473/ah-broccoliroosjes,,,3 g,110 kJ (26 kcal),,,,2 g,,,,,,0 g,,,,,,,,,,,,3.1 g,,,0 g,,0 g,,
diepvries,1.79,AH Pompoenblokjes,"450 gPrijs per KG € 3,98",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi178151/ah-pompoenblokjes,,,1 g,159 kJ (37 kcal),,,,8 g,,,,,,0 g,,,,,,,,,,,,0.7 g,,,0 g,,0 g,,
diepvries,5.05,AH Zakje met mango stukjes,"1 kgPrijs per KG € 5,05",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi445512/ah-zakje-met-mango-stukjes,,,0.5 g,289 kJ (68 kcal),,,,15 g,,,,,,0.3 g,229.5 µg,,,,,,,27.7 mg,,,,1.8 g,,,0.2 g,,0.1 g,,
diepvries,1.59,Hertog Citroentaart meringue,"200 mlPrijs per LT € 7,95",,False,False,https://www.ah.nl/producten/product/wi515664/hertog-citroentaart-meringue,,,1.3 g,177 kcal (741 kJ),,,,23 g,,,,,,8.4 g,,,,,,,,,,,,,,,,,6.8 g,,
diepvries,2.79,Dr. Oetker Ristorante pizza mozzarella,"355 gPrijs per KG € 7,86",Nutri-Score B,False,False,https://www.ah.nl/producten/product/wi513999/dr-oetker-ristorante-pizza-mozzarella,,,10 g,998 kJ (238 kcal),,,,23 g,,,,,,11 g,,,,,,,,,,,,2.1 g,,,,,3.9 g,,
diepvries,0.75,AH Kipsate op stokje,"130 gPrijs per KG € 5,77",Nutri-Score C,False,False,https://www.ah.nl/producten/product/wi429055/ah-kipsate-op-stokje,,,11 g,927 kJ (223 kcal),,,,12 g,,,,,,14 g,,,,,,,,,,,,2.3 g,,,11 g,,3 g,,
diepvries,2.99,AH Krokante friet,"2,5 kgPrijs per KG € 1,20",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi217595/ah-krokante-friet,,,2.5 g,531 kJ (126 kcal),,,,21 g,,,,,,3 g,,,,,,,,,,,,2.5 g,,,2.5 g,,0.4 g,,
diepvries,2.25,Aviko SuperCrunch oven pommes frites,"750 gPrijs per KG € 3,00",,False,False,https://www.ah.nl/producten/product/wi165152/aviko-supercrunch-oven-pommes-frites,,,2.5 g,645 kJ (155 kcal),,,,26.5 g,,,,,,3.5 g,,,,,,,,,,,,2.5 g,,,,,0.4 g,,
diepvries,1.11,AH Aardappelkroketjes,"600 gPrijs per KG € 1,85",Nutri-Score B,True,True,https://www.ah.nl/producten/product/wi772/ah-aardappelkroketjes,,,2.2 g,642 kJ (153 kcal),,,,22 g,,,,,,5.7 g,,,,,,,,,,,,2.5 g,,,5 g,,0.7 g,,
diepvries,2.49,AH Vissticks,15 stuks,Nutri-Score B,False,False,https://www.ah.nl/producten/product/wi467462/ah-vissticks,,,13 g,798 kJ (191 kcal),,,,14 g,,,,,,9 g,,,,,,,,,,,,0.8 g,,,8.2 g,,0.8 g,,
diepvries,0.89,AH Ruimte ijsjes,9 stuks,Nutri-Score C,False,True,https://www.ah.nl/producten/product/wi139096/ah-ruimte-ijsjes,,,0.01 g,257 kJ (61 kcal),,,,15 g,,,,,,0.01 g,,,,,,,,,,,,0.2 g,,,0 g,,0.01 g,,
diepvries,2.75,Aviko Airfryer dunne friet,"750 gPrijs per KG € 3,67",,False,False,https://www.ah.nl/producten/product/wi474188/aviko-airfryer-dunne-friet,,,2.5 g,673 kJ (160 kcal),,,,25 g,,,,,,5 g,,,,,,,,,,,,2.5 g,,,,,0.6 g,,
diepvries,2.15,AH Biologisch Tuinerwten,"450 gPrijs per KG € 4,78",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi409994/ah-biologisch-tuinerwten,,,6.6 g,369 kJ (88 kcal),,,,12 g,,,,,,0.5 g,,,,,,,,,,,,4.3 g,,,0.3 g,,0.1 g,,
diepvries,2.29,AH Oven kroket,"320 gPrijs per KG € 7,16",Nutri-Score C,False,False,https://www.ah.nl/producten/product/wi420327/ah-oven-kroket,,,8.5 g,1123 kJ (269 kcal),,,,22 g,,,,,,16 g,,,,,,,,,,,,1.6 g,,,12 g,,4.2 g,,
diepvries,4.39,AH Zakje met aardbeien,"1 kgPrijs per KG € 4,39",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi417059/ah-zakje-met-aardbeien,,,0.7 g,140 kJ (33 kcal),,,,5.8 g,,,,,,0.4 g,,,,,,,,,,,,1.8 g,,,0.3 g,,0.02 g,,
diepvries,3.49,Dr. Oetker Ristorante pizza margherita,"295 gPrijs per KG € 11,83",Nutri-Score C,False,False,https://www.ah.nl/producten/product/wi514005/dr-oetker-ristorante-pizza-margherita,,,10 g,1060 kJ (253 kcal),,,,27 g,,,,,,11 g,,,,,,,,,,,,2.3 g,,,,,4.4 g,,
diepvries,2.29,AH Krokante pizza salami,per stuk,Nutri-Score C,False,False,https://www.ah.nl/producten/product/wi462810/ah-krokante-pizza-salami,,,11 g,1091 kJ (261 kcal),,,,26 g,,,,,,12 g,,,,,,,,,,,,2.3 g,,,7.3 g,,3.9 g,,
diepvries,2.59,AH Hamburgers,"840 gPrijs per KG € 3,08",Nutri-Score D,False,False,https://www.ah.nl/producten/product/wi429053/ah-hamburgers,,,13 g,876 kJ (210 kcal),,,,7.6 g,,,,,,14 g,,,,,,,,,,,,1 g,,,9.5 g,,4.9 g,,
diepvries,1.25,AH Broccoliroosjes,"450 gPrijs per KG € 2,78",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi226367/ah-broccoliroosjes,,,3 g,110 kJ (26 kcal),,,,2 g,,,,,,0 g,,,,,,,,,,,,3.1 g,,,0 g,,0 g,,
diepvries,2.79,Dr. Oetker Ristorante pizza hawaii,"355 gPrijs per KG € 7,86",Nutri-Score B,False,False,https://www.ah.nl/producten/product/wi513996/dr-oetker-ristorante-pizza-hawaii,,,8.7 g,873 kJ (208 kcal),,,,25 g,,,,,,7.6 g,,,,,,,,,,,,2.2 g,,,,,2.7 g,,
diepvries,2.19,Aviko Aardappelschotel zwitsers,"450 gPrijs per KG € 4,87",,False,False,https://www.ah.nl/producten/product/wi185117/aviko-aardappelschotel-zwitsers,,,6 g,550 kJ (130 kcal),,,,14.5 g,,,,,,5 g,,,,,,,,,,,,2 g,,,,,2.2 g,,
diepvries,2.99,AH Frikandel,"20 stuksPrijs per KG € 2,14",Nutri-Score D,False,False,https://www.ah.nl/producten/product/wi170625/ah-frikandel,,,13 g,938 kJ (225 kcal),,,,7 g,,,,,,16 g,,,,,,,,,,,,0.7 g,,,10 g,,5.4 g,,
