Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Url,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt
frisdrank-sappen-koffie-thee,2.38,AH Water koolzuurvrij,"12 x 0,5 lPrijs per LT € 0,40",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi448163/ah-water-koolzuurvrij,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frisdrank-sappen-koffie-thee,1.99,Coca-Cola Zero sugar,"1 lPrijs per LT € 1,99",,False,False,https://www.ah.nl/producten/product/wi137741/coca-cola-zero-sugar,,,0 g,1.4 kJ (0.3 kcal),,,,0 g,,,,,,0 g,,,,,,,,,,,,,,,,,0 g,,
frisdrank-sappen-koffie-thee,1.99,Coca-Cola Regular,"1 lPrijs per LT € 1,99",,False,False,https://www.ah.nl/producten/product/wi130874/coca-cola-regular,,,0 g,180 kJ (42 kcal),,,,10.6 g,,,,,,0 g,,,,,,,,,,,,,,,,,0 g,,
frisdrank-sappen-koffie-thee,1.99,Optimel Drinkyoghurt framboos,"1 lPrijs per LT € 1,99",,False,False,https://www.ah.nl/producten/product/wi61758/optimel-drinkyoghurt-framboos,,105 mg,3.2 g,132 kJ (31 kcal),,,,3.7 g,,,,,,0 g,,,,0.15 mg,,,,,,,,,,,,,0 g,,
frisdrank-sappen-koffie-thee,2.49,Coca-Cola Zero sugar,"1,5 lPrijs per LT € 1,66",,False,False,https://www.ah.nl/producten/product/wi137739/coca-cola-zero-sugar,,,0 g,1.4 kJ (0.3 kcal),,,,0 g,,,,,,0 g,,,,,,,,,,,,,,,,,0 g,,
frisdrank-sappen-koffie-thee,2.39,Lipton Ice tea green,"1,5 lPrijs per LT € 1,59",,False,False,https://www.ah.nl/producten/product/wi132597/lipton-ice-tea-green,,,0 g,10 kcal (41 kJ),,,,2.3 g,,,,,,0 g,,,,,,,,,,,,,,,,,0 g,,
frisdrank-sappen-koffie-thee,0.89,AH Ice tea refreshing green tea,"1,5 lPrijs per LT € 0,59",Nutri-Score D,True,True,https://www.ah.nl/producten/product/wi415185/ah-ice-tea-refreshing-green-tea,,,0 g,61 kJ (14 kcal),,,,3.6 g,,,,,,0 g,,,,,,,,,,,,0 g,,,0 g,,0 g,,
frisdrank-sappen-koffie-thee,2.49,Coca-Cola Regular,"1,5 lPrijs per LT € 1,66",,False,False,https://www.ah.nl/producten/product/wi2800/coca-cola-regular,,,0 g,180 kJ (42 kcal),,,,10.6 g,,,,,,0 g,,,,,,,,,,,,,,,,,0 g,,
frisdrank-sappen-koffie-thee,9.96,Coca-Cola Zero sugar 4-pack,"4 x 1,5 lPrijs per LT € 1,66",,False,False,https://www.ah.nl/producten/product/wi137740/coca-cola-zero-sugar-4-pack,,,0 g,1.4 kJ (0.3 kcal),,,,0 g,,,,,,0 g,,,,,,,,,,,,,,,,,0 g,,
frisdrank-sappen-koffie-thee,1.99,Optimel Drinkyoghurt mango passievrucht,"1 lPrijs per LT € 1,99",,False,False,https://www.ah.nl/producten/product/wi129244/optimel-drinkyoghurt-mango-passievrucht,,105 mg,3.2 g,135 kJ (32 kcal),,,,3.8 g,,,,,,,,,,0.15 mg,,,,,,,,,,,,,,,
frisdrank-sappen-koffie-thee,1.00,AH Ginger power,"125 mlNormale prijs per LT € 8,00",Nutri-Score D,False,True,https://www.ah.nl/producten/product/wi503775/ah-ginger-power,,,0.5 g,150 kJ (35 kcal),,,,8.1 g,,,,,,0 g,,,,,,,,9.1 mg,,,,0.5 g,,,0 g,,0 g,,
frisdrank-sappen-koffie-thee,0.74,AH Cola zero,"1,5 lPrijs per LT € 0,49",Nutri-Score B,True,True,https://www.ah.nl/producten/product/wi476710/ah-cola-zero,,,0 g,3 kJ (1 kcal),,,,0.1 g,,,,,,0 g,,,,,,,,,,,,0 g,,,0 g,,0 g,,
frisdrank-sappen-koffie-thee,2.39,Fuze Tea Green tea,"1,5 lPrijs per LT € 1,59",,False,False,https://www.ah.nl/producten/product/wi428729/fuze-tea-green-tea,,,0 g,85 kJ (20 kcal),,,,4.7 g,,,,,,0 g,,,,,,,,,,,,,,,,,0 g,,
frisdrank-sappen-koffie-thee,5.29,Coca-Cola Zero 8-pack,"2 lNormale prijs per LT € 2,65",,False,False,https://www.ah.nl/producten/product/wi476713/coca-cola-zero-8-pack,,,0 g,1.4 kJ (0.3 kcal),,,,0 g,,,,,,0 g,,,,,,,,,,,,,,,,,0 g,,
frisdrank-sappen-koffie-thee,1.09,AH Drinkyoghurt framboos,"1 lPrijs per LT € 1,09",Nutri-Score A,False,True,https://www.ah.nl/producten/product/wi141708/ah-drinkyoghurt-framboos,,104.4 mg,3.1 g,116 kJ (27 kcal),,,,3.5 g,,,,,,0.1 g,,,,0.35 mg,,,0.23 mg,,,,,0.02 g,,,0 g,,0.1 g,,
frisdrank-sappen-koffie-thee,2.29,Chocomel De enige echte vol,"1 lPrijs per LT € 2,29",,False,False,https://www.ah.nl/producten/product/wi2465/chocomel-de-enige-echte-vol,,100 mg,3.2 g,87 kcal (364 kJ),,,,12 g,,,,,,2.7 g,,,,,,,,,,,,,,,,,1.9 g,,
frisdrank-sappen-koffie-thee,2.19,DubbelFrisss Appel & perzik,"1,5 lPrijs per LT € 1,46",,False,False,https://www.ah.nl/producten/product/wi132491/dubbelfrisss-appel-en-perzik,,,0 g,97 kJ (23 kcal),,,,5.6 g,,,,,,0 g,,,,,,,,,,,,,,,,,0 g,,
frisdrank-sappen-koffie-thee,0.42,AH Water koolzuurhoudend,"1,5 lPrijs per LT € 0,28",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi212120/ah-water-koolzuurhoudend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frisdrank-sappen-koffie-thee,2.49,Coca-Cola Zero sugar zero caffeine,"1,5 lPrijs per LT € 1,66",,False,False,https://www.ah.nl/producten/product/wi171607/coca-cola-zero-sugar-zero-caffeine,,,0 g,1.4 kJ (0.3 kcal),,,,0 g,,,,,,0 g,,,,,,,,,,,,,,,,,0 g,,
frisdrank-sappen-koffie-thee,1.99,Optimel Drinkyoghurt aardbei-kers,"1 lPrijs per LT € 1,99",,False,False,https://www.ah.nl/producten/product/wi121581/optimel-drinkyoghurt-aardbei-kers,,105 mg,3.2 g,134 kJ (31 kcal),,,,3.7 g,,,,,,,,,,0.15 mg,,,,,,,,,,,,,,,
frisdrank-sappen-koffie-thee,0.67,AH Bruisend mineraalwater citroen,"1,5 lPrijs per LT € 0,45",Nutri-Score B,True,True,https://www.ah.nl/producten/product/wi371500/ah-bruisend-mineraalwater-citroen,,,0 g,0 kJ (0 kcal),,,,0 g,,,,,,0 g,,,,,,,,,,,,0 g,0 g,0 g,0 g,,0 g,,
frisdrank-sappen-koffie-thee,3.29,AH Vers sap sinaasappel,"1 lPrijs per LT € 3,29",Nutri-Score C,False,True,https://www.ah.nl/producten/product/wi62198/ah-vers-sap-sinaasappel,,,0.7 g,162 kJ (38 kcal),,,,8.5 g,,,,,,0 g,,,,,,,,51 mg,,,,0.7 g,,,0 g,,0 g,,
frisdrank-sappen-koffie-thee,2.19,Pepsi Cola max zero sugar,"1,5 lNormale prijs per LT € 1,46",,False,False,https://www.ah.nl/producten/product/wi436664/pepsi-cola-max-zero-sugar,,,0.06 g,2 kJ (0.4 kcal),,,,0 g,,,,,,0 g,,,,,,,,,,,,,,,,,0 g,,
