Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt,Url
kaas-vleeswaren-tapas,2.39,De Zaanse Hoeve Mild 45+ geraspt,"200 gPrijs per KG € 11,95",Nutri-Score D,False,False,,,27 g,1603 kJ (386 kcal),,,,2 g,,,,,,30 g,,,,,,,,,,,,0 g,,,8 g,,21 g,,,
kaas-vleeswaren-tapas,3.89,De Zaanse Hoeve Jong 48+ plakken,"400 gPrijs per KG € 9,73",Nutri-Score D,False,True,,,23 g,1465 kJ (355 kcal),,,,0 g,,,,,,29 g,,,,,,,,,,,,0 g,,,8.5 g,,20 g,,,
kaas-vleeswaren-tapas,3.09,AH Scharrel kipfilet,"125 gPrijs per KG € 24,72",Nutri-Score C,False,False,,,19 g,524 kJ (125 kcal),,,,2 g,,,,,,4.5 g,,,,,,,,,,,,0 g,,,2.8 g,,1.7 g,,,
kaas-vleeswaren-tapas,2.39,Meester & Zn. Scharrel kipfilet,"150 gPrijs per KG € 15,93",Nutri-Score D,False,False,,,17 g,661 kJ (158 kcal),,,,2.3 g,,,,,,9 g,,,,,,,,,,,,0 g,,,6.5 g,,2.5 g,,,
kaas-vleeswaren-tapas,0.79,AH Zuivelspread naturel,"200 gPrijs per KG € 3,95",Nutri-Score D,False,True,,,7.8 g,781 kJ (188 kcal),,,,3.3 g,,,,,,16 g,,,,,,,,,,,,0 g,,,4 g,,10 g,,,
kaas-vleeswaren-tapas,2.99,Meester & Zn. Gerookte spekreepjes,"300 gPrijs per KG € 9,97",Nutri-Score E,False,False,,,15 g,1263 kJ (305 kcal),,,,0.5 g,,,,,,27 g,,,,,,,,,,,,0 g,,,16 g,,11 g,,,
kaas-vleeswaren-tapas,3.09,De Zaanse Hoeve Jong belegen 30+ plakken,"300 gPrijs per KG € 10,30",Nutri-Score D,False,True,,,31 g,1230 kJ (295 kcal),,,,0 g,,,,,,19 g,,,,,,,,,,,,0 g,,,6 g,,13 g,,,
kaas-vleeswaren-tapas,2.49,De Zaanse Hoeve Pittig 45+ geraspt,"200 gPrijs per KG € 12,45",Nutri-Score E,False,False,,,31 g,1745 kJ (420 kcal),,,,2 g,,,,,,32 g,,,,,,,,,,,,0 g,,,8.5 g,,22 g,,,
kaas-vleeswaren-tapas,0.79,AH Mozzarella,"220 gPrijs per KG € 6,32",Nutri-Score C,False,True,,,18 g,1026 kJ (247 kcal),,,,1 g,,,,,,19 g,,,,,,,,,,,,0 g,,,6.7 g,,12 g,,,
kaas-vleeswaren-tapas,1.39,Meester & Zn. Gerookte schouderham,"150 gPrijs per KG € 9,27",Nutri-Score D,False,False,,,15 g,448 kJ (106 kcal),,,,5.6 g,,,,,,2.6 g,,,,,,,,,,,,0.2 g,,,1.6 g,,1 g,,,
kaas-vleeswaren-tapas,0.79,AH Smeerkaas naturel,"100 gPrijs per KG € 7,90",Nutri-Score D,False,False,,,14 g,1056 kJ (255 kcal),,,,2.4 g,,,,,,21 g,,,,,,,,,,,,0 g,,,7.6 g,,13 g,,,
kaas-vleeswaren-tapas,3.07,AH Yorkham,"ca. 110 gNormale prijs per KG € 27,90",Nutri-Score D,False,False,,,18 g,544 kJ (130 kcal),,,,2 g,,,,,,5.5 g,,,,,,,,,,,,0 g,,,3 g,,2.5 g,,,
kaas-vleeswaren-tapas,2.19,AH Grillworst,"ca. 125 gPrijs per KG € 17,50",Nutri-Score E,False,False,,,14 g,1190 kJ (287 kcal),,,,1.6 g,,,,,,25 g,,,,,,,,,,,,0 g,,,16 g,,9.1 g,,,
kaas-vleeswaren-tapas,2.39,De Zaanse Hoeve Mild 30+ geraspt,"200 gPrijs per KG € 11,95",Nutri-Score D,False,False,,,30 g,1284 kJ (308 kcal),,,,2 g,,,,,,20 g,,,,,,,,,,,,0 g,,,5.6 g,,14 g,,,
kaas-vleeswaren-tapas,1.09,Meester & Zn. Boterhamworst,"150 gPrijs per KG € 7,27",Nutri-Score E,False,False,,,11 g,1103 kJ (266 kcal),,,,6 g,,,,,,22 g,,,,,,,,,,,,0.05 g,,,14 g,,8.4 g,,,
kaas-vleeswaren-tapas,3.19,AH Gerookte slagersachterham,"ca. 110 gPrijs per KG € 28,99",,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaas-vleeswaren-tapas,0.79,AH Cottage cheese,"200 gPrijs per KG € 3,95",Nutri-Score B,False,True,,,12 g,381 kJ (91 kcal),,,,2.8 g,,,,,,3.5 g,,,,,,,,,,,,0 g,,,1 g,,2.2 g,,,
kaas-vleeswaren-tapas,1.15,Garlan Verse roomkaas met kruiden,"150 gPrijs per KG € 7,67",,False,False,,,4.8 g,1102 kJ (267 kcal),,,,3.1 g,,,,,,26 g,,,,,,,,,,,,,,,,,17 g,,,
kaas-vleeswaren-tapas,1.69,Meester & Zn. Salami,"150 gPrijs per KG € 11,27",Nutri-Score E,False,False,,,20 g,1718 kJ (415 kcal),,,,0.5 g,,,,,,37 g,,,,,,,,,,,,0 g,,,24 g,,13 g,,,
