Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Url,Content,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt
kaas-vleeswaren-tapas?minPrice=0&maxPrice=2.99,2.69,De Zaanse Hoeve Mild 45+ geraspt,"200 gPrijs per KG € 13,45",Nutri-Score D,False,False,https://www.ah.nl/producten/product/wi140101/de-zaanse-hoeve-mild-45-geraspt,Inhoud en gewicht200 GramPortiegrootte: 20 gramAantal porties: 10,,,27 g,1603 kJ (386 kcal),,,,2 g,,,,,,30 g,,,,,,,,,,,,0 g,,,8 g,,21 g,,
kaas-vleeswaren-tapas?minPrice=0&maxPrice=2.99,2.99,Meester & Zn. Gerookte spekreepjes,"300 gPrijs per KG € 9,97",Nutri-Score E,False,False,https://www.ah.nl/producten/product/wi221032/meester-en-zn-gerookte-spekreepjes,Inhoud en gewicht300 GramPortiegrootte: 100 gramAantal porties: 3,,,15 g,1263 kJ (305 kcal),,,,0.5 g,,,,,,27 g,,,,,,,,,,,,0 g,,,16 g,,11 g,,
kaas-vleeswaren-tapas?minPrice=0&maxPrice=2.99,0.79,AH Zuivelspread naturel,"200 gPrijs per KG € 3,95",Nutri-Score D,False,True,https://www.ah.nl/producten/product/wi506228/ah-zuivelspread-naturel,Inhoud en gewicht200 GramPortiegrootte: 15 gramAantal porties: 13,,,7.8 g,781 kJ (188 kcal),,,,3.3 g,,,,,,16 g,,,,,,,,,,,,0 g,,,4 g,,10 g,,
kaas-vleeswaren-tapas?minPrice=0&maxPrice=2.99,2.79,De Zaanse Hoeve Pittig 45+ geraspt,"200 gPrijs per KG € 13,95",Nutri-Score E,False,False,https://www.ah.nl/producten/product/wi193770/de-zaanse-hoeve-pittig-45-geraspt,Inhoud en gewicht200 GramPortiegrootte: 20 gramAantal porties: 10,,,31 g,1745 kJ (420 kcal),,,,2 g,,,,,,32 g,,,,,,,,,,,,0 g,,,8.5 g,,22 g,,
kaas-vleeswaren-tapas?minPrice=0&maxPrice=2.99,0.99,AH Mozzarella,"220 gPrijs per KG € 7,92",Nutri-Score C,False,True,https://www.ah.nl/producten/product/wi506235/ah-mozzarella,Inhoud en gewicht200 GramUitlekgewicht: 125 GramPortiegrootte: 20 gramAantal porties: 6.5,,,18 g,1026 kJ (247 kcal),,,,1 g,,,,,,19 g,,,,,,,,,,,,0 g,,,6.7 g,,12 g,,
kaas-vleeswaren-tapas?minPrice=0&maxPrice=2.99,0.79,AH Smeerkaas naturel,"100 gPrijs per KG € 7,90",Nutri-Score D,False,False,https://www.ah.nl/producten/product/wi249/ah-smeerkaas-naturel,Inhoud en gewicht100 GramPortiegrootte: 15 gramAantal porties: 6.5,,,14 g,1056 kJ (255 kcal),,,,2.4 g,,,,,,21 g,,,,,,,,,,,,0 g,,,7.6 g,,13 g,,
kaas-vleeswaren-tapas?minPrice=0&maxPrice=2.99,2.25,AH Grillworst,"ca. 125 gPrijs per KG € 18,00",Nutri-Score E,False,False,https://www.ah.nl/producten/product/wi203333/ah-grillworst,Inhoud en gewicht130 GramPortiegrootte: 10 gramAantal porties: 13,,,14 g,1190 kJ (287 kcal),,,,1.6 g,,,,,,25 g,,,,,,,,,,,,0 g,,,16 g,,9.1 g,,
kaas-vleeswaren-tapas?minPrice=0&maxPrice=2.99,2.59,De Zaanse Hoeve Mild 30+ geraspt,"200 gPrijs per KG € 12,95",Nutri-Score D,False,False,https://www.ah.nl/producten/product/wi197172/de-zaanse-hoeve-mild-30-geraspt,Inhoud en gewicht200 GramPortiegrootte: 20 gramAantal porties: 10,,,30 g,1284 kJ (308 kcal),,,,2 g,,,,,,20 g,,,,,,,,,,,,0 g,,,5.6 g,,14 g,,
kaas-vleeswaren-tapas?minPrice=0&maxPrice=2.99,1.15,Garlan Verse roomkaas met kruiden,"150 gPrijs per KG € 7,67",,False,False,https://www.ah.nl/producten/product/wi239019/garlan-verse-roomkaas-met-kruiden,Inhoud en gewicht150 Gram,,,4.8 g,1102 kJ (267 kcal),,,,3.1 g,,,,,,26 g,,,,,,,,,,,,,,,,,17 g,,
kaas-vleeswaren-tapas?minPrice=0&maxPrice=2.99,1.90,AH Gekookte gelderse worst,"ca. 146 gPrijs per KG € 12,99",Nutri-Score E,False,False,https://www.ah.nl/producten/product/wi171463/ah-gekookte-gelderse-worst,Inhoud en gewicht146 GramPortiegrootte: 15 gramAantal porties: 10,,,12 g,1251 kJ (302 kcal),,,,2.8 g,,,,,,27 g,,,,,,,,,,,,0 g,,,17 g,,9.7 g,,
