Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Url,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt
ontbijtgranen-en-beleg,2.49,De Zaanse Hoeve Roomboter ongezouten,"250 gPrijs per KG € 9,96",Nutri-Score E,False,True,https://www.ah.nl/producten/product/wi429615/de-zaanse-hoeve-roomboter-ongezouten,,,0.6 g,3061 kJ (744 kcal),,,,1 g,,,,,,82 g,,,,,,,,,,,,0 g,,,25 g,,57 g,,
ontbijtgranen-en-beleg,3.89,De Zaanse Hoeve Jong 48+ plakken,"400 gPrijs per KG € 9,73",Nutri-Score D,False,True,https://www.ah.nl/producten/product/wi197226/de-zaanse-hoeve-jong-48-plakken,,,23 g,1465 kJ (355 kcal),,,,0 g,,,,,,29 g,,,,,,,,,,,,0 g,,,8.5 g,,20 g,,
ontbijtgranen-en-beleg,3.09,AH Scharrel kipfilet,"125 gPrijs per KG € 24,72",Nutri-Score C,False,False,https://www.ah.nl/producten/product/wi1578/ah-scharrel-kipfilet,,,19 g,524 kJ (125 kcal),,,,2 g,,,,,,4.5 g,,,,,,,,,,,,0 g,,,2.8 g,,1.7 g,,
ontbijtgranen-en-beleg,1.09,AH Halvarine lekker op brood,"500 gPrijs per KG € 2,18",Nutri-Score C,True,True,https://www.ah.nl/producten/product/wi127489/ah-halvarine-lekker-op-brood,,,0 g,1453 kJ (353 kcal),,,,0.6 g,,,,,,39 g,800 µg,,,,,,,,11 mg,,,0 g,,,28 g,,11 g,,
ontbijtgranen-en-beleg,2.39,Meester & Zn. Scharrel kipfilet,"150 gPrijs per KG € 15,93",Nutri-Score D,False,False,https://www.ah.nl/producten/product/wi224876/meester-en-zn-scharrel-kipfilet,,,17 g,661 kJ (158 kcal),,,,2.3 g,,,,,,9 g,,,,,,,,,,,,0 g,,,6.5 g,,2.5 g,,
ontbijtgranen-en-beleg,0.79,AH Zuivelspread naturel,"200 gPrijs per KG € 3,95",Nutri-Score D,False,True,https://www.ah.nl/producten/product/wi506228/ah-zuivelspread-naturel,,,7.8 g,781 kJ (188 kcal),,,,3.3 g,,,,,,16 g,,,,,,,,,,,,0 g,,,4 g,,10 g,,
ontbijtgranen-en-beleg,3.09,De Zaanse Hoeve Jong belegen 30+ plakken,"300 gPrijs per KG € 10,30",Nutri-Score D,False,True,https://www.ah.nl/producten/product/wi197208/de-zaanse-hoeve-jong-belegen-30-plakken,,,31 g,1230 kJ (295 kcal),,,,0 g,,,,,,19 g,,,,,,,,,,,,0 g,,,6 g,,13 g,,
ontbijtgranen-en-beleg,0.89,AH Luchtige cracker volkoren met rijstbloem,"250 gPrijs per KG € 3,56",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi196377/ah-luchtige-cracker-volkoren-met-rijstbloem,,,10 g,1486 kJ (352 kcal),,,,63 g,,,,,,3.6 g,,,,,,,,,,,,14 g,,,2 g,,0.4 g,,
ontbijtgranen-en-beleg,0.79,AH Smeerkaas naturel,"100 gPrijs per KG € 7,90",Nutri-Score D,False,False,https://www.ah.nl/producten/product/wi249/ah-smeerkaas-naturel,,,14 g,1056 kJ (255 kcal),,,,2.4 g,,,,,,21 g,,,,,,,,,,,,0 g,,,7.6 g,,13 g,,
ontbijtgranen-en-beleg,1.39,Meester & Zn. Gerookte schouderham,"150 gPrijs per KG € 9,27",Nutri-Score D,False,False,https://www.ah.nl/producten/product/wi224875/meester-en-zn-gerookte-schouderham,,,15 g,448 kJ (106 kcal),,,,5.6 g,,,,,,2.6 g,,,,,,,,,,,,0.2 g,,,1.6 g,,1 g,,
ontbijtgranen-en-beleg,3.07,AH Yorkham,"ca. 110 gNormale prijs per KG € 27,90",Nutri-Score D,False,False,https://www.ah.nl/producten/product/wi188709/ah-yorkham,,,18 g,544 kJ (130 kcal),,,,2 g,,,,,,5.5 g,,,,,,,,,,,,0 g,,,3 g,,2.5 g,,
ontbijtgranen-en-beleg,0.69,AH Volkoren havermout,"500 gPrijs per KG € 1,38",,False,False,https://www.ah.nl/producten/product/wi48405/ah-volkoren-havermout,,,14 g,1580 kJ (375 kcal),,,,59 g,,,,,,7 g,,,,,,,,,,,,10 g,,,5.5 g,,1.5 g,,
ontbijtgranen-en-beleg,2.19,AH Grillworst,"ca. 125 gPrijs per KG € 17,50",Nutri-Score E,False,False,https://www.ah.nl/producten/product/wi203333/ah-grillworst,,,14 g,1190 kJ (287 kcal),,,,1.6 g,,,,,,25 g,,,,,,,,,,,,0 g,,,16 g,,9.1 g,,
ontbijtgranen-en-beleg,0.45,AH Beschuit volkoren,"13 stuksPrijs per KG € 3,21",Nutri-Score A,False,True,https://www.ah.nl/producten/product/wi1625/ah-beschuit-volkoren,,,15 g,1681 kJ (398 kcal),,,,68 g,,,,,,5.4 g,,,,,,,,,,,,8.8 g,,,3.9 g,,1.5 g,,
ontbijtgranen-en-beleg,1.09,Meester & Zn. Boterhamworst,"150 gPrijs per KG € 7,27",Nutri-Score E,False,False,https://www.ah.nl/producten/product/wi224871/meester-en-zn-boterhamworst,,,11 g,1103 kJ (266 kcal),,,,6 g,,,,,,22 g,,,,,,,,,,,,0.05 g,,,14 g,,8.4 g,,
ontbijtgranen-en-beleg,3.19,AH Gerookte slagersachterham,"ca. 110 gPrijs per KG € 28,99",,False,False,https://www.ah.nl/producten/product/wi440331/ah-gerookte-slagersachterham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ontbijtgranen-en-beleg,0.79,AH Cottage cheese,"200 gPrijs per KG € 3,95",Nutri-Score B,False,True,https://www.ah.nl/producten/product/wi400467/ah-cottage-cheese,,,12 g,381 kJ (91 kcal),,,,2.8 g,,,,,,3.5 g,,,,,,,,,,,,0 g,,,1 g,,2.2 g,,
ontbijtgranen-en-beleg,1.15,Garlan Verse roomkaas met kruiden,"150 gPrijs per KG € 7,67",,False,False,https://www.ah.nl/producten/product/wi239019/garlan-verse-roomkaas-met-kruiden,,,4.8 g,1102 kJ (267 kcal),,,,3.1 g,,,,,,26 g,,,,,,,,,,,,,,,,,17 g,,
ontbijtgranen-en-beleg,1.69,Meester & Zn. Salami,"150 gPrijs per KG € 11,27",Nutri-Score E,False,False,https://www.ah.nl/producten/product/wi224874/meester-en-zn-salami,,,20 g,1718 kJ (415 kcal),,,,0.5 g,,,,,,37 g,,,,,,,,,,,,0 g,,,24 g,,13 g,,
ontbijtgranen-en-beleg,1.89,Wasa Volkoren,"260 gPrijs per KG € 7,27",,False,False,https://www.ah.nl/producten/product/wi387906/wasa-volkoren,,,10 g,1390 kJ (330 kcal),,2.6 mg,,58 g,,85 mg,,,,2 g,,,,,,,,,,,,20 g,,,,,0.4 g,2.4 mg,
ontbijtgranen-en-beleg,0.45,AH Rijstwafels naturel,"130 gPrijs per KG € 3,46",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi412903/ah-rijstwafels-naturel,,,7.5 g,1615 kJ (380 kcal),,,,79 g,,,,,,3 g,,,,,,,,,,,,4 g,,,2.5 g,,0.7 g,,
ontbijtgranen-en-beleg,0.51,AH Smeerkaas 20+ naturel,"103 gPrijs per KG € 4,95",Nutri-Score C,False,False,https://www.ah.nl/producten/product/wi462689/ah-smeerkaas-20-naturel,,,17 g,565 kJ (135 kcal),,,,1 g,,,,,,7 g,,,,,,,,,,,,0 g,,,2.5 g,,4.5 g,,
ontbijtgranen-en-beleg,1.90,AH Gekookte gelderse worst,"ca. 146 gNormale prijs per KG € 12,99",Nutri-Score E,False,False,https://www.ah.nl/producten/product/wi171463/ah-gekookte-gelderse-worst,,,12 g,1251 kJ (302 kcal),,,,2.8 g,,,,,,27 g,,,,,,,,,,,,0 g,,,17 g,,9.7 g,,
ontbijtgranen-en-beleg,12.36,AH Jong belegen 30+ plakken 4-pack,per pakket,,False,False,https://www.ah.nl/producten/product/wi545547/ah-jong-belegen-30-plakken-4-pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ontbijtgranen-en-beleg,1.35,ERU Kids,"100 gPrijs per KG € 13,50",,False,False,https://www.ah.nl/producten/product/wi113356/eru-kids,,800 mg,15 g,699 kJ (168 kcal),,,,22 g,,,,535 mg,,11 g,,,,,,,,,,,,,,,,,7.5 g,,
ontbijtgranen-en-beleg,3.45,AH Goudse oud 48+ plakken,"190 gPrijs per KG € 18,16",Nutri-Score E,False,False,https://www.ah.nl/producten/product/wi2606/ah-goudse-oud-48-plakken,,,28 g,1808 kJ (436 kcal),,,,0 g,,,,,,36 g,,,,,,,,,,,,0 g,,,11 g,,24 g,,
ontbijtgranen-en-beleg,1.29,ERU Goudkuipje naturel,"100 gPrijs per KG € 12,90",,False,False,https://www.ah.nl/producten/product/wi3856/eru-goudkuipje-naturel,,,14 g,1007 kJ (243 kcal),,,,1.7 g,,,,,,20 g,,,,,,,,,,,,,,,,,14 g,,
ontbijtgranen-en-beleg,0.79,AH Rinse appelstroop,"450 gPrijs per KG € 1,76",Nutri-Score C,True,True,https://www.ah.nl/producten/product/wi1593/ah-rinse-appelstroop,,,2 g,1216 kJ (287 kcal),,10.5 mg,,67 g,,,,,530 mg,0.2 g,,,,,,,,,,,,4.5 g,,,0.2 g,,0 g,,
ontbijtgranen-en-beleg,1.59,AH Filet americain naturel,"150 gPrijs per KG € 10,60",Nutri-Score D,False,False,https://www.ah.nl/producten/product/wi442123/ah-filet-americain-naturel,,,14 g,1094 kJ (264 kcal),,,,2.3 g,,,,,,22 g,,,,,,,,,,,,0.4 g,,,17 g,,4.3 g,,
ontbijtgranen-en-beleg,2.39,ERU Goudkuipje naturel,"200 gPrijs per KG € 11,95",,False,False,https://www.ah.nl/producten/product/wi478229/eru-goudkuipje-naturel,,,14 g,1007 kJ (243 kcal),,,,1.7 g,,,,,,20 g,,,,,,,,,,,,,,,,,14 g,,
ontbijtgranen-en-beleg,3.72,AH Zaanlander Jong belegen 48+ plakken,"ca. 210 gPrijs per KG € 17,79",Nutri-Score D,False,True,https://www.ah.nl/producten/product/wi104394/ah-zaanlander-jong-belegen-48-plakken,,,24 g,1555 kJ (375 kcal),,,,0 g,,,,,,31 g,,,,,,,,,,,,0 g,,,11 g,,19 g,,
ontbijtgranen-en-beleg,2.35,Blue Band Halvarine,"500 gPrijs per KG € 4,70",,False,False,https://www.ah.nl/producten/product/wi3826/blue-band-halvarine,,,< 0.5 g,1470 kJ (351 kcal),,,,1.1 g,,,,,,39 g,800 µg,1.1 mg,200 µg,1.4 mg,,,1.4 mg,,9.8 mg,,,,13 g,14 g,,,12 g,,
ontbijtgranen-en-beleg,1.19,AH Goed begin 100% plantaardig,"500 gPrijs per KG € 2,38",Nutri-Score C,True,True,https://www.ah.nl/producten/product/wi138500/ah-goed-begin-100-plantaardig,,600 mg,0 g,1462 kJ (355 kcal),200 µg,,,1.1 g,,,,,,39 g,800 µg,1.1 mg,,1.4 mg,,,1.4 mg,,20 mg,,,0 g,,,26 g,,13 g,,
ontbijtgranen-en-beleg,0.85,Zonnatura Maïswafels,"100 gPrijs per KG € 8,50",,False,False,https://www.ah.nl/producten/product/wi168655/zonnatura-maiswafels,,,6.5 g,1630 kJ (384 kcal),,,,87 g,,,,,,0.7 g,,,,,,,,,,,,1.5 g,,,,,0 g,,
ontbijtgranen-en-beleg,3.29,AH Scharrel gebraden kipfilet,"ca. 125 gPrijs per KG € 26,29",Nutri-Score C,False,False,https://www.ah.nl/producten/product/wi137939/ah-scharrel-gebraden-kipfilet,,,20 g,460 kJ (109 kcal),,,,1.8 g,,,,,,2.3 g,,,,,,,,,,,,0.5 g,,,1.5 g,,0.8 g,,
ontbijtgranen-en-beleg,0.43,AH Beschuit naturel,"13 stuksPrijs per KG € 3,31",Nutri-Score A,False,True,https://www.ah.nl/producten/product/wi1624/ah-beschuit-naturel,,,15 g,1775 kJ (420 kcal),,,,76 g,,,,,,5.2 g,,,,,,,,,,,,4.4 g,,,2.8 g,,1.5 g,,
ontbijtgranen-en-beleg,2.99,Calvé Pindakaas pot,"350 gPrijs per KG € 8,54",,False,False,https://www.ah.nl/producten/product/wi3579/calve-pindakaas-pot,,,21 g,664 kcal (2275 kJ),,,,11 g,,98 mg,,,,58 g,,,,,3.1 mg,,,,8.8 mg,,,6.6 g,40 g,9.1 g,,,8.5 g,2.1 mg,
ontbijtgranen-en-beleg,3.29,AH Biologisch Roomboter ongezouten,"250 gPrijs per KG € 13,16",Nutri-Score E,False,True,https://www.ah.nl/producten/product/wi58082/ah-biologisch-roomboter-ongezouten,,,0.7 g,3060 kJ (745 kcal),,,,0.8 g,,,,,,82 g,800 µg,,,,,,,,1.9 mg,,,0 g,,,26 g,,55 g,,
ontbijtgranen-en-beleg,2.99,AH Roasted kipfilet,"ca. 110 gPrijs per KG € 27,18",,False,False,https://www.ah.nl/producten/product/wi462712/ah-roasted-kipfilet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
