Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Url,Content,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt
ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.49,De Zaanse Hoeve Roomboter ongezouten,"250 gPrijs per KG € 9,96",Nutri-Score E,False,True,https://www.ah.nl/producten/product/wi429615/de-zaanse-hoeve-roomboter-ongezouten,Inhoud en gewicht250 GramPortiegrootte: 5 gramAantal porties: 50,,,0.6 g,3061 kJ (744 kcal),,,,1 g,,,,,,82 g,,,,,,,,,,,,0 g,,,25 g,,57 g,,
ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.09,AH Halvarine lekker op brood,"500 gPrijs per KG € 2,18",Nutri-Score C,True,True,https://www.ah.nl/producten/product/wi127489/ah-halvarine-lekker-op-brood,Inhoud en gewicht500 GramPortiegrootte: 5 gramAantal porties: 100,,,0 g,1453 kJ (353 kcal),,,,0.6 g,,,,,,39 g,800 µg,,,,,,,,11 mg,,,0 g,,,28 g,,11 g,,
ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,0.79,AH Zuivelspread naturel,"200 gPrijs per KG € 3,95",Nutri-Score D,False,True,https://www.ah.nl/producten/product/wi506228/ah-zuivelspread-naturel,Inhoud en gewicht200 GramPortiegrootte: 15 gramAantal porties: 13,,,7.8 g,781 kJ (188 kcal),,,,3.3 g,,,,,,16 g,,,,,,,,,,,,0 g,,,4 g,,10 g,,
ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,0.99,AH Luchtige cracker volkoren met rijstbloem,"250 gPrijs per KG € 3,96",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi196377/ah-luchtige-cracker-volkoren-met-rijstbloem,"Inhoud en gewicht250 GramPortiegrootte: 7,5 gramAantal porties: 33",,,10 g,1486 kJ (352 kcal),,,,63 g,,,,,,3.6 g,,,,,,,,,,,,14 g,,,2 g,,0.4 g,,
ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,0.79,AH Smeerkaas naturel,"100 gPrijs per KG € 7,90",Nutri-Score D,False,False,https://www.ah.nl/producten/product/wi249/ah-smeerkaas-naturel,Inhoud en gewicht100 GramPortiegrootte: 15 gramAantal porties: 6.5,,,14 g,1056 kJ (255 kcal),,,,2.4 g,,,,,,21 g,,,,,,,,,,,,0 g,,,7.6 g,,13 g,,
ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,0.69,AH Volkoren havermout,"500 gPrijs per KG € 1,38",,False,False,https://www.ah.nl/producten/product/wi48405/ah-volkoren-havermout,Inhoud en gewicht500 GramPortiegrootte: 40 gramAantal porties: 13,,,14 g,1580 kJ (375 kcal),,,,59 g,,,,,,7 g,,,,,,,,,,,,10 g,,,5.5 g,,1.5 g,,
ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,0.49,AH Beschuit volkoren,"13 stuksPrijs per KG € 3,50",Nutri-Score A,False,True,https://www.ah.nl/producten/product/wi1625/ah-beschuit-volkoren,Inhoud en gewicht140 GramPortiegrootte: 11 gramAantal porties: 13,,,15 g,1681 kJ (398 kcal),,,,68 g,,,,,,5.4 g,,,,,,,,,,,,8.8 g,,,3.9 g,,1.5 g,,
ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,2.25,AH Grillworst,"ca. 125 gPrijs per KG € 18,00",Nutri-Score E,False,False,https://www.ah.nl/producten/product/wi203333/ah-grillworst,Inhoud en gewicht130 GramPortiegrootte: 10 gramAantal porties: 13,,,14 g,1190 kJ (287 kcal),,,,1.6 g,,,,,,25 g,,,,,,,,,,,,0 g,,,16 g,,9.1 g,,
ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.15,Garlan Verse roomkaas met kruiden,"150 gPrijs per KG € 7,67",,False,False,https://www.ah.nl/producten/product/wi239019/garlan-verse-roomkaas-met-kruiden,Inhoud en gewicht150 Gram,,,4.8 g,1102 kJ (267 kcal),,,,3.1 g,,,,,,26 g,,,,,,,,,,,,,,,,,17 g,,
ontbijtgranen-en-beleg?minPrice=0&maxPrice=2.60,1.90,AH Gekookte gelderse worst,"ca. 146 gPrijs per KG € 12,99",Nutri-Score E,False,False,https://www.ah.nl/producten/product/wi171463/ah-gekookte-gelderse-worst,Inhoud en gewicht146 GramPortiegrootte: 15 gramAantal porties: 10,,,12 g,1251 kJ (302 kcal),,,,2.8 g,,,,,,27 g,,,,,,,,,,,,0 g,,,17 g,,9.7 g,,
