Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Url,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt
pasta-rijst-en-wereldkeuken,0.69,AH Tomatenblokjes gesneden,"400 gPrijs per KG € 2,30",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi30851/ah-tomatenblokjes-gesneden,,,1.4 g,138 kJ (33 kcal),,,,5.6 g,,,,,,0.2 g,,,,,,,,,,,,1.4 g,0.04 g,0.2 g,,,0.04 g,,
pasta-rijst-en-wereldkeuken,0.49,Heinz Tomatenpuree,"70 gPrijs per KG € 7,00",,False,False,https://www.ah.nl/producten/product/wi191446/heinz-tomatenpuree,,,5.6 g,479 kJ (113 kcal),,,,20 g,,,,,,0.2 g,,,,,,,,,,,,,,,,,0.1 g,,
pasta-rijst-en-wereldkeuken,0.79,AH Rinse appelstroop,"450 gPrijs per KG € 1,76",Nutri-Score C,True,True,https://www.ah.nl/producten/product/wi1593/ah-rinse-appelstroop,,,2 g,1216 kJ (287 kcal),,10.5 mg,,67 g,,,,,530 mg,0.2 g,,,,,,,,,,,,4.5 g,,,0.2 g,,0 g,,
pasta-rijst-en-wereldkeuken,0.79,AH Kristalsuiker,"1 kgPrijs per KG € 0,79",Nutri-Score D,True,True,https://www.ah.nl/producten/product/wi511002/ah-kristalsuiker,,,0 g,1700 kJ (400 kcal),,,,100 g,,,,,,0 g,,,,,,,,,,,,0 g,,,0 g,,0 g,,
pasta-rijst-en-wereldkeuken,0.95,AH Tomaten gezeefd passata,"500 gPrijs per KG € 1,90",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi481844/ah-tomaten-gezeefd-passata,,,1.8 g,159 kJ (38 kcal),,,,6.2 g,,,,,,0 g,,,,,,,,,,,,2.9 g,,,0 g,,0 g,,
pasta-rijst-en-wereldkeuken,0.69,Unox Good noodles kip,"70 gPrijs per KG € 9,86",,False,False,https://www.ah.nl/producten/product/wi99086/unox-good-noodles-kip,,,1.6 g,382 kJ (91 kcal),,,,11 g,,,,,,4.2 g,,,,,,,,,,,,< 0.5 g,,,,,2.1 g,,
pasta-rijst-en-wereldkeuken,0.99,AH Kokosmelk,"200 mlPrijs per LT € 4,95",Nutri-Score C,True,True,https://www.ah.nl/producten/product/wi161932/ah-kokosmelk,,,1.5 g,705 kJ (171 kcal),,,,2 g,,,,,,17 g,,,,,,,,,,,,2 g,,,1.1 g,,16 g,,
pasta-rijst-en-wereldkeuken,0.89,AH Tortilla naturel wraps,"8 stuksPrijs per KG € 2,78",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi136836/ah-tortilla-naturel-wraps,,,8.8 g,1301 kJ (308 kcal),,,,55 g,,,,,,4.9 g,,,,,,,,,,,,4.4 g,,,3.2 g,,1.1 g,,
pasta-rijst-en-wereldkeuken,0.99,AH Zilvervliesrijst,"400 gPrijs per KG € 2,48",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi36488/ah-zilvervliesrijst,,,6.9 g,1533 kJ (362 kcal),,,,76 g,,,,,,2.7 g,,,,,,,,,,,,3 g,,,1.9 g,,0.8 g,,
pasta-rijst-en-wereldkeuken,1.75,Maza Hoemoes,"200 gNormale prijs per KG € 8,75",,False,False,https://www.ah.nl/producten/product/wi202746/maza-hoemoes,,,6.4 g,1335 kJ (312 kcal),,,,6.1 g,,,,,,30.4 g,,,,,,,,,,,,,,,,,3.8 g,,
