Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Url,Content,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt
salades-pizza-maaltijden,1.09,AH Bapao rundvlees,"per stukNormale prijs per KG € 9,08",Nutri-Score B,False,False,https://www.ah.nl/producten/product/wi31392/ah-bapao-rundvlees,Inhoud en gewicht120 GramPortiegrootte: 120 gramAantal porties: 1,,,9 g,1070 kJ (254 kcal),,,,41 g,,,,,,5.5 g,,,,,,,,,,,,2 g,,,3.2 g,,1.9 g,,
salades-pizza-maaltijden,1.99,AH Pizzadeeg tomatensaus,"600 gPrijs per KG € 3,32",Nutri-Score B,False,True,https://www.ah.nl/producten/product/wi134027/ah-pizzadeeg-tomatensaus,Inhoud en gewicht600 GramPizzadeeg 400 g ℮ / tomatensaus 200 g / 2 porties (300 g)Portiegrootte: 300 gramAantal porties: 2,,,6.7 g,796 kJ (189 kcal),,,,30 g,,,,,,3.4 g,,,,,,,,,,,,2.2 g,,,2.9 g,,0.5 g,,
salades-pizza-maaltijden,1.09,AH Bapao kip,"per stukNormale prijs per KG € 9,08",Nutri-Score C,False,False,https://www.ah.nl/producten/product/wi33018/ah-bapao-kip,Inhoud en gewicht120 GramPortiegrootte: 120 gramAantal porties: 1,,,6.6 g,979 kJ (232 kcal),,,,40 g,,,,,,4.8 g,,,,,,,,,,,,1.2 g,,,2.9 g,,1.7 g,,
salades-pizza-maaltijden,2.39,AH Verse tagliatelle all'uovo,"250 gPrijs per KG € 9,56",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi56027/ah-verse-tagliatelle-all-uovo,Inhoud en gewicht250 GramPortiegrootte: 125 gramAantal porties: 2,,,10 g,1205 kJ (285 kcal),,,,53 g,,,,,,3 g,,,,,,,,,,,,2.9 g,,,2.2 g,,0.8 g,,
salades-pizza-maaltijden,2.79,Dr. Oetker Ristorante pizza salami,"320 gPrijs per KG € 8,72",Nutri-Score C,False,False,https://www.ah.nl/producten/product/wi514003/dr-oetker-ristorante-pizza-salami,Inhoud en gewicht320 Gram,,,10 g,1093 kJ (261 kcal),,,,25 g,,,,,,13 g,,,,,,,,,,,,2.3 g,,,,,4.6 g,,
salades-pizza-maaltijden,5.29,AH Italiaanse lasagne verspakket,1220 g,Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi226973/ah-italiaanse-lasagne-verspakket,Inhoud en gewicht1220 GramPortiegrootte: 490 gramAantal porties: 4,,,6.6 g,495 kJ (118 kcal),,,,8.3 g,,,,,,6.2 g,,,,,,,,,,,,1.5 g,,,3 g,,2.7 g,,
salades-pizza-maaltijden,3.99,AH Tomatensoep verspakket,"1,1 kg",Nutri-Score B,False,False,https://www.ah.nl/producten/product/wi198386/ah-tomatensoep-verspakket,Inhoud en gewicht1092 GramPortiegrootte: 250 milliliterAantal porties: 6,,,0.7 g,121 kJ (29 kcal),,,,3.1 g,,,,,,1.3 g,,,,,,,,,,,,1 g,,,0.9 g,,0.3 g,,
salades-pizza-maaltijden,2.39,AH Verse spaghetti all'uovo,"250 gPrijs per KG € 9,56",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi168206/ah-verse-spaghetti-all-uovo,Inhoud en gewicht250 GramPortiegrootte: 125 gramAantal porties: 2,,,10 g,1205 kJ (285 kcal),,,,53 g,,,,,,3 g,,,,,,,,,,,,2.9 g,,,2.2 g,,0.8 g,,
salades-pizza-maaltijden,2.19,AH Banaan spelt pancake,"160 gPrijs per KG € 13,69",Nutri-Score C,False,True,https://www.ah.nl/producten/product/wi383671/ah-banaan-spelt-pancake,Inhoud en gewicht160 GramPortiegrootte: 40 gramAantal porties: 4,,,6.3 g,1160 kJ (277 kcal),,,,33 g,,,,,,13 g,,,,,,,,,,,,1.3 g,,,11 g,,1.7 g,,
salades-pizza-maaltijden,1.19,Koopmans Mix voor pannenkoeken origineel,"400 gPrijs per KG € 2,98",,False,False,https://www.ah.nl/producten/product/wi3453/koopmans-mix-voor-pannenkoeken-origineel,Inhoud en gewicht400 GramPortiegrootte: Bereid met zonnebloemolie en halfvolle melk. 1 portie = 1 pannenkoekAantal porties: 12,,,6.9 g,736 kJ (174 kcal),,,,28 g,,,,,,3.8 g,,,,,,,,,,,,0.9 g,,,,,1.1 g,,
