Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Url,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt
snoep-koek-chips-en-chocolade,1.96,AH Roomboter stroopwafels,12 stuks,Nutri-Score E,False,True,https://www.ah.nl/producten/product/wi142548/ah-roomboter-stroopwafels,,,3.5 g,1911 kJ (456 kcal),,,,62 g,,,,,,21 g,,,,,,,,,,,,2.5 g,,,9 g,,12 g,,
snoep-koek-chips-en-chocolade,0.85,AH Chocolate chip cookies,"225 gPrijs per KG € 3,78",Nutri-Score E,False,True,https://www.ah.nl/producten/product/wi221017/ah-chocolate-chip-cookies,,,5.4 g,2066 kJ (494 kcal),,,,60 g,,,,,,25 g,,,,,,,,,,,,3.7 g,,,12 g,,13 g,,
snoep-koek-chips-en-chocolade,1.25,AH Ribbelchips naturel,"250 gPrijs per KG € 5,00",Nutri-Score C,True,True,https://www.ah.nl/producten/product/wi448475/ah-ribbelchips-naturel,,,5.7 g,2308 kJ (554 kcal),,,,52 g,,,,,,35 g,,,,,,,,,,,,4 g,,,31 g,,3.5 g,,
snoep-koek-chips-en-chocolade,1.89,AH Brabantse eierkoeken,4 stuks,Nutri-Score C,False,True,https://www.ah.nl/producten/product/wi128919/ah-brabantse-eierkoeken,,,7.5 g,1334 kJ (314 kcal),,,,67 g,,,,,,1.6 g,,,,,,,,,,,,1 g,,,0.9 g,,0.5 g,,
snoep-koek-chips-en-chocolade,0.79,AH Kristalsuiker,"1 kgPrijs per KG € 0,79",Nutri-Score D,True,True,https://www.ah.nl/producten/product/wi511002/ah-kristalsuiker,,,0 g,1700 kJ (400 kcal),,,,100 g,,,,,,0 g,,,,,,,,,,,,0 g,,,0 g,,0 g,,
snoep-koek-chips-en-chocolade,1.75,Lay's Chips naturel,"200 gNormale prijs per KG € 8,75",Nutri-Score C,False,False,https://www.ah.nl/producten/product/wi526381/lay-s-chips-naturel,,,6.1 g,2121 kJ (508 kcal),,,,53 g,,,,,,30 g,,,,,,,,,,,,4.3 g,,,,,3.2 g,,
snoep-koek-chips-en-chocolade,1.79,LU Mini crackers olijfolie & oregano,"250 gPrijs per KG € 7,16",,False,False,https://www.ah.nl/producten/product/wi2432/lu-mini-crackers-olijfolie-en-oregano,,,11 g,437 kcal (1840 kJ),,,,66 g,,,,,,13 g,,,,,,,,,,,,4 g,,,,,2.9 g,,
snoep-koek-chips-en-chocolade,1.79,Lay's Chips paprika,"200 gNormale prijs per KG € 8,95",Nutri-Score C,False,False,https://www.ah.nl/producten/product/wi526382/lay-s-chips-paprika,,,6.4 g,2244 kJ (538 kcal),,,,54 g,,,,,,32 g,,,,,,,,,,,,4.8 g,,,,,3.5 g,,
snoep-koek-chips-en-chocolade,1.19,AH Chips naturel,"250 gPrijs per KG € 4,76",Nutri-Score C,True,True,https://www.ah.nl/producten/product/wi448457/ah-chips-naturel,,,5.5 g,2288 kJ (549 kcal),,,,51 g,,,,,,35 g,,,,,,,,,,,,4 g,,,31 g,,3.5 g,,
snoep-koek-chips-en-chocolade,1.29,AH Bakkers speculaas,"600 gPrijs per KG € 2,15",Nutri-Score E,True,True,https://www.ah.nl/producten/product/wi474154/ah-bakkers-speculaas,,,5.7 g,2113 kJ (504 kcal),,,,70 g,,,,,,22 g,,,,,,,,,,,,1.5 g,,,13 g,,8.7 g,,
