Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Url,Content,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt
snoep-koek-chips-en-chocolade?minPrice=1.90&maxPrice=2.59,2.39,AH Roomboter stroopwafels,12 stuks,Nutri-Score E,False,True,https://www.ah.nl/producten/product/wi142548/ah-roomboter-stroopwafels,Inhoud en gewicht468 GramPortiegrootte: 39 gramAantal porties: 12,,,3.5 g,1911 kJ (456 kcal),,,,62 g,,,,,,21 g,,,,,,,,,,,,2.5 g,,,9 g,,12 g,,
snoep-koek-chips-en-chocolade?minPrice=1.90&maxPrice=2.59,1.95,Lay's Oven baked roasted paprika,"150 gPrijs per KG € 13,00",Nutri-Score B,False,False,https://www.ah.nl/producten/product/wi457644/lay-s-oven-baked-roasted-paprika,Inhoud en gewicht150 GramPortiegrootte: 30g (1) gemiddelde portieAantal porties: 5,,,5.9 g,1850 kJ (440 kcal),,,,72 g,,,,,,13 g,,,,,,,,,,,,6.4 g,,,,,1.5 g,,
snoep-koek-chips-en-chocolade?minPrice=1.90&maxPrice=2.59,2.39,AH Cashew ongezouten,"200 gPrijs per KG € 11,95",Nutri-Score C,True,True,https://www.ah.nl/producten/product/wi458839/ah-cashew-ongezouten,Inhoud en gewicht200 GramPortiegrootte: 25 gramAantal porties: 8,,,19 g,2578 kJ (622 kcal),,,,22 g,,257 mg,,,,50 g,,,,,,,,,,,,3.9 g,,,36 g,,9.4 g,,
snoep-koek-chips-en-chocolade?minPrice=1.90&maxPrice=2.59,1.99,Lay's Sensations Thai sweet chilli,"150 gPrijs per KG € 13,27",Nutri-Score C,False,False,https://www.ah.nl/producten/product/wi167333/lay-s-sensations-thai-sweet-chilli,Inhoud en gewicht150 GramPortiegrootte: 30g (1) gemiddelde portieAantal porties: 5,,,6.5 g,1985 kJ (474 kcal),,,,60 g,,,,,,22 g,,,,,,,,,,,,4.8 g,,,,,2.2 g,,
snoep-koek-chips-en-chocolade?minPrice=1.90&maxPrice=2.59,2.19,Snelle Jelle Kruidkoek naturel 5-pack,"5 stuksPrijs per KG € 6,74",,False,False,https://www.ah.nl/producten/product/wi457697/snelle-jelle-kruidkoek-naturel-5-pack,Inhoud en gewicht5 Stuks. 325 GramAantal porties: 5,,,2.4 g,1292 kJ (305 kcal),,,,69.7 g,,,,,,1 g,,,,,,,,,,,,3.5 g,,,,,0.2 g,,
snoep-koek-chips-en-chocolade?minPrice=1.90&maxPrice=2.59,2.29,Liga Evergreen krenten koeken,"225 gPrijs per KG € 10,18",,False,False,https://www.ah.nl/producten/product/wi3771/liga-evergreen-krenten-koeken,Inhoud en gewicht225 GramPortiegrootte: 100 g,,240 mg,6.9 g,383 kcal (1612 kJ),,7.6 mg,,64 g,,,,,,9.1 g,,,,,,,1.1 mg,,,,,7.6 g,,,,,0.9 g,,
snoep-koek-chips-en-chocolade?minPrice=1.90&maxPrice=2.59,1.99,LU Bastogne orginal,"260 gNormale prijs per KG € 7,65",,False,False,https://www.ah.nl/producten/product/wi3640/lu-bastogne-orginal,"Inhoud en gewicht260 GramPortiegrootte: 1 biscuit (11,8g)",,,4.7 g,485 kcal (2045 kJ),,,,71 g,,,,,,20 g,,,,,,,,,,,,2 g,,,,,9.8 g,,
snoep-koek-chips-en-chocolade?minPrice=1.90&maxPrice=2.59,1.95,Lay's Oven baked naturel flavour,"150 gPrijs per KG € 13,00",Nutri-Score B,False,False,https://www.ah.nl/producten/product/wi457645/lay-s-oven-baked-naturel-flavour,Inhoud en gewicht150 GramPortiegrootte: 30g (1) gemiddelde portieAantal porties: 5,,,5.9 g,1860 kJ (442 kcal),,,,73 g,,,,,,13 g,,,,,,,,,,,,6.2 g,,,,,1.4 g,,
snoep-koek-chips-en-chocolade?minPrice=1.90&maxPrice=2.59,2.39,AH Cashew gezouten,"200 gPrijs per KG € 11,95",Nutri-Score C,True,True,https://www.ah.nl/producten/product/wi458823/ah-cashew-gezouten,Inhoud en gewicht200 GramPortiegrootte: 25 gramAantal porties: 8,,,19 g,2540 kJ (613 kcal),,,,22 g,,255 mg,,,,49 g,,,,,,,,,,,,3.8 g,,,36 g,,9.3 g,,
snoep-koek-chips-en-chocolade?minPrice=1.90&maxPrice=2.59,2.19,Sultana Fruitbiscuit bosvruchten,"218 gNormale prijs per KG € 10,05",,False,False,https://www.ah.nl/producten/product/wi98437/sultana-fruitbiscuit-bosvruchten,"Inhoud en gewicht218 GramPortiegrootte: 1 Biscuit ≈ 14,5g.Aantal porties: 5",,,5.4 g,1597 kJ (379 kcal),,,,73.6 g,,,,,,7.3 g,,,,,,,,,,,,4.2 g,,,,,0.8 g,,
snoep-koek-chips-en-chocolade?minPrice=1.90&maxPrice=2.59,2.59,AH Notenmix ongebrand,"200 gPrijs per KG € 12,95",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi426102/ah-notenmix-ongebrand,Inhoud en gewicht200 GramPortiegrootte: 25 gramAantal porties: 8,,,20 g,2758 kJ (668 kcal),,,,6.1 g,,179.6 mg,,,,61 g,,,,,,,,,17.7 mg,,,7.1 g,,,53 g,,6.9 g,,
snoep-koek-chips-en-chocolade?minPrice=1.90&maxPrice=2.59,1.95,AH Rozijnen zongedroogd,"750 gPrijs per KG € 2,60",Nutri-Score C,True,True,https://www.ah.nl/producten/product/wi396924/ah-rozijnen-zongedroogd,Inhoud en gewicht750 GramPortiegrootte: 25 gramAantal porties: 30,,,3 g,1458 kJ (344 kcal),,,,80 g,,,,,,0.5 g,,,,,,,,,,,,3.5 g,,,0.2 g,,0.1 g,,
snoep-koek-chips-en-chocolade?minPrice=1.90&maxPrice=2.59,2.19,Sultana Fruitbiscuit appel,"218 gNormale prijs per KG € 10,05",,False,False,https://www.ah.nl/producten/product/wi98435/sultana-fruitbiscuit-appel,"Inhoud en gewicht15 Stuks. 218 GramPortiegrootte: 1 biscuit (14,5g)",,,5.2 g,1604 kJ (380 kcal),,,,74.9 g,,,,,,7.1 g,,,,,,,,,,,,3.6 g,,,,,0.7 g,,
snoep-koek-chips-en-chocolade?minPrice=1.90&maxPrice=2.59,2.29,Lay's Paprika,"300 gPrijs per KG € 7,63",Nutri-Score C,False,False,https://www.ah.nl/producten/product/wi526386/lay-s-paprika,Inhoud en gewicht300 GramPortiegrootte: 30g (1) gemiddelde portieAantal porties: 10,,,6.4 g,2244 kJ (538 kcal),,,,54 g,,,,,,32 g,,,,,,,,,,,,4.8 g,,,,,3.5 g,,
snoep-koek-chips-en-chocolade?minPrice=1.90&maxPrice=2.59,2.29,Lay's Naturel,"300 gPrijs per KG € 7,63",Nutri-Score C,False,False,https://www.ah.nl/producten/product/wi526385/lay-s-naturel,Inhoud en gewicht300 GramPortiegrootte: 30g (1) gemiddelde portieAantal porties: 10,,,6.1 g,2121 kJ (508 kcal),,,,53 g,,,,,,30 g,,,,,,,,,,,,4.3 g,,,,,3.2 g,,
snoep-koek-chips-en-chocolade?minPrice=1.90&maxPrice=2.59,2.19,Sultana Fruitbiscuit naturel,"218 gNormale prijs per KG € 10,05",,False,False,https://www.ah.nl/producten/product/wi98439/sultana-fruitbiscuit-naturel,"Inhoud en gewicht15 Stuks. 218 GramPortiegrootte: 1 biscuit (14,5g)",,,5.7 g,1658 kJ (393 kcal),,,,74.1 g,,,,,,7.5 g,,,,,,,,,,,,3.6 g,,,,,0.8 g,,
