Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Url,Content,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt
snoep-koek-chips-en-chocolade?minPrice=2.60&maxPrice=99,2.99,AH Ongebrande walnoten,"200 gPrijs per KG € 14,95",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi397907/ah-ongebrande-walnoten,Inhoud en gewicht200 GramPortiegrootte: 25 gramAantal porties: 8,,,17 g,2874 kJ (697 kcal),78 µg,,,3.2 g,,150 mg,,,,67 g,,0.3 mg,,,,,,,,,,6.4 g,,,60 g,,6.9 g,,
snoep-koek-chips-en-chocolade?minPrice=2.60&maxPrice=99,4.49,Mars Minimix,"500 gPrijs per KG € 8,98",,False,False,https://www.ah.nl/producten/product/wi133397/mars-minimix,Inhoud en gewicht25 Stuks. 500 GramPortiegrootte: Milky Way. Bounty. Mars. Twix. Snickers. Milky Way portiegrootte 15.5g. Bounty portiegrootte 28.5g. Mars portiegrootte 18g. Twix portiegrootte 20g. Snickers portiegrootte 18gAantal porties: 25,,,3.3 g,1865 kJ (443 kcal),,,,73 g,,,,,,15 g,,,,,,,,,,,,,,,,,7.2 g,,
snoep-koek-chips-en-chocolade?minPrice=2.60&maxPrice=99,3.99,Lay's Party mix,"396 gPrijs per KG € 10,08",Nutri-Score C,False,False,https://www.ah.nl/producten/product/wi506638/lay-s-party-mix,"Inhoud en gewicht15 Stuks3x aardappelchips met paprikasmaak, 3x gezouten aardappelchips, 3x aardappelchips met kaas- en uismaak, 3x maïszoutje met kaassmaak, 3x maïs- en tarwezoutje met ham- en kaassmaakPortiegrootte: Lay's Paprika. Lay's Naturel. Lay's Cheese Onion. Lay's Bugles Nacho Cheese. Lay's Hamka's Mini. Per 27,5g Lay's BuglesAantal porties: 15",,,6.4 g,2244 kJ (538 kcal),,,,54 g,,,,,,32 g,,,,,,,,,,,,4.8 g,,,,,3.5 g,,
snoep-koek-chips-en-chocolade?minPrice=2.60&maxPrice=99,2.99,Tony's Chocolonely Melk karamel zeezout,"180 gPrijs per KG € 16,61",,False,False,https://www.ah.nl/producten/product/wi213928/tony-s-chocolonely-melk-karamel-zeezout,Inhoud en gewicht180 Gram,,,7 g,2240 kJ (536 kcal),,,,53.2 g,,,,,,32 g,,,,,,,,,,,,,,,,,19.4 g,,
snoep-koek-chips-en-chocolade?minPrice=2.60&maxPrice=99,2.69,Liga Milkbreak koeken melk,"245 gPrijs per KG € 10,98",,False,False,https://www.ah.nl/producten/product/wi132032/liga-milkbreak-koeken-melk,Inhoud en gewicht245 GramPortiegrootte: 1 pakje = 2 biscuits. 1 pak bevat 6 pakjes.,,438 mg,9.2 g,1875 kJ (447 kcal),,7.7 mg,,63 g,,,,,,17 g,,,,,,,1.4 mg,,,,,2.6 g,,,,,6.3 g,,
snoep-koek-chips-en-chocolade?minPrice=2.60&maxPrice=99,2.69,Liga Milkbreak duo melk aardbei biscuits,"245 gPrijs per KG € 10,98",,False,False,https://www.ah.nl/producten/product/wi132037/liga-milkbreak-duo-melk-aardbei-biscuits,Inhoud en gewicht245 GramPortiegrootte: 1 pakje = 2 biscuits,,438 mg,9.2 g,1875 kJ (447 kcal),,7.7 mg,,63 g,,,,,,17 g,,,,,,,1.4 mg,,,,,2.6 g,,,,,6.3 g,,
snoep-koek-chips-en-chocolade?minPrice=2.60&maxPrice=99,2.79,M&M'S Pinda,"250 gPrijs per KG € 11,16",,False,False,https://www.ah.nl/producten/product/wi3202/m-en-m-s-pinda,Inhoud en gewicht250 GramPortiegrootte: portiegrootte 41.6gAantal porties: 6,,,9.8 g,2190 kJ (524 kcal),,,,60 g,,,,,,26 g,,,,,,,,,,,,,,,,,11 g,,
snoep-koek-chips-en-chocolade?minPrice=2.60&maxPrice=99,3.99,Smint Peppermint XL sugarfree 2-pack,"2 x 35 gPrijs per KG € 57,00",,False,False,https://www.ah.nl/producten/product/wi177119/smint-peppermint-xl-sugarfree-2-pack,Inhoud en gewicht50 Stuks. 35 Gram,,,0 g,991 kJ (238 kcal),,,,98 g,,,,,,0.3 g,,,,,,,,,,,,,,,,,0.3 g,,
snoep-koek-chips-en-chocolade?minPrice=2.60&maxPrice=99,2.99,Côte d'Or Bonbonbloc pralin melk,"200 gPrijs per KG € 14,95",,False,False,https://www.ah.nl/producten/product/wi159494/cote-d-or-bonbonbloc-pralin-melk,Inhoud en gewicht200 Gram,,,6.6 g,532 kcal (2224 kJ),,,,58 g,,,,,,30 g,,,,,,,,,,,,2.9 g,,,,,15 g,,
snoep-koek-chips-en-chocolade?minPrice=2.60&maxPrice=99,3.99,Lay's Duo mix,"15 x 27,5 gPrijs per KG € 9,66",Nutri-Score C,False,False,https://www.ah.nl/producten/product/wi506598/lay-s-duo-mix,"Inhoud en gewicht15 Stuks7x gezouten aardappelchips, 8x aardappelchips met paprikasmaakPortiegrootte: Lay's Naturel. Lay's Paprika. Per 27,5g Lay's PaprikaAantal porties: 15",,,6.1 g,2121 kJ (508 kcal),,,,53 g,,,,,,30 g,,,,,,,,,,,,4.3 g,,,,,3.2 g,,
snoep-koek-chips-en-chocolade?minPrice=2.60&maxPrice=99,3.99,AH Ongebrande pecannoten,"200 gPrijs per KG € 19,95",Nutri-Score B,True,True,https://www.ah.nl/producten/product/wi397901/ah-ongebrande-pecannoten,Inhoud en gewicht200 GramPortiegrootte: 25 gramAantal porties: 8,,,10 g,2972 kJ (721 kcal),,,,9.9 g,,130 mg,,,,70 g,,0.7 mg,,,,,,,,,,5.5 g,,,62 g,,7.6 g,5 mg,
snoep-koek-chips-en-chocolade?minPrice=2.60&maxPrice=99,4.18,Pringles Original & Paprika snack pakket,per pakket,,False,False,https://www.ah.nl/producten/product/wi545707/pringles-original-en-paprika-snack-pakket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snoep-koek-chips-en-chocolade?minPrice=2.60&maxPrice=99,2.69,Liga Belvita chocolade koekjes,"300 gPrijs per KG € 8,97",,False,False,https://www.ah.nl/producten/product/wi435755/liga-belvita-chocolade-koekjes,Inhoud en gewicht300 GramPortiegrootte: 100 g,,267 mg,7.7 g,433 kcal (1819 kJ),,7.4 mg,,65 g,,161 mg,,,,14 g,,,,,,,,,,,,6.9 g,,,,,3.6 g,,
