Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Url,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt
soepen-sauzen-kruiden-olie,0.69,AH Tomatenblokjes gesneden,"400 gPrijs per KG € 2,30",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi30851/ah-tomatenblokjes-gesneden,,,1.4 g,138 kJ (33 kcal),,,,5.6 g,,,,,,0.2 g,,,,,,,,,,,,1.4 g,0.04 g,0.2 g,,,0.04 g,,
soepen-sauzen-kruiden-olie,1.79,AH Biologisch Gember,"150 gPrijs per KG € 11,93",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi104818/ah-biologisch-gember,,,2 g,350 kJ (83 kcal),,,,16 g,,,,,,0.8 g,,,,,,,,,,,,2 g,,,0.4 g,,0.2 g,,
soepen-sauzen-kruiden-olie,0.49,Heinz Tomatenpuree,"70 gPrijs per KG € 7,00",,False,False,https://www.ah.nl/producten/product/wi191446/heinz-tomatenpuree,,,5.6 g,479 kJ (113 kcal),,,,20 g,,,,,,0.2 g,,,,,,,,,,,,,,,,,0.1 g,,
soepen-sauzen-kruiden-olie,1.19,AH Basilicum,"15 gPrijs per KG € 79,33",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi41172/ah-basilicum,,,3.1 g,200 kJ (48 kcal),,,,5.1 g,,,,,,0.8 g,,,,,,,,,,,414.8 µg,3.9 g,,,0.7 g,,0.1 g,,
soepen-sauzen-kruiden-olie,1.09,AH Knoflook,2 stuks,Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi4160/ah-knoflook,,,6.4 g,671 kJ (158 kcal),,,,31 g,,,,,,0.5 g,,,,,,,,,,,,2.1 g,0 g,0.4 g,,,0.1 g,,
soepen-sauzen-kruiden-olie,0.45,AH Rode peper,"per stukPrijs per KG € 22,50",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi387770/ah-rode-peper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soepen-sauzen-kruiden-olie,0.95,AH Tomaten gezeefd passata,"500 gPrijs per KG € 1,90",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi481844/ah-tomaten-gezeefd-passata,,,1.8 g,159 kJ (38 kcal),,,,6.2 g,,,,,,0 g,,,,,,,,,,,,2.9 g,,,0 g,,0 g,,
soepen-sauzen-kruiden-olie,0.69,AH Appelmoes,"710 gPrijs per KG € 0,97",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi492393/ah-appelmoes,,,1.2 g,263 kJ (62 kcal),,,,14 g,,,,,,0 g,,,,,,,,,,,,0.6 g,,,0 g,,0 g,,
soepen-sauzen-kruiden-olie,0.69,Unox Good noodles kip,"70 gPrijs per KG € 9,86",,False,False,https://www.ah.nl/producten/product/wi99086/unox-good-noodles-kip,,,1.6 g,382 kJ (91 kcal),,,,11 g,,,,,,4.2 g,,,,,,,,,,,,< 0.5 g,,,,,2.1 g,,
soepen-sauzen-kruiden-olie,2.89,Unox Knaks,"400 gNormale prijs per KG € 13,14",,False,False,https://www.ah.nl/producten/product/wi374144/unox-knaks,,,11 g,187 kcal (782 kJ),,,,5.6 g,,,,,,13 g,,,,,,,,,,,,< 0.5 g,,,,,5.1 g,,
soepen-sauzen-kruiden-olie,0.45,AH Natuurazijn wit,"1,25 lPrijs per LT € 0,36",Nutri-Score B,True,True,https://www.ah.nl/producten/product/wi462643/ah-natuurazijn-wit,,,0.1 g,56 kJ (13 kcal),,,,0.1 g,,,,,,0 g,,,,,,,,,,,,0.1 g,,,0 g,,0 g,,
soepen-sauzen-kruiden-olie,0.92,AH Augurken zoetzuur,"670 gPrijs per KG € 2,56",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi910/ah-augurken-zoetzuur,,,0.6 g,144 kJ (34 kcal),,,,6.3 g,,,,,,0.2 g,,,,,,,,,,,,0.9 g,,,0.1 g,,0.1 g,,
soepen-sauzen-kruiden-olie,1.29,AH Varkens knakworst,"10 stuksPrijs per KG € 6,45",Nutri-Score D,False,False,https://www.ah.nl/producten/product/wi1539/ah-varkens-knakworst,,,12 g,704 kJ (169 kcal),,,,2.8 g,,,,,,12 g,,,,,,,,,,,,1 g,,,6.7 g,,5 g,,
soepen-sauzen-kruiden-olie,1.69,Hak Appelmoes extra kwaliteit,"355 gPrijs per KG € 4,76",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi189671/hak-appelmoes-extra-kwaliteit,,,0.3 g,256 kJ (61 kcal),,,,13.5 g,,,,,,0.2 g,,,,,,,,,,,,1.9 g,,,,,0 g,,
