Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Url,Content,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt
soepen-sauzen-kruiden-olie?minPrice=0&maxPrice=1.79,0.69,AH Tomatenblokjes gesneden,"400 gPrijs per KG € 2,30",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi30851/ah-tomatenblokjes-gesneden,Inhoud en gewicht400 GramUitlekgewicht: 300 GramPortiegrootte: 250 gramAantal porties: 1.5,,,1.4 g,138 kJ (33 kcal),,,,5.6 g,,,,,,0.2 g,,,,,,,,,,,,1.4 g,0.04 g,0.2 g,,,0.04 g,,
soepen-sauzen-kruiden-olie?minPrice=0&maxPrice=1.79,0.49,Heinz Tomatenpuree,"70 gPrijs per KG € 7,00",,False,False,https://www.ah.nl/producten/product/wi191446/heinz-tomatenpuree,Inhoud en gewicht70 Gram,,,5.6 g,479 kJ (113 kcal),,,,20 g,,,,,,0.2 g,,,,,,,,,,,,,,,,,0.1 g,,
soepen-sauzen-kruiden-olie?minPrice=0&maxPrice=1.79,1.79,AH Biologisch Gember,"150 gPrijs per KG € 11,93",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi104818/ah-biologisch-gember,Inhoud en gewicht150 GramPortiegrootte: 5 gramAantal porties: 30,,,2 g,350 kJ (83 kcal),,,,16 g,,,,,,0.8 g,,,,,,,,,,,,2 g,,,0.4 g,,0.2 g,,
soepen-sauzen-kruiden-olie?minPrice=0&maxPrice=1.79,1.09,AH Basilicum,"15 gPrijs per KG € 72,67",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi41172/ah-basilicum,Inhoud en gewicht15 GramPortiegrootte: 5 gramAantal porties: 3,,,3.1 g,200 kJ (48 kcal),,,,5.1 g,,,,,,0.8 g,,,,,,,,,,,414.8 µg,3.9 g,,,0.7 g,,0.1 g,,
soepen-sauzen-kruiden-olie?minPrice=0&maxPrice=1.79,1.09,AH Knoflook,2 stuks,Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi4160/ah-knoflook,Inhoud en gewicht2 StuksKlasse is variabel en printen we zelf in,,,6.4 g,671 kJ (158 kcal),,,,31 g,,,,,,0.5 g,,,,,,,,,,,,2.1 g,0 g,0.4 g,,,0.1 g,,
soepen-sauzen-kruiden-olie?minPrice=0&maxPrice=1.79,0.45,AH Rode peper,"per stukPrijs per KG € 22,50",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi387770/ah-rode-peper,Inhoud en gewicht1 Stuks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soepen-sauzen-kruiden-olie?minPrice=0&maxPrice=1.79,0.69,Unox Good noodles kip,"70 gPrijs per KG € 9,86",,False,False,https://www.ah.nl/producten/product/wi99086/unox-good-noodles-kip,Inhoud en gewicht1 Stuks. 70 GramAantal porties: 1,,,1.6 g,382 kJ (91 kcal),,,,11 g,,,,,,4.2 g,,,,,,,,,,,,< 0.5 g,,,,,2.1 g,,
soepen-sauzen-kruiden-olie?minPrice=0&maxPrice=1.79,0.95,AH Tomaten gezeefd passata,"500 gPrijs per KG € 1,90",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi481844/ah-tomaten-gezeefd-passata,Inhoud en gewicht500 GramPortiegrootte: 500 gramAantal porties: 1,,,1.8 g,159 kJ (38 kcal),,,,6.2 g,,,,,,0 g,,,,,,,,,,,,2.9 g,,,0 g,,0 g,,
soepen-sauzen-kruiden-olie?minPrice=0&maxPrice=1.79,0.92,AH Augurken zoetzuur,"670 gPrijs per KG € 2,56",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi910/ah-augurken-zoetzuur,Inhoud en gewicht670 GramUitlekgewicht: 360 GramPortiegrootte: 23 gramAantal porties: 16,,,0.6 g,144 kJ (34 kcal),,,,6.3 g,,,,,,0.2 g,,,,,,,,,,,,0.9 g,,,0.1 g,,0.1 g,,
soepen-sauzen-kruiden-olie?minPrice=0&maxPrice=1.79,0.45,AH Natuurazijn wit,"1,25 lPrijs per LT € 0,36",Nutri-Score B,True,True,https://www.ah.nl/producten/product/wi462643/ah-natuurazijn-wit,Inhoud en gewicht1.25 LiterPortiegrootte: 15 milliliterAantal porties: 83,,,0.1 g,56 kJ (13 kcal),,,,0.1 g,,,,,,0 g,,,,,,,,,,,,0.1 g,,,0 g,,0 g,,
soepen-sauzen-kruiden-olie?minPrice=0&maxPrice=1.79,0.69,AH Appelmoes,"710 gPrijs per KG € 0,97",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi492393/ah-appelmoes,Inhoud en gewicht710 GramPortiegrootte: 125 gramAantal porties: 5.5,,,1.2 g,263 kJ (62 kcal),,,,14 g,,,,,,0 g,,,,,,,,,,,,0.6 g,,,0 g,,0 g,,
soepen-sauzen-kruiden-olie?minPrice=0&maxPrice=1.79,1.29,AH Varkens knakworst,"10 stuksPrijs per KG € 6,45",Nutri-Score D,False,False,https://www.ah.nl/producten/product/wi1539/ah-varkens-knakworst,Inhoud en gewicht400 GramUitlekgewicht: 230 GramPortiegrootte: 23 gramAantal porties: 10,,,12 g,704 kJ (169 kcal),,,,2.8 g,,,,,,12 g,,,,,,,,,,,,1 g,,,6.7 g,,5 g,,
soepen-sauzen-kruiden-olie?minPrice=0&maxPrice=1.79,0.99,Heinz Tomato Frito,"350 gPrijs per KG € 2,83",,False,False,https://www.ah.nl/producten/product/wi378632/heinz-tomato-frito,Inhoud en gewicht350 Gram,,,1.1 g,317 kJ (76 kcal),,,,9.3 g,,,,,,3.5 g,,,,,,,,,,,,,,,,,0.4 g,,
soepen-sauzen-kruiden-olie?minPrice=0&maxPrice=1.79,1.19,Bonduelle Crispy maïs,"150 gPrijs per KG € 8,50",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi3537/bonduelle-crispy-mais,Inhoud en gewicht150 GramUitlekgewicht: 140 Gram,,,2.7 g,300 kJ (71 kcal),,,,10.5 g,,,,,,1.4 g,,,,,,,,,,,,3 g,,,,,0.2 g,,
soepen-sauzen-kruiden-olie?minPrice=0&maxPrice=1.79,0.65,AH Soepstengels Naturel,"125 gPrijs per KG € 5,20",Nutri-Score B,True,True,https://www.ah.nl/producten/product/wi189394/ah-soepstengels-naturel,Inhoud en gewicht125 GramPortiegrootte: 6 gramAantal porties: 21,,,12 g,1706 kJ (404 kcal),,,,73 g,,,,,,6.5 g,,,,,,,,,,,,2.5 g,,,5.4 g,,1 g,,
soepen-sauzen-kruiden-olie?minPrice=0&maxPrice=1.79,0.59,Yum Yum Chicken flavour instant noodles,"60 gPrijs per KG € 9,83",,False,False,https://www.ah.nl/producten/product/wi130084/yum-yum-chicken-flavour-instant-noodles,Inhoud en gewicht60 Gram,,,1.3 g,319 kJ (76 kcal),,,,10 g,,,,,,3.3 g,,,,,,,,,,,,,,,,,1.6 g,,
