Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Url,Content,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt
soepen-sauzen-kruiden-olie?minPrice=1.80&maxPrice=2.99,2.89,Unox Knaks,"400 gNormale prijs per KG € 13,14",,False,False,https://www.ah.nl/producten/product/wi374144/unox-knaks,Inhoud en gewicht400 GramUitlekgewicht: 0.22 KilogramAantal porties: 11,,,11 g,187 kcal (782 kJ),,,,5.6 g,,,,,,13 g,,,,,,,,,,,,< 0.5 g,,,,,5.1 g,,
soepen-sauzen-kruiden-olie?minPrice=1.80&maxPrice=2.99,1.89,Hak Appelmoes extra kwaliteit,"355 gPrijs per KG € 5,32",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi189671/hak-appelmoes-extra-kwaliteit,Inhoud en gewicht355 Gram,,,0.3 g,256 kJ (61 kcal),,,,13.5 g,,,,,,0.2 g,,,,,,,,,,,,1.9 g,,,,,0 g,,
soepen-sauzen-kruiden-olie?minPrice=1.80&maxPrice=2.99,1.85,Hak Doperwtjes met worteltjes,"350 gPrijs per KG € 8,04",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi195105/hak-doperwtjes-met-worteltjes,Inhoud en gewicht350 GramUitlekgewicht: 230 Gram,,,2.2 g,206 kJ (49 kcal),,,,7.8 g,,,,,,0.2 g,,,,,,,,,,,,3.6 g,,,,,0.1 g,,
soepen-sauzen-kruiden-olie?minPrice=1.80&maxPrice=2.99,1.99,Heinz Tomaten ketchup,"400 mlPrijs per LT € 4,98",,False,False,https://www.ah.nl/producten/product/wi216494/heinz-tomaten-ketchup,Inhoud en gewicht460 Gram,,,1.2 g,435 kJ (102 kcal),,,,23.2 g,,,,,,0.1 g,,,,,,,,,,,,,,,,,< 0.1 g,,
soepen-sauzen-kruiden-olie?minPrice=1.80&maxPrice=2.99,2.05,Hak Doperwtjes extra fijn,"350 gPrijs per KG € 8,91",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi195104/hak-doperwtjes-extra-fijn,Inhoud en gewicht350 GramUitlekgewicht: 230 Gram,,,4 g,290 kJ (69 kcal),,,,11 g,,,,,,0 g,,,,,,,,,,,,4.5 g,,,,,0 g,,
soepen-sauzen-kruiden-olie?minPrice=1.80&maxPrice=2.99,2.25,Hak Witte bonen in tomatensaus,"360 gPrijs per KG € 6,25",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi202196/hak-witte-bonen-in-tomatensaus,Inhoud en gewicht360 Gram,,,5 g,364 kJ (87 kcal),,,,12.1 g,,,,,,0.6 g,,,,,,,,,,,,6.2 g,,,,,0.1 g,,
soepen-sauzen-kruiden-olie?minPrice=1.80&maxPrice=2.99,2.19,Hak Appelmoes 0%,"350 gPrijs per KG € 6,26",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi233988/hak-appelmoes-0,Inhoud en gewicht350 Gram,,,0.3 g,199 kJ (47 kcal),,,,10 g,,,,,,0.2 g,,,,,,,,,,,,2 g,,,,,0 g,,
soepen-sauzen-kruiden-olie?minPrice=1.80&maxPrice=2.99,1.99,Hak Rode kool met stukjes appel,"355 gPrijs per KG € 5,61",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi207330/hak-rode-kool-met-stukjes-appel,Inhoud en gewicht355 Gram,,,0.7 g,204 kJ (48 kcal),,,,10.2 g,,,,,,0 g,,,,,,,,,,,,1.6 g,,,,,0 g,,
soepen-sauzen-kruiden-olie?minPrice=1.80&maxPrice=2.99,2.69,Unox Romige tomatencrèmesoep,"570 mlPrijs per LT € 4,72",,False,False,https://www.ah.nl/producten/product/wi123848/unox-romige-tomatencremesoep,Inhoud en gewicht570 MilliliterAantal porties: 2,,,1.2 g,56 kcal (232 kJ),,,,6 g,,,,,,2.8 g,,,,,,,,,,,,< 0.5 g,,,,,0.5 g,,
soepen-sauzen-kruiden-olie?minPrice=1.80&maxPrice=2.99,2.29,Unox Runder knaks,"400 gPrijs per KG € 11,45",,False,False,https://www.ah.nl/producten/product/wi223381/unox-runder-knaks,Inhoud en gewicht10 Stuks. 400 GramUitlekgewicht: 0.2 KilogramAantal porties: 10,,,13 g,180 kcal (770 kJ),,,,7.4 g,,,,,,11 g,,,,,,,,,,,,,,,,,4.9 g,,
soepen-sauzen-kruiden-olie?minPrice=1.80&maxPrice=2.99,2.39,Calvé Calve mayonaise,"650 mlPrijs per LT € 3,68",,False,False,https://www.ah.nl/producten/product/wi429373/calve-calve-mayonaise,Inhoud en gewicht650 MilliliterAantal porties: 43,,,0.9 g,630 kcal (2636 kJ),,,,3.5 g,,,,,,69 g,,,,,,,,,,,,,,,,,5.5 g,,
soepen-sauzen-kruiden-olie?minPrice=1.80&maxPrice=2.99,2.79,Grand' Italia Sugocasa tradizionale pastasaus,"690 gNormale prijs per KG € 4,04",,False,False,https://www.ah.nl/producten/product/wi2063/grand-italia-sugocasa-tradizionale-pastasaus,Inhoud en gewicht690 Gram,,,1.5 g,151 kJ (36 kcal),,,,6.5 g,,,,,,0.2 g,,,,,,,,,,,,0.9 g,,,,,0 g,,
