Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Url,Content,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt
soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,6.79,AH Olijfolie traditioneel,"1 lPrijs per LT € 6,79",Nutri-Score C,True,True,https://www.ah.nl/producten/product/wi58055/ah-olijfolie-traditioneel,Inhoud en gewicht1 LiterPortiegrootte: 15 milliliterAantal porties: 67,,,0 g,3367 kJ (819 kcal),,,,0 g,,,,,,91 g,,,,,,,,,,,,0 g,,,77 g,,14 g,,
soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.59,Van Wijngaarden's Zaanse mayonaise,"0,75 lPrijs per LT € 4,79",,False,False,https://www.ah.nl/producten/product/wi496580/van-wijngaarden-s-zaanse-mayonaise,Inhoud en gewicht750 Milliliter,,,1.2 g,3029 kJ (735 kcal),,,,1.4 g,,,,,,80.4 g,,,,,,,,,,,,,50.3 g,23 g,,,6.4 g,,
soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,6.59,AH Olijfolie mild,"1 lPrijs per LT € 6,59",Nutri-Score C,True,True,https://www.ah.nl/producten/product/wi58053/ah-olijfolie-mild,Inhoud en gewicht1 LiterPortiegrootte: 15 milliliterAantal porties: 67,,,0 g,3367 kJ (819 kcal),,,,0 g,,,,,,91 g,,,,,,,,,,,,0 g,,,77 g,,14 g,,
soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.15,Unox Erwtensoep,"570 mlPrijs per LT € 5,53",,False,False,https://www.ah.nl/producten/product/wi162855/unox-erwtensoep,Inhoud en gewicht570 MilliliterAantal porties: 2,,,3.7 g,73 kcal (305 kJ),,,,5.5 g,,,,,,3.6 g,,,,,,,,,,,,2.2 g,,,,,0.9 g,,
soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.25,Hak Haricots verts extra fijn,"340 gPrijs per KG € 18,06",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi117039/hak-haricots-verts-extra-fijn,Inhoud en gewicht340 GramUitlekgewicht: 180 Gram,,,1.4 g,79 kJ (19 kcal),,,,1.4 g,,,,,,0.3 g,,,,,,,,,,,,2.5 g,,,,,0.1 g,,
soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.25,AH Guacamole,"175 gPrijs per KG € 18,57",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi217356/ah-guacamole,Inhoud en gewicht175 GramPortiegrootte: 15 gramAantal porties: 12,,,2 g,788 kJ (191 kcal),,,,4 g,,,,,,18 g,,,,,,,,,,,,2.5 g,,,14 g,,3 g,,
soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.29,Unox Chinese tomatensoep,"570 mlPrijs per LT € 5,77",,False,False,https://www.ah.nl/producten/product/wi191060/unox-chinese-tomatensoep,Inhoud en gewicht570 MilliliterAantal porties: 2,,,1.3 g,59 kcal (247 kJ),,,,7.6 g,,,,,,2.5 g,,,,,,,,,,,,0.6 g,,,,,0.5 g,,
soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.99,AH Zonnebloemolie,"1 lPrijs per LT € 3,99",Nutri-Score D,True,True,https://www.ah.nl/producten/product/wi906/ah-zonnebloemolie,Inhoud en gewicht1 LiterPortiegrootte: 15 milliliterAantal porties: 67,,,0 g,3404 kJ (828 kcal),,,,0 g,,,,,,92 g,,,,,,,,,,,,0 g,,,82 g,,10 g,,
soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,27.16,AH Olijfolie traditioneel 4-pack,per pakket,,False,False,https://www.ah.nl/producten/product/wi547184/ah-olijfolie-traditioneel-4-pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,6.99,AH Olijfolie extra vierge,"1 lPrijs per LT € 6,99",Nutri-Score C,True,True,https://www.ah.nl/producten/product/wi58043/ah-olijfolie-extra-vierge,Inhoud en gewicht1 LiterPortiegrootte: 15 milliliterAantal porties: 67,,,0 g,3367 kJ (819 kcal),,,,0 g,,,,,,91 g,,,,,,,,,18 mg,,,0 g,,,78 g,,13 g,,
