Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Url,Content,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt
sport-en-dieetvoeding,1.79,Melkunie Protein chocolade pudding,"200 gPrijs per KG € 8,95",,False,False,https://www.ah.nl/producten/product/wi474603/melkunie-protein-chocolade-pudding,Inhoud en gewicht200 Gram,,220 mg,10 g,311 kJ (74 kcal),,,,6.6 g,,28.1 mg,,,,1.5 g,,,,,,,,,,,,,,,,,0.9 g,0.75 mg,
sport-en-dieetvoeding,3.79,Nature Valley Protein pinda & chocolade repen,4 stuks,,False,False,https://www.ah.nl/producten/product/wi407165/nature-valley-protein-pinda-en-chocolade-repen,Inhoud en gewicht4 Stuks. 160 Gram4x40gPortiegrootte: 1 reep (40g)Aantal porties: 4,,,25.6 g,2045 kJ (492 kcal),,,,22.9 g,,,,,,30.1 g,,,,,,,,,,,,13.6 g,,,,,8.8 g,,
sport-en-dieetvoeding,1.89,Melkunie Breaker high protein vanille yoghurt,"200 gPrijs per KG € 9,45",,False,False,https://www.ah.nl/producten/product/wi225290/melkunie-breaker-high-protein-vanille-yoghurt,Inhoud en gewicht200 Gram,,150 mg,6 g,357 kJ (84 kcal),,,,13 g,,,,,,0.9 g,,,,,,,,,,,,,,,,,0.5 g,,
sport-en-dieetvoeding,1.59,Melkunie Protein aardbei framboos shake,"225 mlPrijs per LT € 7,07",,False,False,https://www.ah.nl/producten/product/wi415701/melkunie-protein-aardbei-framboos-shake,Inhoud en gewicht225 Milliliter,,274 mg,9 g,322 kJ (76 kcal),,,,6.5 g,,,,,,1.6 g,,,,0.22 µg,,,,,,,,,,,,,1 g,,
sport-en-dieetvoeding,1.79,Melkunie Protein chocolade shake,"250 mlPrijs per LT € 7,16",,False,False,https://www.ah.nl/producten/product/wi493103/melkunie-protein-chocolade-shake,Inhoud en gewicht250 Milliliter,,172 mg,8.1 g,265 kJ (63 kcal),,,,4.8 g,,28.1 mg,,,,1.2 g,,,,,,,,,,,,,,,,,0.8 g,1.2 mg,
sport-en-dieetvoeding,1.89,Melkunie Protein salted caramel pudding,"200 gPrijs per KG € 9,45",,False,False,https://www.ah.nl/producten/product/wi474604/melkunie-protein-salted-caramel-pudding,Inhoud en gewicht200 Gram,,208 mg,10 g,304 kJ (72 kcal),,,,7.4 g,,28.1 mg,,,,1.5 g,,,,,,,,,,,,,,,,,0.9 g,0.75 mg,
sport-en-dieetvoeding,2.45,Liga Proteine reep pinda,"160 gPrijs per KG € 15,31",,False,False,https://www.ah.nl/producten/product/wi505200/liga-proteine-reep-pinda,Inhoud en gewicht160 GramPortiegrootte: 1 reep = 32 g. 1 verpakking bevat 5 repen.,,,15 g,1974 kJ (473 kcal),,,,50 g,,,,,,24 g,,,,,,,,,,,,4.3 g,,,,,9.2 g,,
sport-en-dieetvoeding,1.99,HiPRO Protein drink framboos aardbei,"300 mlPrijs per LT € 6,63",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi498199/hipro-protein-drink-framboos-aardbei,Inhoud en gewicht300 Milliliter,,174 mg,8.34 g,260 kJ (62 kcal),,,,6.1 g,,,,,,0.5 g,,,,,,,,,,,,0.03 g,,,,,0.3 g,,
sport-en-dieetvoeding,1.59,Melkunie Protein aardbei kwark,"200 gPrijs per KG € 7,95",,False,False,https://www.ah.nl/producten/product/wi395071/melkunie-protein-aardbei-kwark,Inhoud en gewicht200 Gram,,,10 g,291 kJ (67 kcal),,,,6.4 g,,,,,,0.3 g,,,,,,,,,,,,,,,,,0.2 g,,
sport-en-dieetvoeding,1.69,"Melkunie Protein mango yoghurt 0,8% fat","200 gPrijs per KG € 8,45",,False,False,https://www.ah.nl/producten/product/wi448811/melkunie-protein-mango-yoghurt-0-8-fat,Inhoud en gewicht200 Gram,,,10 g,306 kJ (73 kcal),,,,5.5 g,,,,,,0.8 g,,,,,,,,,,,,,,,,,0.5 g,,
