Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Url,Content,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt
tussendoortjes,1.99,AH Snoepgroente komkommer,"230 gNormale prijs per KG € 8,65",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi502305/ah-snoepgroente-komkommer,Inhoud en gewicht230 GramPortiegrootte: 230 gram,,,0.7 g,54 kJ (13 kcal),,,,1.3 g,,,,,,0.4 g,,,,,,,,,,,20.9 µg,0.6 g,,,0.2 g,,0.1 g,,
tussendoortjes,3.19,Eat Natural Protein packed repen pinda's & chocolade,"135 gPrijs per KG € 23,63",,False,False,https://www.ah.nl/producten/product/wi388651/eat-natural-protein-packed-repen-pinda-s-en-chocolade,Inhoud en gewicht3 Stuks3 x 45g.Portiegrootte: per 45g reep,,,22.8 g,2126 kJ (510 kcal),,,,32.4 g,,,,,,30.5 g,,,,,,,,,,,,7.3 g,,,,,9.1 g,,
tussendoortjes,1.09,AH Cherrytomaten,"250 gPrijs per KG € 4,36",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi4137/ah-cherrytomaten,Inhoud en gewicht250 GramPortiegrootte: 250 gramAantal porties: 1,,,0.9 g,128 kJ (31 kcal),,,,4 g,,,,,,0.8 g,,,,,,,,24 mg,,,,1.9 g,,,0.5 g,,0.1 g,,
tussendoortjes,2.99,Graze Bites honey cinnamon,"120 gPrijs per KG € 24,92",,False,False,https://www.ah.nl/producten/product/wi495763/graze-bites-honey-cinnamon,Inhoud en gewicht120 Gram4 x 30gAantal porties: 4,,,16 g,498 kcal (2077 kJ),,,,42 g,,,,,,27 g,,,,,,,,,,,,14 g,,,,,3.7 g,,
tussendoortjes,2.99,AH Snoepgroente tomaat,"500 gPrijs per KG € 5,98",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi471641/ah-snoepgroente-tomaat,Inhoud en gewicht500 GramPortiegrootte: 250 gramAantal porties: 2,,,0.9 g,128 kJ (31 kcal),,,,4 g,,,,,,0.8 g,,,,,,,,24 mg,,,,1.9 g,,,0.5 g,,0.1 g,,
tussendoortjes,2.99,Graze Bites chocolate,"120 gPrijs per KG € 24,92",,False,False,https://www.ah.nl/producten/product/wi495761/graze-bites-chocolate,Inhoud en gewicht120 Gram4 x 30gAantal porties: 4,,,14 g,484 kcal (2020 kJ),,,,46 g,,,,,,24 g,,,,,,,,,,,,13 g,,,,,7.6 g,,
tussendoortjes,1.99,AH Snoepgroente tomaat,"250 gNormale prijs per KG € 7,96",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi490796/ah-snoepgroente-tomaat,Inhoud en gewicht250 GramPortiegrootte: 250 gramAantal porties: 1,,,0.9 g,128 kJ (31 kcal),,,,4 g,,,,,,0.8 g,,,,,,,,24 mg,,,,1.9 g,,,0.5 g,,0.1 g,,
tussendoortjes,1.59,AH Geschrapte worteltjes grootverpakking,"500 gPrijs per KG € 3,18",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi128148/ah-geschrapte-worteltjes-grootverpakking,"Inhoud en gewicht500 Gram2,5 portie (200 g)Portiegrootte: 200 gramAantal porties: 2.5",,,0.6 g,137 kJ (33 kcal),,,,5.5 g,,,,,,0.3 g,,,,,,,,3 mg,,,,2.8 g,0 g,0.2 g,,,0.1 g,,
tussendoortjes,0.99,AH Luchtige cracker volkoren met rijstbloem,"250 gPrijs per KG € 3,96",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi196377/ah-luchtige-cracker-volkoren-met-rijstbloem,"Inhoud en gewicht250 GramPortiegrootte: 7,5 gramAantal porties: 33",,,10 g,1486 kJ (352 kcal),,,,63 g,,,,,,3.6 g,,,,,,,,,,,,14 g,,,2 g,,0.4 g,,
tussendoortjes,1.00,AH Geschrapte worteltjes,"300 gPrijs per KG € 3,33",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi111781/ah-geschrapte-worteltjes,Inhoud en gewicht300 GramPortiegrootte: 300 gramAantal porties: 1,,,0.6 g,135 kJ (33 kcal),,,,5.5 g,,,,,,0.3 g,,,,,,,,,,,,3 g,,,0.2 g,,0.1 g,,
tussendoortjes,1.99,AH Snoepgroente paprikamix,"175 gNormale prijs per KG € 11,37",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi502289/ah-snoepgroente-paprikamix,Inhoud en gewicht175 GramPortiegrootte: 175 gram,,,0.8 g,99 kJ (24 kcal),,,,3.8 g,,,,,,0.1 g,,,,,,,,124 mg,,,,2.1 g,,,0.1 g,,0 g,,
