Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt,Url
vlees-kip-vis-vega,4.89,AH Rundergehakt,"500 gPrijs per KG € 9,78",Nutri-Score C,False,False,,,20 g,945 kJ (230 kcal),,,,0.9 g,,,,,,16 g,,,,,,,,,,,,0 g,,,7 g,,7 g,,,
vlees-kip-vis-vega,3.49,AH Rundergehakt,"300 gPrijs per KG € 11,63",Nutri-Score C,False,False,,,20 g,945 kJ (230 kcal),,,,0.9 g,,,,,,16 g,,,,,,,,,,,,0 g,,,7 g,,7 g,,,
vlees-kip-vis-vega,2.99,Meester & Zn. Gerookte spekreepjes,"300 gPrijs per KG € 9,97",Nutri-Score E,False,False,,,15 g,1263 kJ (305 kcal),,,,0.5 g,,,,,,27 g,,,,,,,,,,,,0 g,,,16 g,,11 g,,,
vlees-kip-vis-vega,,AH Kipfilet 4-pack,per pakket,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vlees-kip-vis-vega,3.79,AH Half-om-half gehakt,"500 gPrijs per KG € 7,58",Nutri-Score C,False,False,,,20 g,947 kJ (228 kcal),,,,0.9 g,,,,,,16 g,,,,,,,,,,,,0 g,,,7.5 g,,6.7 g,,,
vlees-kip-vis-vega,3.49,AH Scharrel kipfiletblokjes,"200 gPrijs per KG € 17,45",Nutri-Score A,False,False,,,23 g,454 kJ (107 kcal),,,,0 g,,,,,,1.7 g,,,,,,,,,,,,0 g,,,1 g,,0.6 g,,,
vlees-kip-vis-vega,4.59,AH Gerookte spekreepjes,"250 gPrijs per KG € 18,36",Nutri-Score E,False,False,,,16 g,1169 kJ (282 kcal),,,,0.5 g,,,,,,24 g,,,,,,,,,,,,0 g,,,15 g,,9 g,,,
vlees-kip-vis-vega,3.99,AH Gerookte zalmfilet,"100 gPrijs per KG € 39,90",Nutri-Score D,False,False,,,21 g,875 kJ (210 kcal),,,,0 g,,,,,,14 g,,,,,,,,,,,,0 g,,,10 g,,3 g,,,
vlees-kip-vis-vega,3.25,AH Gepaneerde schnitzel,"2 stuksPrijs per KG € 10,83",Nutri-Score B,False,False,,,15 g,683 kJ (162 kcal),,,,16 g,,,,,,3.9 g,,,,,,,,,,,,1.4 g,,,2.2 g,,1.3 g,,,
vlees-kip-vis-vega,3.99,AH Greenfields Beefburger naturel,"2 stuksPrijs per KG € 15,96",Nutri-Score D,False,False,,,19 g,1092 kJ (263 kcal),,,,1.7 g,,,,,,20 g,,,,,,,,,,,,0.02 g,,,8.7 g,,8.9 g,,,
