Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt,Url
zuivel-plantaardig-en-eieren,2.09,De Zaanse Hoeve Halfvolle Melk,"2 lPrijs per LT € 1,05",Nutri-Score A,False,True,,120 mg,3.5 g,192 kJ (46 kcal),,,,4.5 g,,,,,,1.5 g,,,,,,,,,,,,0 g,,,,,1 g,,,
zuivel-plantaardig-en-eieren,4.88,Kellogg's cornflakes ontbijt pakket,per pakket,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zuivel-plantaardig-en-eieren,2.29,AH Witte scharreleieren,10 stuks,Nutri-Score A,False,True,,,12 g,544 kJ (131 kcal),,,,0.2 g,,,,,,9.1 g,,,,,,,,,,,,0 g,,,4.3 g,,3 g,,,
zuivel-plantaardig-en-eieren,1.09,De Zaanse Hoeve Halfvolle melk,"1 lPrijs per LT € 1,09",Nutri-Score B,False,True,,132 mg,3.6 g,197 kJ (47 kcal),,,,4.7 g,,,,,,1.5 g,,,,0.19 mg,,,,,,,,0 g,,,0.4 g,,1.1 g,,,
zuivel-plantaardig-en-eieren,1.89,AH Halfvolle melk,"1,5 lPrijs per LT € 1,26",Nutri-Score B,False,True,,,3.6 g,200 kJ (48 kcal),,,,4.7 g,,,,,,1.6 g,,,,,,,,,,,,0 g,,,0.5 g,,1.1 g,,,
zuivel-plantaardig-en-eieren,1.19,AH Halfvolle melk,"1 lPrijs per LT € 1,19",Nutri-Score B,False,True,,120 mg,3.5 g,200 kJ (48 kcal),,,,5 g,,,,,,1.5 g,,,,,,,,,,,,0 g,,,0.4 g,,1.1 g,,,
zuivel-plantaardig-en-eieren,1.99,De Zaanse Hoeve Yoghurt Griekse stijl,"1 kgPrijs per KG € 1,99",Nutri-Score C,False,True,,,4.5 g,532 kJ (128 kcal),,,,5 g,,,,,,10 g,,,,,,,,,,,,0 g,,,3.8 g,,6.2 g,,,
zuivel-plantaardig-en-eieren,1.45,AH Bio Halfvolle Melk,"1 lPrijs per LT € 1,45",Nutri-Score B,False,True,,128 mg,3.6 g,200 kJ (48 kcal),,,,4.7 g,,,,,,1.6 g,,,,0.1 mg,,,,,,,,0 g,,,0.5 g,,1.1 g,,,
zuivel-plantaardig-en-eieren,1.19,De Zaanse Hoeve Volle melk,"1 lPrijs per LT € 1,19",Nutri-Score B,False,True,,129 mg,3.6 g,273 kJ (65 kcal),,,,4.6 g,,,,,,3.6 g,,,,0.18 mg,,,,,,,,0 g,,,1.1 g,,2.5 g,,,
zuivel-plantaardig-en-eieren,2.49,De Zaanse Hoeve Roomboter ongezouten,"250 gPrijs per KG € 9,96",Nutri-Score E,False,True,,,0.6 g,3061 kJ (744 kcal),,,,1 g,,,,,,82 g,,,,,,,,,,,,0 g,,,25 g,,57 g,,,
zuivel-plantaardig-en-eieren,1.35,AH Halfvolle melk,"1 lPrijs per LT € 1,35",Nutri-Score B,False,True,,126 mg,3.6 g,197 kJ (47 kcal),,,,4.7 g,,,,,,1.5 g,,,,0.1 mg,,,,,,,,0 g,,,0.4 g,,1.1 g,,,
zuivel-plantaardig-en-eieren,0.99,De Zaanse Hoeve Creme fraiche,"200 gPrijs per KG € 4,95",Nutri-Score D,False,True,,,2.4 g,1202 kJ (292 kcal),,,,3 g,,,,,,30 g,,,,,,,,,,,,0 g,,,9.3 g,,21 g,,,
zuivel-plantaardig-en-eieren,1.09,AH Halvarine lekker op brood,"500 gPrijs per KG € 2,18",Nutri-Score C,True,True,,,0 g,1453 kJ (353 kcal),,,,0.6 g,,,,,,39 g,800 µg,,,,,,,,11 mg,,,0 g,,,28 g,,11 g,,,
zuivel-plantaardig-en-eieren,0.99,De Zaanse Hoeve Karnemelk,"1 lPrijs per LT € 0,99",Nutri-Score A,False,True,,106.3 mg,3.1 g,121 kJ (29 kcal),,,,2.9 g,,,,,,0.5 g,,,,0.1 mg,,,,,,,,0 g,,,0.2 g,,0.3 g,,,
zuivel-plantaardig-en-eieren,1.29,AH Volle melk,"1 lPrijs per LT € 1,29",Nutri-Score B,False,True,,120 mg,3.4 g,274 kJ (66 kcal),,,,4.9 g,,,,,,3.6 g,,,,,,,,,,,,0 g,,,1.1 g,,2.5 g,,,
zuivel-plantaardig-en-eieren,1.55,AH Biologisch Volle yoghurt,"1 lPrijs per LT € 1,55",Nutri-Score B,False,True,,144 mg,4 g,259 kJ (62 kcal),,,,4.5 g,,,,,,3.1 g,,,,0.22 mg,,,,,,,,0 g,,,1 g,,2.1 g,,,
zuivel-plantaardig-en-eieren,1.15,De Zaanse Hoeve Magere yoghurt,"1 lPrijs per LT € 1,15",Nutri-Score A,False,True,,124 mg,3.4 g,118 kJ (28 kcal),,,,3.3 g,,,,,,0.1 g,,,,,,,,,,,,0 g,0 g,0 g,0 g,,0.1 g,,,
zuivel-plantaardig-en-eieren,0.89,De Zaanse Hoeve Magere kwark,"500 gPrijs per KG € 1,78",Nutri-Score A,False,True,,,8.5 g,213 kJ (50 kcal),,,,4 g,,,,,,0 g,,,,,,,,,,,,0 g,,,0 g,,0 g,,,
zuivel-plantaardig-en-eieren,2.29,Oatly! Haverdrank barista edition,"1 lPrijs per LT € 2,29",,False,False,,120 mg,1 g,247 kJ (59 kcal),,,22.5 µg,6.6 g,,,,,,3 g,,,,0.21 mg,,,,,,,,0.8 g,,,,,0.3 g,,,
zuivel-plantaardig-en-eieren,0.99,AH Halfvolle koffiemelk,"465 mlPrijs per LT € 2,13",Nutri-Score C,False,False,,,7.3 g,504 kJ (120 kcal),,,,13 g,,,,,,4.3 g,,,,,,,,,,,,0 g,1.2 g,0.1 g,,,3.1 g,,,
zuivel-plantaardig-en-eieren,1.39,AH Biologisch Houdbare halfvolle melk,"1 lPrijs per LT € 1,39",Nutri-Score B,False,True,,120 mg,3.5 g,200 kJ (48 kcal),,,,5 g,,,,,,1.5 g,,,,,,,,,,,,0 g,,,0.4 g,,1.1 g,,,
zuivel-plantaardig-en-eieren,1.25,De Zaanse Hoeve Volle yoghurt,"1 lPrijs per LT € 1,25",Nutri-Score B,False,True,,120 mg,3.3 g,216 kJ (52 kcal),,,,2.9 g,,,,,,3 g,,,,,,,,,,,,0 g,,,0.9 g,,2.1 g,,,
zuivel-plantaardig-en-eieren,1.55,AH Bio Volle Melk,"1 lPrijs per LT € 1,55",Nutri-Score B,False,True,,125 mg,3.5 g,271 kJ (65 kcal),,,,4.6 g,,,,,,3.6 g,,,,0.18 mg,,,,,,,,0 g,,,1.1 g,,2.5 g,,,
zuivel-plantaardig-en-eieren,1.99,Optimel Drinkyoghurt framboos,"1 lPrijs per LT € 1,99",,False,False,,105 mg,3.2 g,132 kJ (31 kcal),,,,3.7 g,,,,,,0 g,,,,0.15 mg,,,,,,,,,,,,,0 g,,,
zuivel-plantaardig-en-eieren,0.99,De Zaanse Hoeve Vanille vla,"1 lPrijs per LT € 0,99",Nutri-Score B,False,False,,,2.2 g,362 kJ (86 kcal),,,,13 g,,,,,,2.8 g,,,,,,,,,,,,0 g,,,0.9 g,,1.9 g,,,
zuivel-plantaardig-en-eieren,1.85,Arla Biologisch halfvolle melk,"1 lPrijs per LT € 1,85",,False,False,,124 mg,3.4 g,195 kJ (46 kcal),,,,4.7 g,,,,,,1.5 g,,,,0.18 mg,,,,,,,,,,,,,1.1 g,,,
zuivel-plantaardig-en-eieren,1.99,De Zaanse Hoeve Yoghurt griekse stijl 2% vet,"1 kgPrijs per KG € 1,99",Nutri-Score A,False,True,,133 mg,6 g,256 kJ (61 kcal),,,,4.7 g,,,,,,2 g,,,,,,,,,,,,0 g,,,0.7 g,,1.3 g,,,
zuivel-plantaardig-en-eieren,1.29,De Zaanse Hoeve Halfvolle vanille yoghurt,"1 lPrijs per LT € 1,29",Nutri-Score B,False,True,,,3.1 g,333 kJ (79 kcal),,,,13 g,,,,,,1.6 g,,,,,,,,,,,,0 g,,,0.4 g,,1.1 g,,,
zuivel-plantaardig-en-eieren,1.49,Campina Langlekker halfvolle melk,"1 lNormale prijs per LT € 1,49",,False,False,,120 mg,3.7 g,204 kJ (48 kcal),,,,4.8 g,,,,,150 mg,1.5 g,,,,0.14 mg,,,,,,,,,,,,,1.1 g,,,
zuivel-plantaardig-en-eieren,1.25,AH Magere yoghurt,"1 lPrijs per LT € 1,25",Nutri-Score A,False,True,,123 mg,4.5 g,160 kJ (38 kcal),,,,4.7 g,,,,,,0.1 g,,,,,,,,,,,,0 g,,,0.01 g,,0.1 g,,,
zuivel-plantaardig-en-eieren,2.05,AH Magere franse kwark,"1 kgPrijs per KG € 2,05",Nutri-Score A,False,True,,129 mg,8.9 g,219 kJ (52 kcal),,,,4 g,,,,,,0 g,,,,,,,,,,,,0 g,,,0 g,,0 g,,,
zuivel-plantaardig-en-eieren,2.09,AH Biologisch Halfvolle melk biologisch,"1,5 lPrijs per LT € 1,39",Nutri-Score B,False,True,,128 mg,3.6 g,200 kJ (48 kcal),,,,4.7 g,,,,,,1.6 g,,,,0.1 mg,,,,,,,,0 g,,,0.5 g,,1.1 g,,,
zuivel-plantaardig-en-eieren,4.29,AH Biologisch Eieren S M L,10 stuks,Nutri-Score A,False,True,,,12 g,559 kJ (134 kcal),,,,0.2 g,,,,,,9.5 g,,,,,,,,,,,,0 g,,,4.8 g,,3 g,,,
zuivel-plantaardig-en-eieren,1.29,AH Biologisch Karnemelk,"1 lPrijs per LT € 1,29",Nutri-Score A,False,True,,119.22 mg,3.5 g,134 kJ (32 kcal),,,,3.3 g,,,,,,0.5 g,,,,0.17 mg,,,,,,,,0 g,,,0.1 g,,0.4 g,,,
zuivel-plantaardig-en-eieren,1.15,AH Magere franse kwark,"500 gPrijs per KG € 2,30",Nutri-Score A,False,True,,129 mg,8.9 g,219 kJ (52 kcal),,,,4 g,,,,,,0 g,,,,,,,,,,,,0 g,,,0 g,,0 g,,,
zuivel-plantaardig-en-eieren,1.55,AH Biologisch Halfvolle yoghurt,"1 lPrijs per LT € 1,55",Nutri-Score B,False,True,,163 mg,4.5 g,224 kJ (53 kcal),,,,5.2 g,,,,,,1.6 g,,,,0.26 mg,,,,,,,,0 g,,,0.5 g,,1.1 g,,,
zuivel-plantaardig-en-eieren,1.29,AH Halfvolle yoghurt,"1 lPrijs per LT € 1,29",Nutri-Score A,False,True,,138.9 mg,4.5 g,188 kJ (45 kcal),,,,3.3 g,,,,,,1.5 g,,,,,,,,,,,,0 g,,,0.5 g,,1 g,,,
zuivel-plantaardig-en-eieren,1.39,AH Biologisch Magere yoghurt,"1 lPrijs per LT € 1,39",Nutri-Score A,False,True,,152 mg,4.2 g,168 kJ (40 kcal),,,,4.8 g,,,,,,0.4 g,,,,0.23 mg,,,,,,,,0 g,,,0.1 g,,0.3 g,,,
zuivel-plantaardig-en-eieren,1.49,De Zaanse Hoeve Magere kwark,"1 kgPrijs per KG € 1,49",Nutri-Score A,False,True,,120 mg,8.5 g,213 kJ (50 kcal),,,,4 g,,,,,,0 g,,,,,,,,,,,,0 g,,,0 g,,0 g,,,
zuivel-plantaardig-en-eieren,5.49,AH Verse scharreleieren M,20 stuks,Nutri-Score A,False,True,,,12 g,544 kJ (131 kcal),,,,0.2 g,,,,,,9.1 g,,,,,,,,,,,,0 g,,,4.3 g,,3 g,,,
zuivel-plantaardig-en-eieren,1.99,Optimel Drinkyoghurt mango passievrucht,"1 lPrijs per LT € 1,99",,False,False,,105 mg,3.2 g,135 kJ (32 kcal),,,,3.8 g,,,,,,,,,,0.15 mg,,,,,,,,,,,,,,,,
zuivel-plantaardig-en-eieren,2.19,Campina Halfvolle melk,"1,5 lPrijs per LT € 1,46",,False,False,,120 mg,3.6 g,202 kJ (48 kcal),,,,4.8 g,,,,,150 mg,1.5 g,,,,0.18 mg,,,,,,,,,,,,,1.1 g,,,
zuivel-plantaardig-en-eieren,3.59,AH Verse scharreleieren M,10 stuks,Nutri-Score A,False,True,,,12 g,544 kJ (131 kcal),,,,0.2 g,,,,,,9.1 g,,,,,,,,,,,,0 g,,,4.3 g,,3 g,,,
zuivel-plantaardig-en-eieren,1.19,AH Goed begin 100% plantaardig,"500 gPrijs per KG € 2,38",Nutri-Score C,True,True,,600 mg,0 g,1462 kJ (355 kcal),200 µg,,,1.1 g,,,,,,39 g,800 µg,1.1 mg,,1.4 mg,,,1.4 mg,,20 mg,,,0 g,,,26 g,,13 g,,,
zuivel-plantaardig-en-eieren,1.45,AH Volle melk,"1 lPrijs per LT € 1,45",Nutri-Score B,False,True,,123 mg,3.5 g,271 kJ (65 kcal),,,,4.6 g,,,,,,3.6 g,,,,0.1 mg,,,,,,,,0 g,,,1.2 g,,2.4 g,,,
zuivel-plantaardig-en-eieren,2.35,Blue Band Halvarine,"500 gPrijs per KG € 4,70",,False,False,,,< 0.5 g,1470 kJ (351 kcal),,,,1.1 g,,,,,,39 g,800 µg,1.1 mg,200 µg,1.4 mg,,,1.4 mg,,9.8 mg,,,,13 g,14 g,,,12 g,,,
zuivel-plantaardig-en-eieren,3.29,AH Biologisch Roomboter ongezouten,"250 gPrijs per KG € 13,16",Nutri-Score E,False,True,,,0.7 g,3060 kJ (745 kcal),,,,0.8 g,,,,,,82 g,800 µg,,,,,,,,1.9 mg,,,0 g,,,26 g,,55 g,,,
zuivel-plantaardig-en-eieren,0.85,Danoontje Knijpyoghurt aardbei,"70 gPrijs per KG € 12,14",Nutri-Score B,False,False,,191 mg,3.6 g,347 kJ (82 kcal),,,,10.8 g,,,,,,2.8 g,,,,,,,,,,,,,,,,,1.8 g,,,
zuivel-plantaardig-en-eieren,1.75,Campina Milde halfvolle yoghurt,"1 lPrijs per LT € 1,75",,False,False,,120 mg,4.1 g,199 kJ (47 kcal),,,,3.5 g,,,,,,1.6 g,,,,,,,,,,,,,,,,,1.1 g,,,
zuivel-plantaardig-en-eieren,1.55,Campina Langlekker volle melk,"1 lNormale prijs per LT € 1,55",,False,False,,120 mg,3.6 g,278 kJ (66 kcal),,,,4.7 g,,,,,150 mg,3.6 g,,,,0.14 mg,,,,,,,,,,,,,2.5 g,,,
zuivel-plantaardig-en-eieren,1.99,AH Biologisch Witte eieren S M L,6 stuks,Nutri-Score A,False,True,,,12 g,560 kJ (135 kcal),,,,0.2 g,,,,,,9.5 g,,,,,,,,,,,,0 g,,,5 g,,3 g,,,
zuivel-plantaardig-en-eieren,1.09,AH Drinkyoghurt framboos,"1 lPrijs per LT € 1,09",Nutri-Score A,False,True,,104.4 mg,3.1 g,116 kJ (27 kcal),,,,3.5 g,,,,,,0.1 g,,,,0.35 mg,,,0.23 mg,,,,,0.02 g,,,0 g,,0.1 g,,,
zuivel-plantaardig-en-eieren,0.99,AH Kokosmelk,"200 mlPrijs per LT € 4,95",Nutri-Score C,True,True,,,1.5 g,705 kJ (171 kcal),,,,2 g,,,,,,17 g,,,,,,,,,,,,2 g,,,1.1 g,,16 g,,,
