Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Url,Content,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt
zuivel-plantaardig-en-eieren?minPrice=0&maxPrice=3.99,2.29,De Zaanse Hoeve Halfvolle Melk,"2 lPrijs per LT € 1,15",Nutri-Score A,False,True,https://www.ah.nl/producten/product/wi200486/de-zaanse-hoeve-halfvolle-melk,Inhoud en gewicht2 LiterPortiegrootte: 200 milliliterAantal porties: 10,,120 mg,3.5 g,192 kJ (46 kcal),,,,4.5 g,,,,,,1.5 g,,,,,,,,,,,,0 g,,,,,1 g,,
zuivel-plantaardig-en-eieren?minPrice=0&maxPrice=3.99,1.19,De Zaanse Hoeve Halfvolle melk,"1 lPrijs per LT € 1,19",Nutri-Score B,False,True,https://www.ah.nl/producten/product/wi195643/de-zaanse-hoeve-halfvolle-melk,Inhoud en gewicht1 LiterPortiegrootte: 200 milliliterAantal porties: 5,,132 mg,3.6 g,197 kJ (47 kcal),,,,4.7 g,,,,,,1.5 g,,,,0.19 mg,,,,,,,,0 g,,,0.4 g,,1.1 g,,
zuivel-plantaardig-en-eieren?minPrice=0&maxPrice=3.99,2.29,AH Witte scharreleieren,10 stuks,Nutri-Score A,False,True,https://www.ah.nl/producten/product/wi197157/ah-witte-scharreleieren,"Inhoud en gewicht530 GramMinimumnettogewicht: 530 g10 eieren M (53–63 g), L (63-73 g)Portiegrootte: 63 gramAantal porties: 10",,,12 g,544 kJ (131 kcal),,,,0.2 g,,,,,,9.1 g,,,,,,,,,,,,0 g,,,4.3 g,,3 g,,
zuivel-plantaardig-en-eieren?minPrice=0&maxPrice=3.99,1.89,AH Halfvolle melk,"1,5 lPrijs per LT € 1,26",Nutri-Score B,False,True,https://www.ah.nl/producten/product/wi33693/ah-halfvolle-melk,Inhoud en gewicht1.5 LiterPortiegrootte: 200 milliliterAantal porties: 7.5,,,3.6 g,200 kJ (48 kcal),,,,4.7 g,,,,,,1.6 g,,,,,,,,,,,,0 g,,,0.5 g,,1.1 g,,
zuivel-plantaardig-en-eieren?minPrice=0&maxPrice=3.99,1.19,AH Halfvolle melk,"1 lPrijs per LT € 1,19",Nutri-Score B,False,True,https://www.ah.nl/producten/product/wi450534/ah-halfvolle-melk,Inhoud en gewicht1 LiterPortiegrootte: 200 milliliterAantal porties: 5,,120 mg,3.5 g,200 kJ (48 kcal),,,,5 g,,,,,,1.5 g,,,,,,,,,,,,0 g,,,0.4 g,,1.1 g,,
zuivel-plantaardig-en-eieren?minPrice=0&maxPrice=3.99,1.99,De Zaanse Hoeve Yoghurt Griekse stijl,"1 kgPrijs per KG € 1,99",Nutri-Score C,False,True,https://www.ah.nl/producten/product/wi216237/de-zaanse-hoeve-yoghurt-griekse-stijl,Inhoud en gewicht1 KilogramPortiegrootte: 150 gramAantal porties: 7,,,4.5 g,532 kJ (128 kcal),,,,5 g,,,,,,10 g,,,,,,,,,,,,0 g,,,3.8 g,,6.2 g,,
zuivel-plantaardig-en-eieren?minPrice=0&maxPrice=3.99,1.29,De Zaanse Hoeve Volle melk,"1 lPrijs per LT € 1,29",Nutri-Score B,False,True,https://www.ah.nl/producten/product/wi195653/de-zaanse-hoeve-volle-melk,Inhoud en gewicht1 LiterPortiegrootte: 200 milliliterAantal porties: 5,,129 mg,3.6 g,273 kJ (65 kcal),,,,4.6 g,,,,,,3.6 g,,,,0.18 mg,,,,,,,,0 g,,,1.1 g,,2.5 g,,
zuivel-plantaardig-en-eieren?minPrice=0&maxPrice=3.99,1.45,AH Bio Halfvolle Melk,"1 lPrijs per LT € 1,45",Nutri-Score B,False,True,https://www.ah.nl/producten/product/wi61007/ah-bio-halfvolle-melk,Inhoud en gewicht1 LiterPortiegrootte: 200 milliliterAantal porties: 5,,128 mg,3.6 g,200 kJ (48 kcal),,,,4.7 g,,,,,,1.6 g,,,,0.1 mg,,,,,,,,0 g,,,0.5 g,,1.1 g,,
zuivel-plantaardig-en-eieren?minPrice=0&maxPrice=3.99,2.49,De Zaanse Hoeve Roomboter ongezouten,"250 gPrijs per KG € 9,96",Nutri-Score E,False,True,https://www.ah.nl/producten/product/wi429615/de-zaanse-hoeve-roomboter-ongezouten,Inhoud en gewicht250 GramPortiegrootte: 5 gramAantal porties: 50,,,0.6 g,3061 kJ (744 kcal),,,,1 g,,,,,,82 g,,,,,,,,,,,,0 g,,,25 g,,57 g,,
zuivel-plantaardig-en-eieren?minPrice=0&maxPrice=3.99,0.99,De Zaanse Hoeve Creme fraiche,"200 gPrijs per KG € 4,95",Nutri-Score D,False,True,https://www.ah.nl/producten/product/wi195849/de-zaanse-hoeve-creme-fraiche,Inhoud en gewicht200 GramPortiegrootte: 15 gramAantal porties: 13,,,2.4 g,1202 kJ (292 kcal),,,,3 g,,,,,,30 g,,,,,,,,,,,,0 g,,,9.3 g,,21 g,,
