Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Url,Content,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt
zuivel-plantaardig-en-eieren?minPrice=4&maxPrice=99,5.18,Kellogg's Cornflakes ontbijt pakket,per pakket,,False,False,https://www.ah.nl/producten/product/wi547185/kellogg-s-cornflakes-ontbijt-pakket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zuivel-plantaardig-en-eieren?minPrice=4&maxPrice=99,5.18,Kellogg's cornflakes ontbijt pakket,per pakket,,False,False,https://www.ah.nl/producten/product/wi546644/kellogg-s-cornflakes-ontbijt-pakket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zuivel-plantaardig-en-eieren?minPrice=4&maxPrice=99,4.49,AH Biologisch Eieren S M L,10 stuks,Nutri-Score A,False,True,https://www.ah.nl/producten/product/wi168502/ah-biologisch-eieren-s-m-l,"Inhoud en gewicht560 GramS (<53 g), M (53–63 g), L (63-73 g)Aantal porties: 10",,,12 g,559 kJ (134 kcal),,,,0.2 g,,,,,,9.5 g,,,,,,,,,,,,0 g,,,4.8 g,,3 g,,
zuivel-plantaardig-en-eieren?minPrice=4&maxPrice=99,5.79,AH Verse scharreleieren M,20 stuks,Nutri-Score A,False,True,https://www.ah.nl/producten/product/wi130273/ah-verse-scharreleieren-m,Inhoud en gewicht20 StuksM (53–63 g),,,12 g,544 kJ (131 kcal),,,,0.2 g,,,,,,9.1 g,,,,,,,,,,,,0 g,,,4.3 g,,3 g,,
zuivel-plantaardig-en-eieren?minPrice=4&maxPrice=99,5.99,AH Biologisch Eieren S M L,15 stuks,Nutri-Score A,False,True,https://www.ah.nl/producten/product/wi442940/ah-biologisch-eieren-s-m-l,"Inhoud en gewicht675 GramS (<53 g), M (53–63 g), L (63-73 g)Aantal porties: 15",,,12 g,559 kJ (134 kcal),,,,0.2 g,,,,,,9.5 g,,,,,,,,,,,,0 g,,,4.8 g,,3 g,,
zuivel-plantaardig-en-eieren?minPrice=4&maxPrice=99,6.99,Natuurfarm de Boed Maïs scharreleieren M L,30 stuks,,False,False,https://www.ah.nl/producten/product/wi418209/natuurfarm-de-boed-mais-scharreleieren-m-l,Inhoud en gewicht30 Stuks30 stuks,,,12.2 g,555 kJ (133 kcal),,,,1.2 g,,,,,,8.8 g,,,,,,,,,,,,,,,,,3.2 g,,
zuivel-plantaardig-en-eieren?minPrice=4&maxPrice=99,4.99,Croma Bakken en braden voordeelfles,"750 mlNormale prijs per LT € 6,65",,False,False,https://www.ah.nl/producten/product/wi214660/croma-bakken-en-braden-voordeelfles,Inhoud en gewicht750 MilliliterAantal porties: 75,,,< 0.5 g,3366 kJ (805 kcal),,,,0.51 g,,,,,,91 g,742 µg,,,,,,,,,,,,51 g,30 g,,,9 g,,
zuivel-plantaardig-en-eieren?minPrice=4&maxPrice=99,5.69,Blije Kip eieren Biologische eieren,10 stuks,,False,False,https://www.ah.nl/producten/product/wi213013/blije-kip-eieren-biologische-eieren,Inhoud en gewicht10 StuksAantal porties: 10,,,12.7 g,618 kJ (148 kcal),,,,0.5 g,,,,,,10.5 g,,,,,,,,,,,,,3.6 g,1.9 g,,,2.8 g,,
zuivel-plantaardig-en-eieren?minPrice=4&maxPrice=99,5.99,Campina Langlekker halfvolle melk voordeel 4pack,"4 lPrijs per LT € 1,50",,False,False,https://www.ah.nl/producten/product/wi468592/campina-langlekker-halfvolle-melk-voordeel-4pack,Inhoud en gewicht4 Stuks. 4 Liter4 x 1 lPortiegrootte: Per portie 200ml,,120 mg,3.7 g,204 kJ (48 kcal),,,,4.8 g,,,,,150 mg,1.5 g,,,,0.14 mg,,,,,,,,,,,,,1.1 g,,
zuivel-plantaardig-en-eieren?minPrice=4&maxPrice=99,6.49,Lurpak Ongezouten roomboter met koolzaadolie,"500 gPrijs per KG € 12,98",,False,False,https://www.ah.nl/producten/product/wi451444/lurpak-ongezouten-roomboter-met-koolzaadolie,Inhoud en gewicht500 Gram,,,0.5 g,2905 kJ (706 kcal),,,,0.6 g,,,,,,78 g,,,,,,,,,,,,,,,,,35 g,,
