product,url,price,amount,unit,nutriscore,carbs_100g,protein_100g,fat_100g,alcohol_100g,calories_100g,calories,protein,carbs,fat,alcohol,perc_calories_protein,perc_calories_carbs,perc_calories_fat,perc_calories_alcohol,price_1000_calories,price_100g_protein,price_100g_carbs,price_100g_fat
AH Volkoren havermout,https://www.ah.nl/producten/product/wi48405/ah-volkoren-havermout,0.69,500.0,g,,59.0,14.0,7.0,0.0,355.0,1775.0,70.0,295.0,35.0,0.0,0.15774647887323945,0.6647887323943662,0.17746478873239438,0.0,0.38873239436619716,0.9857142857142858,0.23389830508474577,1.9714285714285715
AH Beschuit volkoren,https://www.ah.nl/producten/product/wi1625/ah-beschuit-volkoren,0.49,140.0,g,A,68.0,15.0,5.4,0.0,380.6,532.84,21.0,95.2,7.56,0.0,0.15764582238570676,0.7146610614818707,0.12769311613242246,0.0,0.9196006305832894,2.3333333333333335,0.5147058823529411,6.481481481481482
AH Beschuit naturel,https://www.ah.nl/producten/product/wi1624/ah-beschuit-naturel,0.45,130.0,g,A,76.0,15.0,5.2,0.0,410.8,534.04,19.5,98.8,6.76,0.0,0.14605647517039924,0.7400194741966895,0.11392405063291139,0.0,0.8426335105984571,2.3076923076923075,0.45546558704453444,6.656804733727811
AH Honing,https://www.ah.nl/producten/product/wi479788/ah-honing,1.99,350.0,g,D,81.0,0.4,0.0,0.0,325.6,1139.6000000000001,1.4,283.5,0.0,0.0,0.004914004914004913,0.9950859950859949,0.0,0.0,1.746226746226746,142.14285714285714,0.7019400352733686,inf
Brinta Volkoren graanontbijt,https://www.ah.nl/producten/product/wi166916/brinta-volkoren-graanontbijt,2.09,500.0,g,,64.0,14.0,1.9,0.0,329.1,1645.5,70.0,320.0,9.5,0.0,0.1701610452749924,0.777879064114251,0.05195989061075661,0.0,1.2701306593740505,2.9857142857142858,0.653125,22.0
AH Hagelslag puur,https://www.ah.nl/producten/product/wi425491/ah-hagelslag-puur,2.29,600.0,g,E,67.0,5.2,16.0,0.0,432.8,2596.8,31.2,402.0,96.0,0.0,0.04805914972273567,0.6192236598890942,0.33271719038817005,0.0,0.8818545902649414,7.33974358974359,0.5696517412935324,2.3854166666666665
AH Extra jam aardbeien,https://www.ah.nl/producten/product/wi132400/ah-extra-jam-aardbeien,1.19,450.0,g,D,60.0,0.4,0.2,0.0,243.4,1095.3,1.8,270.0,0.9,0.0,0.006573541495480691,0.9860312243221035,0.007395234182415777,0.0,1.0864603305030585,66.11111111111111,0.44074074074074077,132.22222222222223
AH Hagelslag melk,https://www.ah.nl/producten/product/wi425490/ah-hagelslag-melk,2.29,600.0,g,E,67.0,6.8,17.0,0.0,448.2,2689.2,40.8,402.0,102.0,0.0,0.0606871932173137,0.5979473449352968,0.3413654618473896,0.0,0.8515543656105906,5.612745098039216,0.5696517412935324,2.2450980392156863
De Ruijter Vruchten hagel,https://www.ah.nl/producten/product/wi119017/de-ruijter-vruchten-hagel,1.99,400.0,g,,100.0,0.0,0.0,0.0,400.0,1600.0,0.0,400.0,0.0,0.0,0.0,1.0,0.0,0.0,1.24375,inf,0.4975,inf
AH Aardbei fruitspread minder suiker,https://www.ah.nl/producten/product/wi413748/ah-aardbei-fruitspread-minder-suiker,2.49,335.0,g,C,29.0,0.3,0.0,0.0,117.2,392.62,1.005,97.15,0.0,0.0,0.01023890784982935,0.9897610921501707,0.0,0.0,6.3420100860883295,247.7611940298508,2.5630468347915594,inf
Bolletje Schuddebuikjes speculaas,https://www.ah.nl/producten/product/wi389243/bolletje-schuddebuikjes-speculaas,1.89,300.0,g,,68.0,6.0,19.0,0.0,467.0,1401.0,18.0,204.0,57.0,0.0,0.05139186295503212,0.582441113490364,0.36616702355460384,0.0,1.3490364025695931,10.5,0.9264705882352942,3.3157894736842106
AH Krokante muesli chocolade,https://www.ah.nl/producten/product/wi437940/ah-krokante-muesli-chocolade,2.19,600.0,g,C,57.0,10.0,18.0,0.0,430.0,2580.0,60.0,342.0,108.0,0.0,0.09302325581395349,0.5302325581395348,0.3767441860465116,0.0,0.8488372093023255,3.65,0.6403508771929824,2.0277777777777777
AH Hazelnootpasta,https://www.ah.nl/producten/product/wi55733/ah-hazelnootpasta,1.55,400.0,g,E,60.0,5.7,28.0,0.0,514.8,2059.2,22.8,240.0,112.0,0.0,0.044289044289044295,0.46620046620046623,0.48951048951048953,0.0,0.7527195027195028,6.798245614035087,0.6458333333333334,1.3839285714285714
AH 100% Pindakaas naturel,https://www.ah.nl/producten/product/wi370835/ah-100-pindakaas-naturel,2.55,350.0,g,A,14.0,28.0,48.0,0.0,600.0,2100.0,98.0,49.0,168.0,0.0,0.18666666666666668,0.09333333333333334,0.72,0.0,1.2142857142857142,2.6020408163265305,5.204081632653061,1.5178571428571428
AH Hagel mix,https://www.ah.nl/producten/product/wi479581/ah-hagel-mix,2.29,600.0,g,E,76.0,3.1,14.0,0.0,442.4,2654.4,18.6,456.0,84.0,0.0,0.028028933092224234,0.6871609403254972,0.28481012658227844,0.0,0.8627185051235684,12.311827956989246,0.5021929824561403,2.7261904761904763
AH Krokante muesli naturel,https://www.ah.nl/producten/product/wi437374/ah-krokante-muesli-naturel,1.99,1000.0,g,A,68.0,9.9,10.0,0.0,401.6,4016.0,99.0,680.0,100.0,0.0,0.09860557768924302,0.6772908366533864,0.2241035856573705,0.0,0.4955179282868526,2.01010101010101,0.2926470588235294,1.99
AH Krokante muesli noten,https://www.ah.nl/producten/product/wi437939/ah-krokante-muesli-noten,2.29,600.0,g,C,55.0,10.0,19.0,0.0,431.0,2586.0,60.0,330.0,114.0,0.0,0.09280742459396751,0.5104408352668214,0.39675174013921116,0.0,0.88553750966744,3.816666666666667,0.693939393939394,2.008771929824561
